"id1","id2","id3","id4","hhmid","s1eiii_63","s1eiii_64","s1eiii_65","s1eiii_66","s1eiii_67","s1eiii_68","s1eiii_69","s1eiii_70","s1eiii_71","s1eiii_72i","s1eiii_72ii","hhno"
1,2,25,97,5,2,,8,,,,,,,,,101025097
1,2,25,97,2,1,2,1,,,7,"CROP FARMING",611,1,15,,101025097
1,2,25,100,2,1,2,1,,,6,"CROP FARMING",611,1,5,,101025100
1,2,25,100,1,1,2,1,,,7,"CROP FARMING",611,1,10,,101025100
1,2,25,100,3,2,,8,,,,,,,,,101025100
1,2,25,101,2,1,2,1,,,7,"CROP FARMING",611,1,10,,101025101
1,2,25,101,3,1,2,1,,,3,,0,1,5,,101025101
1,2,25,101,4,2,,8,,,,,,,,,101025101
1,2,25,101,1,1,2,1,,,7,"CROP FARMING",611,1,10,,101025101
1,2,26,4,2,2,,5,,,,,,,,,101026004
1,2,26,4,4,2,,8,,,,,,,,,101026004
1,2,26,4,3,2,,8,,,,,,,,,101026004
1,2,26,4,1,2,,5,,,,,,,,,101026004
1,2,26,6,3,2,,8,,,,,,,,,101026006
1,2,26,6,4,2,,8,,,,,,,,,101026006
1,2,26,6,1,2,,5,,,,,,,,,101026006
1,2,26,6,2,2,,5,,,,,,,,,101026006
1,2,26,8,2,2,,5,,,,,,,,,101026008
1,2,26,8,1,2,,5,,,,,,,,,101026008
1,2,26,8,3,2,,8,,,,,,,,,101026008
1,2,26,10,3,2,,8,,,,,,,,,101026010
1,2,26,10,1,2,,5,,,,,,,,,101026010
1,2,26,10,2,2,,8,,,,,,,,,101026010
1,2,26,17,1,2,,5,,,,,,,,,101026017
1,2,26,19,1,2,,5,,,,,,,,,101026019
1,2,26,19,2,2,,5,,,,,,,,,101026019
1,2,26,23,7,2,,8,,,,,,,,,101026023
1,2,26,23,2,2,,5,,,,,,,,,101026023
1,2,26,23,3,2,,8,,,,,,,,,101026023
1,2,26,23,4,2,,8,,,,,,,,,101026023
1,2,26,23,5,2,,8,,,,,,,,,101026023
1,2,26,23,1,2,,5,,,,,,,,,101026023
1,2,26,23,6,2,,8,,,,,,,,,101026023
1,2,26,24,2,2,,8,,,,,,,,,101026024
1,2,26,24,1,2,,1,,,5,,,1,5,,101026024
1,2,26,26,2,2,,5,,,,,,,,,101026026
1,2,26,26,1,2,,5,,,,,,,,,101026026
1,2,26,26,3,2,,8,,,,,,,,,101026026
1,2,26,26,4,2,,8,,,,,,,,,101026026
1,2,26,26,5,2,,8,,,,,,,,,101026026
1,2,26,29,3,2,,8,,,,,,,,,101026029
1,2,26,29,1,2,,5,,,,,,,,,101026029
1,2,26,29,4,2,,8,,,,,,,,,101026029
1,2,26,29,2,2,,8,,,,,,,,,101026029
1,2,26,30,1,2,,1,,,5,,,1,5,,101026030
1,2,26,30,2,2,,8,,,,,,,,,101026030
1,2,26,39,1,2,,12,,,,"CROP FARMING",621,8,,,101026039
1,2,26,40,3,2,,8,,,,,,,,,101026040
1,2,26,40,1,2,,5,,,,,,,,,101026040
1,2,26,40,2,2,,5,,,,,,,,,101026040
1,2,26,40,4,2,,8,,,,,,,,,101026040
1,2,26,42,3,2,,8,,,,,,,,,101026042
1,2,26,42,4,2,,8,,,,,,,,,101026042
1,2,26,42,2,2,,5,,,,,,,,,101026042
1,2,26,42,1,2,,5,,,,,,,,,101026042
1,2,26,43,2,2,,5,,,,,,,,,101026043
1,2,26,43,1,2,,1,,,5,,,3,5,,101026043
1,2,26,43,3,2,,8,,,,,,,,,101026043
1,2,28,8,1,2,,5,,,,,,,,,101028008
1,2,28,9,1,2,,5,,,,,,,,,101028009
1,2,28,9,5,2,,8,,,,,,,,,101028009
1,2,28,9,2,2,,5,,,,,,,,,101028009
1,2,28,9,3,2,,8,,,,,,,,,101028009
1,2,28,9,4,2,,8,,,,,,,,,101028009
1,2,28,10,2,2,2,5,,,,,,,,,101028010
1,2,28,15,1,2,,5,,,,,,,,,101028015
1,2,28,15,2,2,,8,,,,,,,,,101028015
1,2,28,18,1,2,,7,,,,"PEEL TIMBER",614,7,2,,101028018
