"id1","id2","id3","id4","hhmid","s1ei_1","s1ei_2","s1ei_3","s1ei_4","s1ei_5","s1ei_6i","s1ei_6ii","s1ei_7i","s1ei_7ii","s1ei_7iii","s1ei_8i","s1ei_8ii","s1ei_9","s1ei_10i","s1ei_10ii","s1ei_11","s1ei_12","s1ei_13i","s1ei_13ii","s1ei_14","s1ei_15","s1ei_16","s1ei_17","s1ei_18","s1ei_19","s1ei_20","s1ei_21","s1ei_22","s1ei_23","s1ei_24","s1ei_25i","s1ei_25ii","s1ei_25iii","s1ei_26","s1ei_27","s1ei_28","s1ei_29i","s1ei_29ii","hhno"
1,8,16,217,1,1,"RUBBER FARM SUPERVISOR",921,"AGRICULTURE",140,3,,50,5,4,5,4,1,60,,3,2,,,,2,2,1,1,2,2,2,6,27,2,,,,,,,,,101016217
1,10,17,4,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,4,,50,6,6,6,6,1,140,,3,2,,,,2,2,2,4,2,1,2,7,10,1,3,,1,9,4,2,,,101017004
1,10,17,19,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,4,,50,6,6,6,6,1,160,,3,2,,,,2,2,2,4,2,1,2,6,10,1,,,1,9,4,2,,,101017019
1,10,17,31,1,1,"DRIVING",831,"PASSENGER LAND TRANSPORT",6022,5,,36,6,13,6,13,1,90,,3,2,,,,2,1,2,4,2,2,2,12,150,2,,,,,,,,,101017031
1,10,18,19,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,2,,36,6,12,2,12,1,250,,3,2,,,,2,2,2,4,2,1,2,6,20,2,,,,,,,,,101018019
1,10,18,28,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,24,,50,6,10,6,10,1,250,,3,2,,,,2,2,2,4,2,1,2,6,,2,,,,,,,,,101018028
1,10,18,28,2,1,"CARRYING OF SAND",711,"SMALL SCALE MINING",1321,,6,18,4,6,3,6,1,5,,1,2,,,,2,2,2,4,2,2,2,6,8,2,,,,,,,,,101018028
1,10,18,30,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,3,,49,7,9,7,9,1,180,,3,2,,,,1,2,2,4,2,1,2,6,,2,,,,,,,,,101018030
1,10,18,41,1,1,"BUILDING AND CONSTRUCTION",714,"MASON",4520,6,5,30,5,12,4,12,1,280,,3,2,,,,1,2,2,1,2,1,2,6,8,2,,,,,,,,,101018041
1,10,18,43,1,1,"EXTRACTION OF GOLD",711,"MINING",1321,1,4,30,6,9,6,9,1,250,,3,2,,,,1,2,2,4,2,1,2,6,41,2,,,,,,,,,101018043
1,10,19,6,1,1,"SECURITY",21,"GUARD",7492,2,3,40,6,12,6,12,1,150,,3,2,,,,1,1,2,4,2,1,2,6,2,1,,3,,9,4,2,,,101019006
1,10,19,8,1,1,"MACHINE OPERATOR",821,"MECHANIC",2893,1,4,30,5,10,5,10,1,100,,3,2,,,,1,2,2,4,2,1,2,6,5,2,,,,,,,,,101019008
1,10,19,9,1,1,"DRIVING",832,"TRANSPORT",6021,2,,48,6,8,6,8,1,200,,3,2,,,,2,2,,2,2,1,2,6,4,2,,,,,,,,,101019009
1,10,19,11,1,1,"SECURITY",21,"GUARD",7492,10,,52,6,12,6,12,1,150,,3,2,,,,1,1,1,4,1,1,2,3,11,2,,,,,,,,,101019011
1,10,19,12,1,1,"ROOFING OF BUILDING",713,"BUILDING AND CONSTRUCTION",4520,28,,45,6,8,6,8,1,100,,3,2,,,,1,2,1,1,1,1,2,3,12,2,,,,,,,,,101019012
1,10,19,13,1,1,"CARPENTRY",733,"CONSTRUCTION",4540,8,,45,6,9,6,9,1,5,,1,2,,,,2,2,2,4,2,1,2,6,12,2,,,,,,,,,101019013
1,10,19,14,1,1,"MASON LABOURER",931,"CONSTRUCTION",4520,,5,40,,,3,4,1,15,,1,2,,,,2,2,2,4,2,1,2,6,6,2,,,,,,,,,101019014
1,10,19,17,1,1,"SALES PERSON",522,"RESTAURANT",5520,5,10,40,6,10,6,10,1,300,,3,1,50,,6,1,1,1,1,1,1,1,8,5,1,1,9,4,9,4,2,,,101019017
1,10,19,19,1,1,"WELDER",711,"WELDING",2892,1,,36,5,7,5,7,1,5,,1,2,,,,2,2,2,4,2,1,2,4,6,2,,,,,,,,,101019019
1,10,20,14,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,1,,50,6,12,6,12,1,200,,3,2,,,,2,2,2,4,2,1,2,6,54,2,,,,,,,,,101020014
1,10,20,24,1,1,"TEACHING(NURSERY PUPILS)",332,"PRE-PRIMARY EDUCATION",8010,,8,32,5,6,5,6,1,50,,3,2,,,,2,1,1,4,2,1,2,14,12,2,,,,,,,,,101020024
1,10,20,25,1,1,"EXTRACTION OF GOLD",711,"SMALL SCALE MINING",1321,7,,49,1,5,5,13,1,200,,3,2,,,,2,2,2,4,2,1,2,6,,2,,,,,,,,,101020025
