"id1","id2","hhno","hhmid","s1gii_14","s1gii_15","s1gii_16i","s1gii_16_11","s1gii_16_112","s1gii_16ii","s1gii_16_211","s1gii_16_212","s1gii_16iii","s1gii_16_311","s1gii_16_312","s1gii_16iv","s1gii_16_411","s1gii_16_412","s1gii_17i","s1gii_17ii","s1gii_17iii","s1gii_17iv","s1gii_18i","s1gii_18ii","s1gii_18iii","s1gii_18iv","s1gii_19i","s1gii_19ii","s1gii_19iii","s1gii_19iv","s1gii_20i","s1gii_20ii","s1gii_20iii","s1gii_20iv","s1gii_21i","s1gii_21ii","s1gii_21iii","s1gii_21iv","s1gii_22i","s1gii_22ii","s1gii_22iiii","s1gii_22iv","s1gii_23i","s1gii_23ii","s1gii_23iii","s1gii_23iv","s1gii_24i","s1gii_2ii","s1gii_24iii","s1gii_24iv","s1gii_25i","s1gii_25ii","s1gii_25iii","s1gii_25iv","s1gii_26i","s1gii_26ii","s1gii_26iii","s1gii_26iv","s1gii_27i","s1gii_27ii","s1gii_27iii","s1gii_27iv","s1gii_28i","s1gii_28ii","s1gii_28iii","s1gii_28iv","s1gii_29i","s1gii_29ii","s1gii_29iii","s1gii_29iv"
1,2,101028009,1,1,1,,,,,,,,,,,,,,,,,7,,,,18,,,,36,,,,2,,,,6,,,,1,,,,3,,,,4,,,,1,,,,2,,,,733,,,,3611,,,
1,2,101028015,1,1,3,11,"WASSA DUNKWAW",,11,"SAMERE BOYE",,11,"PRESTIA",,,,,1,1,1,,,,,,10,16,30,,15,29,32,,5,7,6,,1,1,3,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101028018,1,1,2,11,"SAMREBOI",,11,"TEMA",,,,,,,,1,1,,,,,,,22,28,,,24,34,,,2,2,,,4,6,,,1,1,,,1,1,,,4,1,,,1,1,,,2,2,,,614,611,,,200,111,,
1,2,101028021,2,2,1,11,"NYANKUMAN",,,,,,,,,,,1,,,,,,,,5,,,,10,,,,5,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101028021,1,1,1,11,"NYANKUMAN",,,,,,,,,,,1,,,,,,,,30,,,,35,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101028021,3,3,1,11,"NYANKUMAN",,,,,,,,,,,1,,,,,,,,3,,,,8,,,,5,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101028026,2,2,1,,,,,,,,,,,,,,,,,7,,,,7,,,,14,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101028028,2,2,1,,,,,,,,,,,,,,,,,7,,,,16,,,,19,,,,14,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,101028031,1,1,1,11,"KASOA",,,,,,,,,,,3,,,,,,,,28,,,,31,,,,3,,,,4,,,,1,,,,4,,,,1,,,,1,,,,2,,,,523,,,,5232,,,
1,2,101028032,1,1,1,11,"SAMREBOI",,,,,,,,,,,1,,,,,,,,20,,,,40,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
