"id1","id2","id3","id4","hhmid","s10aii_a17","s10aii_a18","hhno"
1,5,4,1,2,4,1,101004001
1,5,4,1,3,2,1,101004001
1,5,4,2,1,3,1,101004002
1,5,4,5,1,5,1,101004005
1,5,4,6,1,8,3,101004006
1,5,4,6,2,6,2,101004006
1,5,4,6,3,2,1,101004006
1,5,4,10,1,1,1,101004010
1,5,4,10,2,1,1,101004010
1,5,4,10,8,1,1,101004010
1,5,4,12,1,6,2,101004012
1,5,4,12,2,2,1,101004012
1,5,4,14,1,3,1,101004014
1,5,4,14,2,5,1,101004014
1,5,4,16,1,3,1,101004016
1,5,4,16,2,2,1,101004016
1,5,4,16,3,1,1,101004016
1,5,4,17,1,5,1,101004017
1,5,4,17,4,2,1,101004017
1,5,4,20,1,2,1,101004020
1,5,4,20,2,1,1,101004020
1,5,4,20,3,1,1,101004020
1,5,4,22,1,4,1,101004022
1,5,4,22,2,2,1,101004022
1,5,4,22,3,2,1,101004022
1,5,4,24,1,3,1,101004024
1,5,4,24,2,2,1,101004024
1,5,4,27,1,1,1,101004027
1,5,4,27,2,1,1,101004027
1,5,4,27,3,1,1,101004027
1,5,4,31,1,1,1,101004031
1,5,4,32,1,1,1,101004032
1,5,4,32,2,1,1,101004032
1,5,4,32,3,1,1,101004032
1,6,1,2,1,4,2,101001002
1,6,1,2,2,4,2,101001002
1,6,1,2,3,2,1,101001002
1,6,1,3,1,4,1,101001003
1,6,1,4,1,5,2,101001004
1,6,1,9,1,6,3,101001009
1,6,1,9,2,4,2,101001009
1,6,1,10,1,10,8,101001010
1,6,1,10,2,8,6,101001010
1,6,1,12,1,4,4,101001012
1,6,1,12,2,5,5,101001012
1,6,1,13,1,2,4,101001013
1,6,1,13,2,5,4,101001013
1,6,1,15,1,8,8,101001015
1,6,1,15,2,8,8,101001015
1,6,1,15,3,8,8,101001015
1,6,1,22,1,3,2,101001022
1,6,1,22,2,3,2,101001022
1,6,1,23,1,9,4,101001023
1,6,1,23,2,9,4,101001023
1,6,1,23,3,9,4,101001023
1,6,1,24,1,3,1,101001024
1,6,1,24,2,3,1,101001024
1,6,1,26,1,4,1,101001026
1,6,1,26,2,4,1,101001026
1,6,1,29,1,5,3,101001029
1,6,1,29,2,5,3,101001029
1,6,1,34,1,2,1,101001034
1,6,1,34,2,2,1,101001034
1,6,1,34,4,2,1,101001034
1,6,1,35,1,4,3,101001035
