"id1","id2","id3","id31","id4","id41","hhmid","HHMID1","s10aiv_a31","s10aiv_a32","s10aiv_a33","s10aiv_a341i","s10aiv_a341ii","s10aiv_a341iii","s10aiv_a342i","s10aiv_a342ii","s10aiv_a342iii","s10aiv_a343i","s10aiv_a343ii","s10aiv_a343iii","s10aiv_a351i","s10aiv_a351ii","s10aiv_a351iii","s10aiv_a352i","s10aiv_a352ii","s10aiv_a352iii","s10aiv_a353i","s10aiv_a353ii","s10aiv_a353iii","s10aiv_a36i","s10aiv_a36ii","s10aiv_a37i","s10aiv_a37ii","s10aiv_a38","s10aiv_a39i","s10aiv_a39ii","s10aiv_a40i","s10aiv_a40ii","s10aiv_a41","uniquehhmid","hhno"
2,2,32,"032",66,"066",1,"01",10,10,10,"PERSONAL GOODS FOR CHILDREN",40,,"PERSONAL GOODS FOR MYSELF",40,,"AS A GIFT FOR MY WIFE",20,,,,,,,,,,,,,,,,6,,12,,2,"03206601",102032066
7,125,270,"270",37,"037",2,"02",10,10,10,"PERSONAL NEEDS",40,,"SCHOOL NEEDS",30,,"GIVE MOTHER",30,,,,,,,,,,,5,,9,,2,6,,10,,2,"27003702",107270037
2,2,35,"035",19,"019",1,"01",10,10,10,"PERSONAL NEEDS",100,,,,,,,,,,,,,,,,,,,,,,2,,4,,2,"03501901",102035019
2,2,32,"032",5,"005",1,"01",10,10,10,"PERSONAL THINGS",50,,"SCHOOL FEES",40,,"DETERGENT FOR HOUSEHOLD",10,,,,,,,,,,,,,,,,2,,3,,2,"03200501",102032005
7,124,263,"263",41,"041",3,"03",10,10,10,"PERSONAL USE",10,,"GIVE TO PARENTS",60,,"GIVE TO GUARDIAN",30,,"PERSONAL USE",10,,"GIVE TO PARENTS",60,,"GIVE GUARDIAN",30,,1,,3,,2,5,,10,,2,"26304103",107263041
7,8,261,"261",83,"083",3,"03",10,10,10,"PERSONAL USE",20,,"GIVE MUM",30,,"SIBLINGS",30,,"PERSONAL USE",20,,"GIVE MUM",50,,"SIBLINGS",30,,3,,3,,,10,,15,,,"26108303",107261083
1,13,10,"010",89,"089",1,"01",10,2,0,"PETTY TRADE",100,,,,,,,,,,,,,,,,,,,,,,5,0,10,0,2,"01008901",101010089
4,54,104,"104",20,"020",2,"02",8,9,9,"PETTY TRADING",100,,,,,,,,,,,,,,,,,4,,7,,2,8,,10,,2,"10402002",104104020
4,54,106,"106",54,"054",2,"02",9,9,10,"PETTY TRADING",60,,"EDUCATION",40,,,,,,,,,,,,,,4,,6,,2,7,,10,,2,"10605402",104106054
1,13,9,"009",180,"180",2,"02",10,10,10,"PETTY TRADING",100,,,,,,,,,,,,,,,,,,,,,,5,,5,,1,"00918002",101009180
1,13,9,"009",262,"262",1,"01",10,10,10,"PETTY TRADING",100,,,,,,,,,,,,,,,,,,,,,,8,,12,,2,"00926201",101009262
4,46,109,"109",47,"047",1,"01",10,10,9,"PETTY TRADING",100,0,,,,,,,,,,,,,,,,3,0,5,0,2,5,0,7,0,2,"10904701",104109047
4,3,103,"103",79,"079",2,"02",9,,8,"PETTY TRADING",80,0,"EDUCATION",10,0,"OTHERS",10,0,,,,,,,,,,3,0,5,0,2,5,0,15,0,2,"10307902",104103079
4,46,109,"109",54,"054",2,"02",5,8,8,"PETTY TRADING",100,,,,,,,,,,,,,,,,,4,,7,,2,10,,15,,2,"10905402",104109054
4,46,108,"108",36,"036",2,"02",,,,"PETTY TRADING",50,,"EDUCATION",50,,,,,,,,,,,,,,6,,8,,2,10,,14,,2,"10803602",104108036
3,1,63,"063",39,"039",1,"01",10,10,10,"PETTY TRADING",100,,,,,,,,,,,,,,,,,3,,5,,1,8,,10,,3,"06303901",103063039
6,93,194,"194",55,"055",3,"03",,,,"PHONE",50,0,"PEN DRIVE",50,0,,,,,,,,,,,,,4,0,6,0,3,,,,,,"19405503",106194055
6,93,194,"194",45,"045",3,"03",1,0,0,"PHONE",50,0,"JEANS",30,0,"SHOES",20,0,,,,,,,,,,3,0,4,0,2,,,,,,"19404503",106194045
6,10,218,"218",26,"026",2,"02",10,10,10,"PHONE",40,,"CLOTHS",20,,"SAVINGS",40,,,,,,,,,,,3,,6,,2,5,,7,,2,"21802602",106218026
6,111,225,"225",26,"026",3,"03",10,10,10,"PHONE",50,,"SHOES",20,,"SAVINGS",30,,,,,,,,,,,2,50,5,,2,5,,8,,2,"22502603",106225026
9,156,319,"319",18,"018",2,"02",10,10,10,"PHONE",30,,"MATTRESS",70,,,,,,,,,,,,,,4,,6,,1,6,,8,,1,"31901802",109319018
6,110,227,"227",10,"010",3,"03",10,10,10,"PHONE",50,,"SCHOOL",50,,,,,,,,,,,,,,1,,2,,2,2,,4,,2,"22701003",106227010
5,80,143,"143",8,"008",3,"03",10,10,10,"PHONE",40,,"CLOTHENS",30,,"FOOTWEAR",30,,"PHONE",40,,"CLOTHENS",30,,"FOOTWEAR",30,,5,,5,,1,8,,10,,1,"14300803",105143008
5,13,171,"171",25,"025",1,"01",10,10,10,"PHONE CARDS TO SELL",40,,"CREDIT TRANSFER SIM",30,0,"RECHARGE CREDIT TRAN",30,,,,,,,,,,,3,0,6,0,2,3,0,6,0,2,"17102501",105171025
2,25,47,"047",11,"011",3,"03",10,10,10,"PHONE FOR TRANSFER",50,,"TRANSFER CHIP",30,,"TRANSFER UNITS",20,,,,,,,,,,,4,,4,,2,,,,,,"04701103",102047011
6,10,218,"218",12,"012",2,"02",10,10,10,"PHONES",30,,"SHOES",30,,"SAVINGS",40,,,,,,,,,,,3,,5,,2,5,,7,,2,"21801202",106218012
8,135,311,"311",31,"031",2,"02",8,8,10,"PIGS",20,,"GOATS",40,,"SHEEP",40,,,,,,,,,,,3,,5,50,2,6,,10,,2,"31103102",108311031
8,153,282,"282",1,"001",2,"02",10,10,5,"PITO BREWING",100,0,,,,,,,,,,,,,,,,2,0,4,0,2,3,0,5,0,2,"28200102",108282001
8,153,282,"282",3,"003",6,"06",10,10,10,"PITO BREWING",50,0,"BIG COOKING POT",50,0,,,,,,,,,,,,,,,,,,5,0,10,0,2,"28200306",108282003
8,137,285,"285",18,"018",8,"08",5,5,5,"PITO BREWING",100,0,,,,,,,,,,,,,,,,6,0,9,0,2,,,,,,"28501808",108285018
