"id1","id2","id3","id4","hhmid","s1d_1","s1d_2","sid_3i","s1d_3ii","s1d_3iii","s1d_4i","s1d_4ii","s1d_5","s1d_6","s1d_7","s1d_8","s1d_9","s1d_10ai","s1d_10aii","s1d_10bi","s1d_10bii","s1d_11","s1d_12i","s1d_12ii","s1d_13","s1d_14","s1d_15","s1d_16","s1d_17i","s1d_17ii","s1d_18","s1d_19","s1d_20i","s1d_20ii","s1d_21","s1d_22","s1d_23","s1d_24","s1d_25","s1d_26","s1d_27","s1d_28","s1d_29","s1d_30","s1d_31","s1d_32","s1d_33","hhno"
1,6,1,35,2,2,2,20,3,1974,35,,2,1,1,1,18,0,,30,,1999,10,,5,1,1,7,3,,1,6,3,,1,6,1,,1,,0,,,,,,,101001035
1,6,1,35,3,1,3,14,8,1994,15,,2,6,,,,,,,,,,,5,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001035
1,6,1,35,4,2,3,16,8,1996,13,,2,6,,,,,,,,,,,5,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001035
1,6,1,35,5,2,3,20,8,2000,9,,1,,,,,,,,,,,,5,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001035
1,6,1,35,6,2,3,16,4,2004,5,0,1,,,,,,,,,,,,5,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001035
1,6,1,35,7,2,3,8,7,2006,3,0,1,,,,,,,,,,,,5,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001035
1,6,1,35,8,2,3,,,,0,,,,,,,,,,,,,,5,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001035
1,6,2,2,1,1,1,23,7,1936,73,,2,3,,,41,25000,,,,1979,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101002002
1,6,2,4,1,1,1,,,1939,70,,2,5,,,25,,,,,1964,,,10,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101002004
1,6,2,16,1,1,1,,,1979,30,,2,1,1,2,26,400,,,,2005,,,5,2,1,14,2,,1,6,2,,1,6,1,,1,,3,,,,,,,101002016
