"id1","id2","id3","id4","s9d_id","s9d_i","s9d_ii","s9d_1","s9d_2","s9d_3","s9d_4","s9d_5","s9d_6","s9d_7","s9d_8","s9d_iii","s9d_iv","hhno"
1,2,25,50,8,8,37,"D","D","C","C","B","C","D","D",8,40,101025050
1,2,25,50,7,8,34,"D","D","B","C","D","B","C","D",8,36,101025050
1,2,25,50,3,8,25,"D","D","B","C","D","D","B","D",8,27,101025050
1,2,25,50,4,8,27,"D","D","B","C","D","D","B","D",8,27,101025050
1,2,25,50,6,8,32,"D","D","B","C","D","B","B","C",8,34,101025050
1,2,25,50,5,8,27,"D","D","B","C","D","D","B","C",8,31,101025050
1,2,25,54,4,13,32,"D","C","B","C","D","C","C","C",13,35,101025054
1,2,25,54,3,13,30,"D","C","B","C","D","B","B","C",13,32,101025054
1,2,25,54,5,13,35,"D","C","B","C","D","B","B","C",13,37,101025054
1,2,25,97,5,3,15,"D","C","B","C","D","B","B","C",3,17,101025097
1,2,25,97,4,3,12,"D","C","B","C","D","D","B","C",3,15,101025097
1,2,25,97,3,3,5,"D","C","B","C","B","B","B","D",3,9,101025097
1,2,25,101,3,4,54,"D","C","B","C","D","B","B","C",4,56,101025101
1,2,26,4,3,14,42,"D","C","B","D","D","C","A","B",14,48,101026004
1,2,26,6,3,7,52,"D","C","B","C","D","B","C","D",8,0,101026006
1,2,26,6,4,8,1,"C","C","C","B","C","C","C","C",8,11,101026006
1,2,26,8,3,16,49,"D","D","B","B","C","B","A","B",16,52,101026008
1,2,26,10,2,15,48,"D","C","B","B","B","C","C","C",15,53,101026010
1,2,26,23,6,15,19,"D","C","B","C","D","D","B","C",15,23,101026023
1,2,26,23,7,15,23,"D","C","B","C","D","B","B","C",15,26,101026023
1,2,26,23,5,15,15,"D","C","B","C","D","B","B","C",15,18,101026023
1,2,26,24,2,15,38,"D","C","B","C","D","B","B","C",15,41,101026024
1,2,26,26,4,16,56,"D","C","B","A","D","A","C","D",16,59,101026026
