"id1","id2","id3","id4","hhmid","s9a_iii","s9a_01","s9a_02","s9a_03","s9a_a1","s9a_a2","s9a_a3","s9a_a4","s9a_a5","s9a_a6","s9a_a7","s9a_a8","s9a_a9","s9a_a10","s9a_a11","s9a_a12","s9a_a13","s9a_a14i","s9a_a14ii","hhno"
1,10,17,31,4,2,1,,,1,87,1,1,87,2,1,1,,,1,8,2,,,101017031
1,10,17,36,4,2,1,,,1,87,1,1,6,2,2,1,,,1,9,2,,,101017036
1,10,17,56,3,2,1,,,1,24,3,3,3,2,2,1,2,,2,,,,,101017056
1,10,17,56,4,2,1,,,1,87,2,5,4,2,2,1,1,,1,5,1,,50,101017056
1,10,17,57,4,1,1,,,1,24,6,6,8,2,2,1,2,1,1,12,2,,,101017057
1,10,17,57,5,1,1,,,1,24,6,6,8,2,2,1,4,,1,12,2,,,101017057
1,10,18,28,4,2,1,,,1,20,1,3,6,2,2,1,,,1,12,2,,,101018028
1,10,19,4,6,2,1,,,1,18,0,1,3,2,2,1,3,3,2,,,,,101019004
1,10,19,4,7,2,1,,,1,18,0,1,3,2,2,1,3,3,2,,,,,101019004
1,10,19,6,4,2,1,,,1,18,6,7,7,2,2,1,0,0,2,,,,,101019006
1,10,19,9,4,2,1,,,1,18,0,1,3,2,2,1,3,0,2,,,,,101019009
1,10,19,9,5,2,1,,,1,87,0,1,3,2,2,1,0,0,1,4,2,,,101019009
1,10,19,13,3,2,1,,,1,87,1,3,5,2,2,1,0,0,1,4,2,,,101019013
1,10,19,20,5,2,1,,,1,18,6,6,6,2,2,1,0,0,2,,,,,101019020
1,10,20,4,7,2,1,,,1,24,6,6,18,2,2,1,2,,1,4,2,,,101020004
1,10,20,27,2,1,1,,,1,12,3,3,8,2,2,3,,,2,,,,,101020027
1,10,20,27,3,1,1,,,1,18,3,3,8,2,2,3,,,2,,,,,101020027
1,10,21,1,4,2,1,,,1,18,1,2,6,2,2,1,0,0,2,,,,,101021001
1,10,21,7,4,2,1,,,1,14,6,6,6,2,2,1,2,3,2,,,,,101021007
1,10,21,7,5,2,1,,,1,87,6,6,6,2,2,1,0,0,2,,,,,101021007
1,10,21,26,5,2,1,,,1,24,6,6,6,2,2,1,0,0,2,,,,,101021026
1,10,21,26,6,2,1,,,1,87,6,6,6,2,2,1,0,0,1,5,1,8,,101021026
1,10,21,30,3,2,1,,,1,87,1,3,7,2,2,1,0,0,1,6,1,2,,101021030
1,10,21,62,5,2,1,,,1,12,1,6,6,2,2,1,1,0,2,,,,,101021062
1,10,21,63,2,1,1,,,1,87,87,87,87,2,2,1,0,0,1,3,2,,,101021063
1,10,21,67,3,2,1,,,1,18,2,6,6,2,2,1,0,0,2,,,,,101021067
1,17,22,5,6,2,1,,,1,24,3,4,4,2,2,1,0,0,2,,,,,101022005
1,17,22,9,6,2,1,,,1,18,3,3,6,2,2,1,0,0,2,,,,,101022009
1,17,22,11,3,2,1,,,1,24,5,5,12,2,2,1,0,0,2,,,,,101022011
1,17,22,11,4,2,1,,,1,24,6,6,12,2,2,1,0,0,2,,,,,101022011
1,17,22,12,3,2,1,,,1,87,87,87,87,2,2,1,0,0,2,,,,,101022012
1,17,22,24,4,2,1,,,1,24,6,6,8,2,2,1,0,0,2,,,,,101022024
1,17,22,24,5,2,1,,,1,24,6,6,8,2,2,1,0,0,2,,,,,101022024
1,17,22,25,4,2,1,,,1,24,1,3,5,2,2,1,0,2,2,,,,,101022025
1,17,22,25,5,2,1,,,1,24,1,3,5,2,2,1,0,0,2,,,,,101022025
1,17,22,45,4,2,1,,,1,24,1,2,3,2,2,1,0,0,2,,,,,101022045
1,16,23,11,5,2,1,,,1,87,6,6,6,2,2,1,0,0,1,1,2,,,101023011
1,16,23,15,2,1,1,,,1,87,7,10,12,2,2,1,0,0,2,,,,,101023015
1,16,23,24,6,2,1,,,1,24,6,6,8,2,2,1,0,0,2,,,,,101023024
1,16,23,24,7,2,1,,,1,87,87,87,87,2,2,1,0,0,2,,,,,101023024
1,16,23,31,5,2,1,,,1,87,6,6,87,2,2,1,0,0,1,2,2,,,101023031
1,16,23,37,3,2,1,,,1,12,6,6,8,2,2,1,1,1,2,,,,,101023037
1,16,23,37,4,2,1,,,1,87,6,6,9,2,2,1,0,0,1,4,1,0,,101023037
1,17,24,32,5,2,1,,,2,24,1,5,7,2,2,1,0,0,2,,,,,101024032
1,17,24,36,5,1,1,,,1,18,6,7,8,2,2,1,2,0,2,,,,,101024036
1,17,24,38,5,2,1,,,2,18,6,8,8,2,2,1,0,0,2,,,,,101024038
1,17,24,38,6,2,1,,,1,87,6,7,87,2,2,1,0,0,1,2,2,,,101024038
1,17,24,51,6,2,1,,,1,24,3,6,7,2,2,1,0,0,1,12,2,,,101024051
1,2,25,2,7,2,1,,,1,24,6,8,9,2,2,1,1,0,2,,,,,101025002
1,2,25,2,8,2,1,,,1,87,6,8,8,2,2,1,2,0,1,2,2,,,101025002
1,2,25,3,6,2,1,,,1,24,2,6,8,2,2,1,1,0,2,,,,,101025003
1,2,25,6,6,2,1,,,1,24,6,8,8,2,2,1,3,0,2,,,,,101025006
1,2,25,6,7,2,1,,,1,87,6,8,87,2,2,1,0,0,1,3,2,,,101025006
1,2,25,12,3,2,1,,,1,18,2,6,8,2,2,1,0,0,2,,,,,101025012
1,2,25,12,4,2,1,,,1,87,4,6,6,2,2,1,0,0,1,12,2,,,101025012
1,2,25,13,3,2,1,,,1,24,1,6,6,2,2,1,0,0,1,2,2,,,101025013
1,2,25,13,4,2,1,,,1,87,87,87,87,2,2,1,0,0,2,,,,,101025013
1,2,25,51,4,2,1,,,1,24,5,8,12,2,2,1,0,0,2,,,,,101025051
1,2,25,100,5,2,1,,,1,18,1,6,12,2,2,1,0,0,1,8,2,,,101025100
1,2,26,6,5,2,1,,,1,24,10,12,12,2,2,1,1,0,2,,,,,101026006
1,2,26,6,6,2,1,,,1,87,10,12,12,2,2,1,0,0,2,,,,,101026006
1,2,26,10,5,1,1,,,1,24,6,6,6,2,2,1,0,0,2,,,,,101026010
1,2,26,19,5,2,1,,,1,18,1,10,12,2,2,1,0,0,2,,,,,101026019
1,2,26,24,3,1,1,,,1,87,1,4,6,2,2,1,0,0,1,3,2,,,101026024
1,2,26,30,3,1,1,,,1,24,1,3,3,2,2,1,0,0,2,,,,,101026030
1,2,26,43,5,2,1,,,1,24,1,3,3,2,2,1,0,0,2,,,,,101026043
1,10,27,4,6,2,1,,,1,36,2,3,5,2,2,1,,,2,,,,,101027004
1,10,27,9,8,2,1,,,1,24,1,3,3,2,2,1,,,2,,,,,101027009
1,10,27,11,5,1,1,,,1,24,3,6,6,2,2,1,,,2,,,,,101027011
1,10,27,11,6,1,1,,,1,18,3,6,6,2,2,1,,,1,2,2,,,101027011
1,10,27,13,7,2,1,,,1,24,1,3,3,2,2,3,,,2,,,,,101027013
1,10,27,20,6,2,1,,,1,24,6,6,6,2,2,1,,,2,,,,,101027020
