"id1","id2","id3","id4","crop_no","plotno","s4bi_b63i","s4bi_b63ii","s4bi_b64","s4bi_b65i","s4bi_b65ii","s4bi_b66i","s4bi_b661i","s4bi_b661ii","s4bi_b67i","s4bi_b67ii","s4bi_b68","s4bi_b69i","s4bi_b69ii","s4bi_b70","s4bi_b71i","s4bi_b71ii","s4bi_b72i","s4bi_b72ii","hhno"
1,1,8,78,10,2,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,4,1,23,7,3,1,44,2,,,,,2,,,2,12,,1,,101008078
1,1,8,78,15,1,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,13,3,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,2,3,27,7,3,1,44,2,,,,,2,,,2,6,,1,,101008078
1,1,8,78,7,1,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,14,2,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,9,2,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,6,3,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,3,3,37,7,3,1,44,2,,,,,2,,,2,10,,1,,101008078
1,1,8,78,5,2,12,7,3,1,44,2,,,,,2,,,2,3,,1,,101008078
1,1,8,78,1,1,19,7,3,4,44,2,,,,,2,,,2,20,,0,,101008078
1,1,8,78,11,2,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,8,3,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,12,1,,,,,,,,,,,,,,,,,,,101008078
1,2,5,13,3,2,27,7,3,200,,2,,,0,,2,,,2,138,,1,,101005013
1,2,5,13,1,2,6,7,3,200,,2,,,0,,2,,,2,0,,1,,101005013
1,2,5,13,10,2,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,14,1,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,13,2,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,12,2,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,8,2,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,4,1,,,,200,,,,,0,,2,,,2,30,,1,,101005013
1,2,5,13,15,1,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,2,1,5,6,3,200,,2,,,0,,2,,,2,15,,1,,101005013
1,2,5,13,7,2,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,6,1,,,,,,2,,,0,,2,,,,,,,,101005013
1,2,5,13,11,2,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,9,1,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,5,2,,,,200,,2,,,0,,2,,,2,17,50,1,,101005013
1,2,5,36,1,3,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,8,1,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,11,2,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,6,2,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,10,3,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,3,3,27,7,3,1,,2,,,2,,2,,,2,7,0,,0,101005036
1,2,5,36,7,2,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,13,1,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,9,2,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,5,3,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,15,1,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,4,2,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,14,3,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,2,3,5,6,3,4,,2,,,5,,2,,,2,36,0,,0,101005036
1,2,5,36,12,2,,,,,,,,,,,,,,,,,,,101005036
1,2,5,41,9,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,5,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,11,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,13,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,6,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,1,1,5,6,3,4,,2,,,0,,2,1,,2,120,,1,,101005041
1,2,5,41,4,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,14,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,3,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,12,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,10,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,15,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,8,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,7,1,,,,,,,,,,,,,,,,,,,101005041
1,2,5,41,2,1,27,7,3,4,,2,,,0,,2,1,,2,85,,1,,101005041
1,2,5,52,2,2,19,7,3,1,,2,,,5,20,2,,,2,26,,1,,101005052
1,2,5,52,11,1,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,14,1,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,15,3,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,8,3,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,3,1,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,7,2,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,1,3,5,6,3,1,,2,,,5,40,2,,,2,150,,1,,101005052
1,2,5,52,12,3,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,5,3,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,6,3,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,10,1,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,4,2,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,13,1,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,9,3,,,,,,,,,,,,,,,,,,,101005052
1,2,6,1,11,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,10,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,14,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,2,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,15,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,9,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,1,1,37,7,3,3,44,2,,,2,,2,,,2,35,,,,101006001
1,2,6,1,8,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,5,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,12,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,3,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,13,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,6,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,7,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,1,4,1,,,,,,,,,,,,,,,,,,,101006001
1,2,6,11,1,1,5,7,3,1.5,44,2,,,,,2,,,2,25,,,,101006011
1,2,6,11,4,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,5,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,3,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,9,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,11,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,8,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,10,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,6,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,12,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,13,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,2,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,14,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,15,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,11,7,1,,,,,,,,,,,,,,,,,,,101006011
1,2,6,15,12,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,10,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,2,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,13,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,8,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,1,1,6,7,5,2,44,2,,,10,,2,,,2,150,,,,101006015
1,2,6,15,7,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,5,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,15,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,11,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,3,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,4,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,14,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,6,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,15,9,1,,,,,,,,,,,,,,,,,,,101006015
1,2,6,23,4,1,,,,,,,,,,,,,,,,,,,101006023
1,2,6,23,14,1,,,,,,,,,,,,,,,,,,,101006023
