"id1","id2","id3","id4","otrans_no","s3biii_26","s3biii_27ii","s3biii_28","s3biii_29","s3biii_31ii","s3biii_32","s3biii_33","s3biii_33_1","s3biii_33_2","s3biii_33_3","s3biii_33_4","s3biii_33_5","s3biii_34i","s3biii_34ii","s3biii_35i","s3biii_35ii","s3biii_36i","s3biii_36ii","s3biii_37","hhno"
1,10,21,45,1,1,,2,,-8,5,"1,6,8",1,6,8,,,40,0,0,0,0,0,4,101021045
1,10,21,54,2,1,,1,7,-8,5,"1,6,8",1,6,8,,,20,0,0,0,0,0,4,101021054
1,10,21,54,1,1,,1,1,-8,5,"1,6,8",1,6,8,,,30,0,0,0,0,0,4,101021054
1,10,21,62,1,1,,1,4,-8,3,"1",1,,,,,60,0,0,0,0,0,3,101021062
1,10,21,67,2,1,,1,10,,3,"1",1,,,,,80,0,40,0,0,0,4,101021067
1,10,21,67,1,1,,1,3,,2,"1,8",1,8,,,,120,0,80,0,0,0,3,101021067
1,10,21,68,2,1,,1,7,-8,3,"1,6,8",1,6,8,,,50,0,200,0,50,0,3,101021068
1,10,21,68,1,1,,1,88,-8,5,"1,6,8",1,6,8,,,1000,0,0,0,70,0,3,101021068
1,10,21,69,2,1,,1,2,-8,5,"1,5,6",1,5,6,,,700,0,0,0,0,0,5,101021069
1,10,21,69,1,1,,1,1,-8,5,"1,5,6",1,5,6,,,900,0,0,0,0,0,5,101021069
1,17,22,5,1,1,,1,2,,5,"1,6,9",1,6,9,,,600,0,0,0,0,0,4,101022005
1,17,22,9,1,1,,1,2,,3,"1,3,6",1,3,6,,,700,0,0,0,0,0,2,101022009
1,17,22,30,1,1,,1,1,,3,"1,5",1,5,,,,600,0,30,0,0,0,3,101022030
1,17,22,33,1,1,,1,,,2,"1,5,6",1,5,6,,,600,0,100,0,0,0,3,101022033
1,17,22,35,1,1,,1,88,-8,2,"1",1,,,,,600,0,200,0,0,0,3,101022035
1,17,22,36,1,1,,1,2,,5,"1,6,7",1,6,7,,,30,0,20,0,0,0,5,101022036
1,17,22,45,1,1,,1,5,,5,"1,6,7",1,6,7,,,100,0,0,0,0,0,3,101022045
1,16,23,13,1,1,,1,3,,3,"1,6",1,6,,,,120,0,50,0,0,0,3,101023013
1,16,23,14,1,1,,1,1,,3,"1,4",1,4,,,,520,0,120,0,20,0,4,101023014
1,16,23,15,1,1,,1,7,-8,3,"1,5",1,5,,,,30,0,30,0,0,0,4,101023015
1,16,23,17,1,1,,1,4,-8,3,"1,4",1,4,,,,40,0,0,0,0,0,4,101023017
1,16,23,18,1,1,,1,8,,3,"1,5",1,5,,,,400,0,0,0,0,0,4,101023018
1,16,23,28,1,1,,1,2,,2,"1,5",1,5,,,,100,0,0,0,0,0,3,101023028
1,16,23,28,2,1,,1,3,,2,"1,5",1,5,,,,120,0,0,0,0,0,3,101023028
1,16,23,30,1,1,,1,6,,2,"1",1,,,,,70,0,30,0,0,0,3,101023030
1,16,23,31,1,1,,1,88,,4,"1",1,,,,,250,0,50,0,0,0,4,101023031
1,16,23,31,2,1,,1,2,,1,"1,5",1,5,,,,150,0,70,0,0,0,3,101023031
1,16,23,32,,1,,1,3,,3,"1",1,,,,,20,0,0,0,0,0,4,101023032
1,16,23,37,1,1,,1,1,,3,"1,5",1,5,,,,150,0,10,0,0,0,3,101023037
1,16,23,37,2,1,,1,7,,3,"1,5",1,5,,,,150,0,0,0,0,0,2,101023037
1,16,23,40,1,1,,1,7,,3,"1",1,,,,,50,0,0,0,0,0,4,101023040
1,17,24,16,1,1,,1,88,,2,"1,5,6",1,5,6,,,120,0,30,0,50,0,3,101024016
1,17,24,16,2,1,,1,88,,2,"1,5,6",1,5,6,,,40,0,20,0,35,0,5,101024016
1,17,24,17,1,1,,1,5,,2,"1,5,6",1,5,6,,,600,0,200,0,0,0,3,101024017
1,17,24,20,1,1,,1,2,,5,"1,6,8",1,6,8,,,80,0,30,0,15,0,3,101024020
1,17,24,23,1,1,,1,88,,2,"1,3",1,3,,,,1500,0,800,0,50,0,3,101024023
1,17,24,39,1,1,,1,4,,4,"1,6,8",1,6,8,,,30,0,0,0,0,0,4,101024039
1,17,24,42,1,1,,2,,-8,2,"1,5,6",1,5,6,,,60,0,0,0,0,0,3,101024042
1,17,24,50,1,1,,1,10,,5,"1,6,8",1,6,8,,,300,0,30,0,0,0,4,101024050
1,17,24,51,1,1,,1,3,,4,"1",1,,,,,25,0,0,0,0,0,3,101024051
1,2,25,33,1,1,,1,4,-8,3,"1,4",1,4,,,,500,0,100,0,0,0,4,101025033
1,2,25,37,1,1,,1,1,,3,"1,5",1,5,,,,300,0,25,0,0,0,4,101025037
