"id1","id2","id3","id4","s10c_0","hhno"
1,17,22,12,1,101022012
1,17,22,18,1,101022018
1,17,22,24,1,101022024
1,17,22,25,1,101022025
1,17,22,30,1,101022030
1,17,22,33,1,101022033
1,17,22,35,1,101022035
1,17,22,36,1,101022036
1,17,22,37,1,101022037
1,17,22,42,1,101022042
1,17,22,45,1,101022045
1,17,24,16,1,101024016
1,17,24,17,1,101024017
1,17,24,20,1,101024020
1,17,24,21,1,101024021
1,17,24,23,1,101024023
1,17,24,28,1,101024028
1,17,24,32,1,101024032
1,17,24,36,1,101024036
1,17,24,38,1,101024038
1,17,24,39,1,101024039
1,17,24,42,1,101024042
1,17,24,43,1,101024043
1,17,24,45,1,101024045
1,17,24,50,1,101024050
1,17,24,51,1,101024051
2,2,32,2,1,102032002
2,2,32,5,1,102032005
2,2,32,8,1,102032008
2,2,32,10,1,102032010
2,2,32,11,1,102032011
2,2,32,14,1,102032014
2,2,32,15,1,102032015
2,2,32,18,1,102032018
2,2,32,36,1,102032036
2,2,32,38,1,102032038
2,2,32,64,1,102032064
2,2,32,66,1,102032066
2,2,32,82,82,102032082
2,2,32,84,1,102032084
2,2,32,89,1,102032089
2,2,33,2,1,102033002
2,2,33,4,1,102033004
2,2,33,10,1,102033010
2,2,33,12,1,102033012
2,2,33,15,1,102033015
2,2,33,16,1,102033016
2,2,33,17,1,102033017
2,2,33,18,1,102033018
2,2,33,21,1,102033021
2,2,33,28,1,102033028
2,2,33,34,1,102033034
2,2,33,37,1,102033037
2,2,33,43,1,102033043
2,2,33,71,1,102033071
2,2,33,87,1,102033087
2,2,34,7,1,102034007
2,2,34,19,,102034019
2,2,34,34,1,102034034
2,2,34,41,1,102034041
2,2,34,56,1,102034056
2,2,34,66,1,102034066
2,2,34,73,1,102034073
2,2,34,76,1,102034076
2,2,34,90,1,102034090
2,2,34,92,,102034092
2,2,34,117,1,102034117
2,2,34,140,1,102034140
2,2,34,149,1,102034149
2,2,34,150,1,102034150
2,2,34,164,1,102034164
2,2,35,1,1,102035001
2,2,35,2,1,102035002
2,2,35,4,1,102035004
2,2,35,9,1,102035009
2,2,35,10,1,102035010
2,2,35,11,1,102035011
2,2,35,13,13,102035013
2,2,35,14,1,102035014
2,2,35,18,1,102035018
2,2,35,19,1,102035019
2,2,35,20,1,102035020
2,2,35,21,1,102035021
2,2,35,27,1,102035027
2,2,35,28,1,102035028
2,2,35,44,1,102035044
2,2,37,1,14,102037001
2,2,37,2,14,102037002
2,2,37,5,14,102037005
2,2,37,6,14,102037006
2,2,37,10,14,102037010
2,2,37,13,14,102037013
2,2,37,21,14,102037021
2,2,37,27,14,102037027
2,2,37,28,14,102037028
2,2,37,29,14,102037029
2,2,37,30,30,102037030
2,2,37,31,14,102037031
2,2,37,35,1,102037035
2,2,37,37,2,102037037
2,2,37,38,14,102037038
2,3,36,1,1,102036001
2,3,36,2,1,102036002
2,3,36,3,1,102036003
2,3,36,4,1,102036004
2,3,36,5,1,102036005
2,3,36,6,1,102036006
2,3,36,8,1,102036008
2,3,36,9,1,102036009
2,3,36,11,1,102036011
2,3,36,12,1,102036012
2,3,36,13,1,102036013
2,3,36,14,1,102036014
2,3,36,15,1,102036015
2,3,36,16,1,102036016
2,3,36,17,1,102036017
2,5,51,1,1,102051001
2,5,51,2,1,102051002
2,5,51,3,1,102051003
2,5,51,6,1,102051006
2,5,51,9,1,102051009
2,5,51,13,1,102051013
2,5,51,14,1,102051014
2,5,51,15,1,102051015
2,5,51,20,1,102051020
2,5,51,23,1,102051023
2,5,51,26,1,102051026
2,5,51,53,1,102051053
2,5,51,58,1,102051058
2,5,51,64,1,102051064
