date,btc
25/4/17,1286.630005
26/4/17,1332.910034
27/4/17,1329.619995
28/4/17,1336.280029
29/4/17,1351.910034
30/4/17,1415.810059
1/5/17,1445.930054
2/5/17,1485.550049
3/5/17,1516.76001
4/5/17,1507.77002
5/5/17,1545.290039
6/5/17,1554.449951
7/5/17,1664.469971
8/5/17,1697.5
9/5/17,1752.310059
10/5/17,1819.290039
11/5/17,1686.390015
12/5/17,1763.73999
13/5/17,1772.550049
14/5/17,1708.920044
15/5/17,1729.339966
16/5/17,1801.300049
17/5/17,1880.98999
18/5/17,1962
19/5/17,2040.180054
20/5/17,2044.189941
21/5/17,2124.409912
22/5/17,2272.580078
23/5/17,2445.280029
24/5/17,2307.219971
25/5/17,2244.889893
26/5/17,2052.429932
27/5/17,2189.02002
28/5/17,2278.209961
29/5/17,2192.550049
30/5/17,2303.340088
31/5/17,2412.649902
1/6/17,2492.600098
2/6/17,2545.429932
3/6/17,2524.060059
4/6/17,2704.959961
5/6/17,2870.5
6/6/17,2691.51001
7/6/17,2798.780029
8/6/17,2811.429932
9/6/17,2900.25
10/6/17,2973.449951
11/6/17,2656.77002
12/6/17,2712.98999
13/6/17,2467.27002
14/6/17,2442.459961
15/6/17,2508.580078
16/6/17,2655.100098
17/6/17,2539.560059
18/6/17,2616.820068
19/6/17,2754.379883
20/6/17,2677.620117
21/6/17,2722.840088
22/6/17,2710.370117
23/6/17,2590.050049
24/6/17,2541.620117
25/6/17,2446.050049
26/6/17,2583.75
27/6/17,2577.73999
28/6/17,2558.370117
29/6/17,2480.610107
30/6/17,2424.610107
1/7/17,2536.459961
2/7/17,2572.469971
3/7/17,2617.320068
4/7/17,2627.860107
5/7/17,2614.23999
6/7/17,2513.879883
7/7/17,2564.860107
8/7/17,2511.429932
9/7/17,2344.02002
10/7/17,2324.290039
11/7/17,2403.090088
12/7/17,2362.439941
13/7/17,2234.169922
14/7/17,1975.079956
15/7/17,1914.089966
16/7/17,2233.389893
17/7/17,2320.22998
18/7/17,2282.580078
19/7/17,2866.02002
20/7/17,2675.080078
21/7/17,2836.530029
22/7/17,2756.610107
23/7/17,2763.419922
24/7/17,2582.580078
25/7/17,2559.209961
26/7/17,2691.879883
27/7/17,2806.75
28/7/17,2733.5
29/7/17,2766.48999
30/7/17,2883.27002
31/7/17,2746.98999
1/8/17,2720.530029
2/8/17,2809.98999
3/8/17,2878.48999
4/8/17,3262.800049
5/8/17,3232.030029
6/8/17,3401.909912
7/8/17,3429.379883
8/8/17,3348.790039
9/8/17,3425.669922
10/8/17,3654.370117
11/8/17,3871.620117
12/8/17,4062.600098
13/8/17,4327.939941
14/8/17,4161.660156
15/8/17,4387.399902
16/8/17,4278.919922
17/8/17,4105.370117
18/8/17,4150.450195
19/8/17,4066.600098
20/8/17,4005.100098
21/8/17,4089.699951
22/8/17,4141.089844
23/8/17,4318.350098
24/8/17,4364.410156
25/8/17,4352.299805
26/8/17,4345.75
27/8/17,4390.310059
28/8/17,4597.310059
29/8/17,4583.02002
30/8/17,4735.109863
31/8/17,4921.850098
1/9/17,4573.799805
