"id1","id2","id3","id4","animal_id","s3ai_1","s3ai_2i","s3ai_2ii","s3ai_3i","s3ai_3ii","s3ai_4","s3ai_5i","s3ai_5ii","s3ai_6i","s3ai_6ii","s3ai_7i","s3ai_7ii","s3ai_8i","s3ai_8ii","s3ai_9i","s3ai_9ii","s3ai_10i","s3ai_10ii","s3ai_11i","s3ai_11ii","s3ai_12i","s3ai_12ii","hhno"
1,10,20,26,7,20,,,80,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,101020026
1,10,20,35,4,6,,,240,0,2,0,0,10,0,0,0,30,0,0,0,0,0,0,0,30,0,101020035
1,10,20,43,7,10,,,25,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,101020043
1,10,21,1,7,10,,,80,0,1,2,0,4,0,0,0,2,0,0,0,0,0,0,0,25,0,101021001
1,10,21,67,4,2,,,50,0,2,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,101021067
1,10,21,69,4,3,2,,70,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101021069
1,17,22,5,7,50,,,750,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,101022005
1,17,22,9,7,15,,,150,0,1,20,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,101022009
1,17,22,11,7,8,,,48,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,101022011
1,17,22,18,7,20,,,100,0,1,20,0,5,0,0,0,20,0,0,0,0,0,0,0,20,0,101022018
1,17,22,24,7,10,,,200,0,2,0,0,7,0,0,0,100,0,10,0,0,0,8,0,0,0,101022024
1,17,22,30,7,10,,,80,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,101022030
1,17,22,35,3,14,,,1000,0,1,50,0,15,0,0,0,20,0,0,0,0,0,0,0,120,0,101022035
1,17,22,35,7,8,,,150,0,1,10,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,101022035
1,17,22,37,7,8,,,180,0,2,0,0,5,0,0,0,10,0,70,0,0,0,5,0,0,0,101022037
1,17,22,45,7,10,,,150,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101022045
1,16,23,11,4,2,,,80,0,1,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101023011
1,16,23,11,7,6,,,60,0,1,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,101023011
1,16,23,13,4,4,,,35,0,1,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,101023013
1,16,23,14,7,5,,,45,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,101023014
1,16,23,18,7,10,,,50,0,1,2,0,2,0,0,0,30,0,0,0,0,0,0,0,0,0,101023018
1,16,23,28,7,70,,,490,0,1,4,0,3,0,0,0,5,0,0,0,0,0,0,0,200,0,101023028
1,16,23,28,4,10,,,200,0,1,7,0,5,0,10,0,40,0,0,0,0,0,0,0,150,0,101023028
1,16,23,30,7,2,,,20,0,2,5,0,4,0,0,0,15,0,0,0,0,0,0,0,7,0,101023030
1,16,23,31,7,5,,,50,0,1,0,0,20,0,0,0,7,0,0,0,0,0,0,0,22,0,101023031
1,16,23,31,4,1,,,60,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,101023031
1,16,23,32,7,1,,,6,0,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,101023032
1,16,23,36,7,20,,,150,0,1,5,0,2,0,0,0,14,0,0,0,0,0,0,0,60,0,101023036
1,16,23,37,4,5,,,350,0,2,0,0,50,0,0,0,80,0,0,0,0,0,0,0,120,0,101023037
1,16,23,37,7,20,,,150,0,2,0,0,30,0,0,0,50,0,0,0,0,0,0,0,0,0,101023037
1,17,24,16,7,15,1,,70,0,1,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101024016
1,17,24,28,3,6,,,1100,0,2,0,0,0,0,6,0,70,0,0,0,0,0,0,0,50,0,101024028
1,17,24,28,7,20,,,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101024028
1,17,24,28,4,4,,,500,0,2,0,0,0,0,8,0,70,0,0,0,0,0,0,0,0,0,101024028
1,17,24,32,4,3,,,120,0,2,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,101024032
1,17,24,36,7,1,,,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101024036
1,17,24,38,7,10,,,40,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101024038
1,17,24,38,4,2,,,50,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,101024038
1,17,24,38,3,15,,,1500,0,2,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,101024038
1,17,24,39,7,40,,,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,101024039
1,17,24,42,4,8,1,,800,0,1,0,0,150,0,1,50,0,0,0,0,0,0,0,0,0,0,101024042
1,17,24,42,7,30,1,,500,0,1,0,0,200,0,1,50,0,0,0,0,0,0,0,0,0,0,101024042
1,17,24,43,7,10,,,80,0,1,2,0,0,0,3,0,10,0,0,0,0,0,0,0,35,0,101024043
1,17,24,51,7,5,,,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101024051
1,2,25,2,3,7,,,200,0,1,30,0,0,0,0,0,20,0,0,0,0,0,0,0,50,0,101025002
1,2,25,2,1,1,,,150,0,1,40,0,50,0,0,0,40,0,0,0,0,0,0,0,0,0,101025002
1,2,25,2,7,32,,,240,0,1,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,101025002
1,2,25,3,7,25,,,55,0,1,23,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,101025003
1,2,25,3,3,2,,,60,0,1,25,0,5,0,0,0,15,0,0,0,0,0,0,0,45,0,101025003
1,2,25,6,3,4,,,180,0,1,50,0,10,0,50,0,0,0,0,0,0,0,0,0,80,0,101025006
1,2,25,6,7,60,,,500,0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,101025006
1,2,25,12,8,,,,1000,0,1,200,0,30,0,0,0,60,0,0,0,0,0,0,0,100,0,101025012
1,2,25,12,7,15,,,200,0,1,30,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,101025012
1,2,25,12,5,30,,,1500,0,1,100,0,10,0,0,0,300,0,0,0,0,0,0,0,1200,0,101025012
1,2,25,13,7,20,,,300,0,1,50,0,10,0,30,0,5,0,0,0,0,0,0,0,7,0,101025013
1,2,25,33,8,200,,,600,0,1,50,0,70,0,0,0,600,0,0,0,0,0,0,0,150,0,101025033
1,2,25,37,3,8,,,320,0,2,0,0,20,0,9,0,55,0,0,0,0,0,0,0,70,0,101025037
1,2,25,37,7,30,,,190,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,101025037
1,2,25,50,7,4,,,32,0,1,20,0,4,0,0,0,4,80,0,0,0,0,0,0,0,0,101025050
1,2,25,97,7,40,,,200,0,1,0,0,7,0,0,0,4,0,0,0,0,0,0,0,10,0,101025097
1,2,25,97,3,10,,,300,0,1,0,0,10,0,0,0,20,0,0,0,0,0,0,0,140,0,101025097
1,2,25,100,7,3,,,25,0,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,101025100
1,2,26,4,3,2,1,,80,0,2,0,0,100,0,0,0,50,0,0,0,0,0,0,0,0,0,101026004
1,2,26,8,7,15,1,,75,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,101026008
1,2,26,8,3,2,1,,80,0,1,0,0,20,0,10,0,10,0,0,0,0,0,10,0,0,0,101026008
1,2,26,10,3,6,1,,270,0,2,0,0,12,0,0,0,45,0,0,0,0,0,0,0,90,0,101026010
1,2,26,10,7,18,1,,108,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101026010
1,2,26,17,3,5,1,,50,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,101026017
1,2,26,26,3,2,,,120,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,101026026
1,2,26,26,7,3,,,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101026026
1,2,26,29,7,12,1,,84,0,2,0,0,15,0,0,0,15,0,5,0,0,0,0,0,0,0,101026029
1,2,26,30,3,4,1,,200,0,1,0,0,30,0,12,0,10,0,0,0,0,0,0,0,0,0,101026030
1,2,26,40,3,4,2,,240,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,101026040
1,2,26,40,7,8,2,,70,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,101026040
1,2,26,42,3,10,1,,1000,0,1,0,0,50,0,30,0,0,0,0,0,0,0,0,0,0,0,101026042
1,2,26,42,7,90,1,,1000,0,1,0,0,50,0,20,0,0,0,0,0,0,0,0,0,60,0,101026042
1,2,26,43,3,6,1,,300,0,1,0,0,50,0,36,0,5,0,0,0,0,0,0,0,0,0,101026043
1,10,27,9,7,22,3,,100,0,1,40,0,50,0,0,0,0,0,0,0,0,0,0,0,4,0,101027009
1,10,27,10,7,15,1,,40,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101027010
