"id1","id2","id3","id4","debt_no","s3bi_1i","s3bi_1ii","s3bi_2","s3bi_3","s3bi_4","s3bi_5ii","s3bi_5iii","s3bi_6_11","s3bi_6_12","s3bi_6_13","s3bi_6","s3bi_7","s3bi_7_1","s3bi_7_2","s3bi_8i","s3bi_8ii","s3bi_9a","s3bi_9bi","s3bi_9b2i","s3bi_9b2ii","s3bi_10","s3bi_11i","s3bi_11ii","s3bi_12i","s3bi_12ii","s3bi_13i","s3bi_13ii","hhno"
1,17,24,28,1,2009,6,1,1,11,-8,,2,,,"2","1",1,,90,0,2,,,,888,,,30,0,60,0,101024028
1,13,12,7,1,1,,2,1,7,-8,,10,,,"10","1",1,,15000,0,1,60,,,12,266,,0,0,12340,0,101012007
1,6,2,43,2,2008,,1,1,9,-8,,9,,,"9","1",1,,50,0,2,,,,888,,,25,0,25,0,101002043
1,10,27,11,3,2010,2,1,1,11,-8,,5,,,"5","1",1,,20,0,2,,,,888,,,0,0,20,0,101027011
1,1,3,50,1,2009,1,1,1,1,-8,,3,,,"3","1",1,,1500,0,1,,150,,1,150,,1650,0,16950,0,101003050
1,17,24,39,1,2008,9,1,1,11,,,5,,,"5","1",1,,900,0,2,,,,888,,,400,0,500,0,101024039
1,2,28,43,1,2009,8,1,1,11,-8,,6,,,"6","1",1,,70,0,2,,,,888,,,0,0,70,0,101028043
1,12,30,43,1,2006,3,1,1,8,-8,,6,,,"6","2",2,,800,0,1,1000,,,888,,,400,0,1200,0,101030043
1,17,24,36,1,3,,1,1,8,-8,,6,,,"6","1",1,,300,0,1,1000,,,12,20,,580,0,20,0,101024036
1,16,23,32,1,2009,8,1,1,11,4,,5,,,"5","1",1,,150,0,2,,,,888,,,50,0,100,0,101023032
1,10,18,2,1,2009,1,1,1,11,-8,,3,,,"3","1",1,,350,0,2,,,,888,,,300,0,50,0,101018002
1,13,11,94,1,2009,9,1,1,2,,,7,,,"7","1",1,,500,0,,260,,,12,52,50,210,0,420,0,101011094
1,2,25,50,1,2003,10,1,1,11,,,5,9,,"5,9","1",1,,700,0,2,,,,888,,,500,0,200,0,101025050
1,13,10,89,1,2009,10,1,1,11,-8,,9,,,"9","1",1,,300,0,1,300,700,0,2,,,0,0,370,0,101010089
1,13,10,150,1,1,3,1,1,1,-8,,3,,,"3","1",1,,250,0,1,,50,,636,50,,200,0,100,0,101010150
1,13,11,48,1,2009,11,1,1,1,,,4,,,"4","1",1,,3000,0,,160,,,24,165,,330,0,3630,0,101011048
1,2,25,3,1,2009,3,1,1,11,-8,,2,,,"2","1",1,,250,0,2,,,,888,,,150,0,100,0,101025003
1,6,1,26,1,2008,1,1,1,11,-8,,6,,,"6","1",1,,100,0,2,,,,888,,,0,0,100,0,101001026
1,2,25,13,1,2008,6,1,1,11,,,1,,,"1","1",1,,200,0,1,1000,,,888,,,200,0,200,0,101025013
1,10,20,18,2,2009,10,2,1,11,6,,2,16,,"2,16","1",1,,58,0,2,,,,888,,,0,0,58,0,101020018
1,2,7,33,2,2007,3,2,1,11,-8,,3,,,"3","1",1,,100,0,2,,,,888,,,0,0,100,0,101007033
1,10,17,11,1,2007,6,1,1,11,-8,,7,,,"7","1",1,,400,0,1,,200,,888,,,0,0,600,0,101017011
1,8,15,120,1,2009,,1,1,1,,,3,,,"3","1",1,,300,0,1,200,,,24,15,,330,0,30,0,101015120
1,1,8,53,1,2009,,1,1,11,-8,,6,,,"6","1",1,,500,0,2,,,,888,,,0,0,500,0,101008053
1,2,5,23,1,2009,10,1,1,11,-8,,3,,,"3","1",1,,400,0,2,,,,1,100,,0,0,400,0,101005023
1,16,23,13,2,2009,4,1,1,11,-8,,3,,,"3","1",1,,200,0,1,500,,,888,,,0,0,300,0,101023013
1,17,22,24,1,2009,9,1,1,8,-8,,9,,,"9","1",1,,100,0,,200,,,1,120,,0,0,120,0,101022024
1,12,30,6,1,2009,,1,1,11,-8,,5,,,"5","1",1,,150,0,2,,,,888,,,0,0,150,0,101030006
1,13,11,31,1,2009,8,1,1,3,,,4,,,"4","11",11,,800,0,1,218,,,18,59,,236,0,826,0,101011031
1,13,12,45,1,2008,11,2,1,1,,,3,,,"3","5",5,,5000,0,1,190,,,12,79,,2579,0,2500,0,101012045
1,17,22,9,1,2007,8,1,1,11,-8,,2,3,,"2,3","1",1,,250,0,1,50,,,888,,,170,0,92,50,101022009
1,13,9,227,1,2008,9,1,1,11,-8,,5,,,"5","1",1,,100,0,2,,,,888,,,200,0,800,0,101009227
1,6,2,37,5,2009,10,1,1,9,,,3,,,"3","1",1,,20,0,2,,,,888,,,10,0,10,0,101002037
1,8,13,95,1,2005,,1,1,1,-8,,1,,,"1","1",1,,30000,0,1,250,,,12,600,,0,0,37500,0,101013095
1,16,23,35,1,2002,6,1,1,11,,,6,9,,"6,9","1",1,,600,0,1,100,,,888,,,300,0,360,0,101023035
1,6,2,37,4,2009,10,1,1,9,,,3,,,"3","1",1,,30,0,2,,,,888,,,0,0,30,0,101002037
1,10,21,51,1,2010,1,1,1,9,-8,,7,,,"7","1",1,,60,0,2,,,,888,,,0,0,60,0,101021051
1,2,7,68,1,2009,11,2,1,9,,,9,,,"9","1",1,,28,0,2,,,,888,,,14,0,14,0,101007068
1,5,4,14,2,2009,9,1,1,11,14,,5,,,"5","1",1,,100,0,2,,,,888,,,0,0,100,0,101004014
1,2,7,33,1,2008,10,1,1,11,-8,,5,,,"5","1",1,,140,0,2,,,,888,,,0,0,140,0,101007033
1,10,21,54,1,2010,1,1,1,9,,,2,9,,"2,9","1",1,,150,0,2,,,,888,,,0,0,150,0,101021054
1,12,29,40,1,2009,10,1,1,11,-8,,3,,,"3","1",1,,200,0,2,,,,888,,,50,0,150,0,101029040
1,12,30,4,1,2009,10,1,1,11,-8,,5,,,"5","1",1,,300,0,1,,25,,888,,,0,0,375,0,101030004
1,6,1,12,1,2007,8,1,1,11,-8,,7,,,"7","1",1,,100,0,2,,,,888,,,0,0,100,0,101001012
1,17,24,43,1,2007,3,1,1,10,-8,,2,6,,"2,6","6",6,,2100,0,1,100,,,888,,,500,0,1810,0,101024043
1,6,2,37,2,2009,10,1,1,9,,,9,,,"9","1",1,,20,0,2,,,,888,,,10,0,10,0,101002037
1,10,18,26,1,2009,11,1,1,11,-8,,7,,,"7","1",1,,1000,0,2,,,,888,,,900,0,100,0,101018026
1,10,17,20,1,2009,8,1,1,11,-8,,1,5,,"1,5","1",1,,100,0,2,,,,888,,,0,0,100,0,101017020
1,2,6,15,1,2009,6,2,1,1,-8,,5,,,"5","1",1,,1000,0,1,100,,,12,50,,50,0,1050,0,101006015
1,17,22,35,1,2009,12,1,1,3,-8,,5,,,"5","5",5,,600,0,1,50,,,10,63,,315,0,315,0,101022035
1,12,30,5,1,2009,7,1,1,8,,,5,,,"5","2",2,,200,0,1,1000,,,888,,,200,0,200,0,101030005
1,2,7,10,1,2009,6,2,1,11,,,3,,,"3","1",1,,50,0,2,,,,888,,,0,0,50,0,101007010
1,6,2,41,1,2008,,2,1,1,-8,,3,,,"3","8",8,,200,0,1,,80,,6,40,,80,0,200,0,101002041
1,13,9,108,1,2009,5,1,1,1,-8,,4,,,"4","18",18,,1500,0,1,,960,,18,80,,480,0,1980,0,101009108
1,13,12,38,1,2008,6,1,1,1,-8,,3,,,"3","1",1,,3000,0,1,,114,,12,114,,2788,0,326,0,101012038
1,12,29,11,1,2009,4,1,1,1,-8,,6,,,"6","1",1,,500,0,1,,136,0,12,53,0,479,0,137,0,101029011
1,2,26,17,1,2009,7,1,1,11,-8,,6,,,"6","1",1,,100,0,2,,,,888,,,0,0,100,0,101026017
1,11,31,73,1,2009,8,1,1,11,-8,,5,,,"5","1",1,,200,0,2,,,,,,,0,0,200,0,101031073
1,10,21,68,1,2008,,1,1,11,-8,,7,9,,"7,9","1",1,,800,0,2,,,,888,,,300,0,500,0,101021068
1,2,25,101,1,2008,2,1,1,11,-8,,11,,,"11","1",1,,700,0,2,,,,888,,,400,0,300,0,101025101
1,8,13,67,1,2008,,2,1,11,-8,,1,,,"1","1",1,,200,0,2,,,,888,,,50,0,150,0,101013067
1,2,25,54,1,2009,1,1,1,11,-8,,5,,,"5","1",1,,1500,0,1,1000,,,888,,,2500,0,500,0,101025054
1,10,27,11,2,2010,2,1,1,9,-8,,7,,,"7","1",1,,20,0,2,,,,888,,,8,0,12,0,101027011
1,5,4,14,1,2009,9,1,1,11,-8,,5,,,"5","1",1,,100,0,2,,,,888,,,0,0,100,0,101004014
1,17,24,38,1,2009,6,1,1,11,37,,2,,,"2","1",1,,170,0,2,,,,888,,,0,0,170,0,101024038
1,2,28,9,1,2010,1,1,1,11,-8,,2,,,"2","1",1,,200,0,1,,200,,1,400,,0,0,400,0,101028009
1,10,21,62,1,2009,12,1,1,11,-8,,2,,,"2","1",1,,160,0,2,,,,888,,,0,0,160,0,101021062
1,2,28,21,1,2009,3,1,1,11,41,,6,,,"6","1",1,,200,0,1,,200,,888,,,300,0,100,0,101028021
1,17,22,30,1,2009,5,1,1,8,-8,,5,,,"5","1",1,,150,0,1,1000,,,888,,,0,0,300,0,101022030
1,11,31,73,2,2009,8,1,1,11,-8,,5,,,"5","1",1,,300,0,2,,,,,,,0,0,300,0,101031073
1,13,11,50,1,2007,12,1,1,2,,,3,,,"3","1",1,,5700,0,1,138,,,36,224,,5376,0,2688,0,101011050
1,12,29,34,1,2009,6,1,1,11,-8,,4,,,"4","1",1,,400,0,1,,20,0,888,,,400,0,20,0,101029034
1,2,25,97,1,2006,8,1,1,11,,,5,,,"5","1",1,,1000,0,2,,,,888,,,700,0,300,0,101025097
1,13,11,31,2,2009,12,1,1,3,,,4,,,"4","11",11,,600,0,1,200,,,12,60,,0,0,720,0,101011031
1,12,30,16,1,2009,10,1,1,6,-8,,3,,,"3","1",1,,700,0,2,,,,888,,,200,0,500,0,101030016
1,16,23,17,1,2009,1,1,1,11,40,,7,,,"7","1",1,,100,0,2,,,,888,,,0,0,100,0,101023017
1,2,28,35,1,2009,8,1,1,11,-8,,2,,,"2","1",1,,700,0,2,,,,1,700,,350,0,350,0,101028035
1,12,30,63,1,2009,11,1,1,11,5,,8,,,"8","1",1,,2750,0,2,,,,888,,,0,0,2750,0,101030063
1,16,23,13,1,2009,4,1,1,11,-8,,2,,,"2","1",1,,100,0,1,500,,,888,,,0,0,150,0,101023013
1,2,25,2,1,2007,3,1,1,11,-8,,2,6,,"2,6","2",2,,900,0,1,1000,,,888,,,900,0,900,0,101025002
1,10,20,25,1,2009,5,1,1,11,-8,,3,,,"3","1",1,,400,0,1,,100,,888,,,0,0,500,0,101020025
1,2,6,11,1,2009,7,1,1,11,-8,,9,,,"9","1",1,,80,0,2,,,,888,,,80,0,0,0,101006011
1,11,31,73,3,2009,8,1,1,11,-8,,5,,,"5","1",1,,100,0,2,,,,,,,0,0,100,0,101031073
1,12,30,63,2,2010,1,1,1,11,-8,,4,,,"4","1",1,,2200,0,2,,,,888,,,0,0,2200,0,101030063
1,8,15,65,1,2010,2,1,1,11,-8,,3,,,"3","1",1,,200,0,2,,,,888,,,0,0,200,0,101015065
1,17,22,18,1,2009,1,1,1,11,-8,,7,,,"7","1",1,,300,0,2,,,,888,,,0,0,300,0,101022018
1,10,18,11,2,2010,,1,1,9,-8,,9,,,"9","1",1,,20,0,2,,,,888,,,0,0,20,0,101018011
1,1,8,47,1,,8,1,1,1,-8,,3,,,"3","1",1,,700,0,1,,120,,12,110,,540,0,280,0,101008047
1,2,26,43,1,2009,7,1,1,8,-8,,6,,,"6","1",1,,400,0,1,1000,,,888,,,400,0,400,0,101026043
1,2,28,34,1,2009,6,1,1,11,-8,,2,5,,"2,5","1",1,,50,0,2,,,,888,,,0,0,50,0,101028034
1,10,21,58,1,2009,10,1,1,9,-8,,2,7,9,"2,7,9","1",1,,150,0,2,,,,888,,,50,0,100,0,101021058
1,2,26,29,1,2009,9,1,1,9,-8,,3,,,"3","1",1,,500,0,2,,,,888,,,0,0,500,0,101026029
1,10,27,9,1,2009,1,1,1,11,,,5,,,"5","1",1,,40,0,2,,,,888,,,0,0,40,0,101027009
1,13,12,36,1,2008,6,1,1,2,-8,,8,,,"8","1",1,,7000,0,1,,224,,12,224,,2688,0,4536,0,101012036
1,10,21,34,1,2010,2,1,1,11,-8,,3,,,"3","1",1,,100,0,2,,,,888,,,0,0,100,0,101021034
1,10,20,18,1,2009,11,1,1,11,-8,,2,,,"2","1",1,,100,0,2,,,,888,,,20,0,80,0,101020018
1,6,2,37,3,2009,10,1,1,9,,,9,,,"9","1",1,,20,0,2,,,,888,,,0,0,20,0,101002037
1,5,4,31,1,2009,,1,1,11,28,,2,,,"2","1",1,,200,0,2,,,,888,,,0,0,200,0,101004031
1,10,17,36,1,2009,6,1,1,11,-8,,9,,,"9","1",1,,100,0,2,,,,888,,,0,0,100,0,101017036
1,10,19,14,1,2009,1,1,1,11,-8,,19,,,"19","1",1,,300,0,2,,,,888,,,120,0,180,0,101019014
1,10,19,13,1,2009,10,1,1,11,-8,,7,,,"7","1",1,,120,0,2,,,,888,,,0,0,120,0,101019013
1,10,19,10,1,2010,3,1,1,11,-8,,3,,,"3","1",1,,50,0,2,,,,888,,,0,0,50,0,101019010
1,8,16,217,1,,10,1,1,11,-8,,5,,,"5","1",1,,100,0,1,2400,,,3,20,,80,0,100,0,101016217
1,2,7,40,1,2009,2,1,1,11,,,9,,,"9","1",1,,150,0,2,,,,888,,,0,0,150,0,101007040
1,10,17,56,1,2009,10,1,1,11,,,1,2,,"1,2","1",1,,50,0,2,,,,888,,,0,0,50,0,101017056
1,1,8,14,1,2008,,1,1,11,-8,,7,,,"7","1",1,,500,0,2,,,,888,,,100,0,400,0,101008014
1,8,16,51,1,2010,2,1,1,11,52,,3,,,"3","1",1,,120,0,1,250,,,3,50,,0,0,150,0,101016051
1,10,18,14,1,2010,1,2,1,9,-8,,3,,,"3","1",1,,320,0,2,,,,888,,,0,0,320,0,101018014
1,8,16,51,2,2010,1,1,1,11,49,,3,,,"3","1",1,,50,0,2,,,,888,,,0,0,50,0,101016051
1,6,1,34,1,2008,6,1,1,11,-8,,5,,,"5","1",1,,230,0,2,,,,888,,,0,0,230,0,101001034
1,6,1,15,1,2008,12,1,1,11,-8,,3,,,"3","1",1,,200,0,2,,,,888,,,0,0,200,0,101001015
1,8,14,113,1,2010,1,1,1,11,-8,,3,,,"3","1",1,,300,0,2,,,,888,,,0,0,300,0,101014113
1,2,28,26,1,2008,8,2,1,11,-8,,6,,,"6","2",2,,500,0,1,,500,,1,1000,,500,0,500,0,101028026
1,2,7,82,2,2007,,2,1,11,,,3,,,"3","1",1,,200,0,1,,50,,888,,,0,0,250,0,101007082
1,17,24,51,1,2009,11,1,1,11,-8,,2,3,,"2,3","1",1,,30,0,2,,,,888,,,0,0,30,0,101024051
1,13,11,58,1,2009,10,1,1,1,,,5,,,"5","1",1,,4200,0,1,360,,,24,250,,750,0,6474,0,101011058
1,2,28,21,2,2010,1,1,1,11,-8,,6,,,"6","1",1,,150,0,2,,,,888,,,0,0,150,0,101028021
1,12,29,23,1,2009,6,2,1,11,62,,6,,,"6","1",1,,200,0,2,,,,888,,,0,0,200,0,101029023
1,12,29,2,1,2010,1,1,1,11,-8,,3,,,"3","1",1,,200,0,2,,,,888,,,0,0,200,0,101029002
1,16,23,31,1,2009,6,1,1,11,-8,,2,,,"2","2",2,,5000,0,1,500,,,888,,,450,0,300,0,101023031
1,2,5,22,1,2009,8,1,1,9,-8,,3,,,"3","1",1,,100,0,2,,,,888,,,20,0,80,0,101005022
1,1,8,19,1,,8,1,1,1,,,3,,,"3","11",11,,700,0,1,,140,,8,104,,500,0,340,0,101008019
1,6,1,3,1,2009,3,1,1,11,-8,,2,,,"2","1",1,,100,0,2,,,,888,,,0,0,100,0,101001003
1,10,19,9,1,2009,3,1,1,11,-8,,7,,,"7","1",1,,65,0,2,,,,888,,,48,0,17,0,101019009
1,2,5,3,1,2008,11,1,1,11,-8,,6,,,"6","1",1,,350,0,1,250,,,,10,,30,0,320,0,101005003
1,1,8,14,2,2009,,1,1,11,-8,,4,,,"4","1",1,,300,0,2,,,,888,,,0,0,100,0,101008014
1,2,26,42,1,2009,4,1,1,11,-8,,2,6,,"2,6","1",1,,500,0,1,100,,,888,,,100,0,900,0,101026042
1,10,27,11,1,2010,1,1,1,9,-8,,7,,,"7","1",1,,25,0,2,,,,888,,,9,0,16,0,101027011
1,2,5,33,1,,1,1,1,11,,,7,,,"7","1",1,,50,0,2,,,,90,5,,20,0,30,0,101005033
1,2,25,12,1,2008,2,1,1,2,-8,,2,,,"2","1",1,,900,0,1,200,,,10,91,80,580,80,337,20,101025012
1,2,5,51,1,2009,4,1,1,11,,,3,,,"3","1",1,,500,0,2,,,,10,50,,200,0,300,0,101005051
1,1,8,22,1,,10,1,1,1,-8,,3,,,"3","1",1,,500,0,1,,100,,10,60,,330,0,270,0,101008022
1,12,29,29,1,2010,1,1,1,3,,,3,,,"3","1",1,,500,0,1,,50,0,2,550,0,222,90,328,0,101029029
1,2,7,19,1,2009,6,1,1,9,-8,,3,,,"3","1",1,,60,0,2,,,,888,,,0,0,60,0,101007019
1,10,27,23,1,2008,7,1,1,11,-8,,7,,,"7","1",1,,150,0,2,,,,888,,,70,0,80,0,101027023
1,10,21,1,1,2010,2,1,1,11,-8,,9,,,"9","1",1,,30,0,2,,,,888,,,0,0,30,0,101021001
1,2,7,36,1,2009,9,1,1,11,-8,,5,,,"5","1",1,,550,0,2,,,,888,,,0,0,550,0,101007036
1,6,2,28,1,2006,,2,1,11,-8,,3,,,"3","1",1,,500,0,2,,,,888,,,100,0,400,0,101002028
1,1,8,17,2,2010,,2,1,9,-8,,9,,,"9","1",1,,70,0,2,,,,1,70,,0,0,70,0,101008017
1,6,1,35,1,2009,7,1,1,11,-8,,7,,,"7","1",1,,400,0,2,,,,888,,,250,0,150,0,101001035
1,1,8,17,1,2010,,1,2,9,-8,,9,,,"9","1",1,,50,0,2,,,,1,50,,0,0,50,0,101008017
1,2,7,11,1,2007,3,1,1,11,,,6,,,"6","1",1,,75,0,2,,,,888,,,15,0,60,0,101007011
1,16,23,11,1,2007,7,1,1,11,-8,,2,,,"2","1",1,,3000,0,2,,,,888,,,750,0,2250,0,101023011
1,2,6,55,1,2009,5,1,1,11,-8,,3,,,"3","1",1,,100,0,2,,,,888,,,0,0,100,0,101006055
1,2,25,43,1,2007,3,1,1,11,-8,,2,,,"2","2",2,,400,0,2,,,,888,,,0,0,400,0,101025043
1,6,1,24,1,2009,11,1,1,10,-8,,3,,,"3","1",1,,100,0,2,,,,888,,,0,0,100,0,101001024
1,2,6,59,1,2009,,1,1,11,-8,,2,,,"2","1",1,,500,0,2,,,,888,,,0,0,500,0,101006059
1,10,18,11,1,2009,,1,1,9,-8,,9,,,"9","1",1,,10,0,2,,,,888,,,0,0,10,0,101018011
1,6,2,43,1,2009,8,1,1,9,-8,,9,,,"9","1",1,,16,0,2,,,,888,,,7,0,9,0,101002043
1,13,9,180,1,2008,8,1,1,2,,,4,,,"4","18",18,,4000,0,1,,1668,,12,1390,,1990,0,3678,0,101009180
1,10,20,4,1,2010,2,1,1,11,-8,,6,,,"6","1",1,,300,0,2,,,,888,,,0,0,300,0,101020004
1,2,25,100,1,2008,7,1,1,11,-8,,4,,,"4","1",1,,500,0,2,,,,888,,,0,0,500,0,101025100
1,10,17,21,1,2009,6,1,1,11,-8,,6,,,"6","1",1,,600,0,2,,,,888,,,200,0,400,0,101017021
1,2,28,28,1,2010,1,1,1,11,-8,,6,,,"6","1",1,,400,0,1,,300,,1,700,,670,0,30,0,101028028
2,7,50,27,1,2009,9,1,1,11,,,3,,,"3","1",1,,150,0,2,,,,12,2,,0,0,150,0,102050027
2,20,48,98,1,2010,2,1,1,11,-8,,7,,,"7","1",1,,200,0,2,,,,888,,,0,0,200,0,102048098
2,5,51,53,3,2009,12,1,1,9,,,3,,,"3","1",1,,41,0,1,20,,,888,,,41,82,0,0,102051053
2,9,55,94,2,2009,12,1,1,11,-8,,9,,,"9","1",1,,60,0,2,,,,888,,,60,0,0,0,102055094
2,9,54,2,1,2008,,1,1,11,-8,,3,,,"3","1",1,,120,0,2,,,,888,,,90,0,30,0,102054002
2,27,46,99,2,2010,1,2,1,11,,,9,,,"9","1",1,,1,50,2,,,,888,,,0,0,1,50,102046099
2,23,56,50,2,2010,3,2,1,11,-8,,3,,,"3","1",1,,10,0,1,500,,,3,5,,0,0,15,0,102056050
2,23,56,74,1,2010,2,1,1,11,-8,,3,,,"3","1",1,,45,0,2,,,,1,45,,0,0,45,0,102056074
2,22,53,74,1,2008,8,1,1,8,-8,,5,,,"5","1",1,,500,0,1,100,,,888,,,200,0,800,0,102053074
2,8,52,18,2,,1,2,1,9,,,6,,,"6","1",1,,4,0,2,,,,1,4,,0,0,4,0,102052018
2,5,51,6,1,2009,7,1,1,13,,,5,,,"5","1",1,,1000,0,1,18,,,6,100,,0,0,1000,0,102051006
2,2,37,29,1,2009,,1,1,11,,,3,,,"3","1",1,,200,0,,,40,,3,50,,40,0,200,0,102037029
2,9,55,7,1,2008,,1,2,11,,,3,,,"3","1",1,,70,0,2,,,,888,,,0,0,70,0,102055007
2,31,38,14,1,2010,2,1,1,3,,,7,,,"7","1",1,,60,0,1,,15,,888,,,0,0,75,0,102038014
2,22,53,88,1,1,2,1,1,11,-8,,7,,,"7","1",1,,700,0,2,,,,888,,,100,0,600,0,102053088
2,2,37,6,1,2009,,1,1,11,,,3,,,"3","1",1,,200,0,,400,80,,888,,,240,0,40,0,102037006
2,29,41,61,1,2009,3,1,1,1,,,2,,,"2","6",6,,500,0,1,280,140,,12,54,,478,0,162,0,102041061
2,29,42,50,1,,1,1,1,11,,,6,,,"6","1",1,,50,0,2,,,,1,50,,0,0,50,0,102042050
2,5,51,53,1,2009,10,1,1,9,,,3,,,"3","1",1,,220,0,1,20,,,888,194,40,30,0,0,0,102051053
2,2,35,14,1,2009,11,2,1,2,,,3,,,"3","17",17,,700,0,1,190,,,120,5,,25,0,808,0,102035014
2,7,50,19,1,2008,,1,1,11,,,6,,,"6","1",1,,60,0,2,,,,888,,,0,0,60,0,102050019
2,31,39,5,1,2008,8,1,1,1,-8,,3,,,"3","1",1,,1500,0,1,160,,,12,82,2,1312,0,428,0,102039005
2,29,43,66,1,2009,8,1,1,11,,,3,,,"3","1",1,,50,0,1,,25,,1,75,,0,0,75,0,102043066
2,3,36,3,1,2,,1,1,11,-8,,3,,,"3","1",1,,780,0,2,,,,888,,,0,0,780,0,102036003
2,2,32,84,1,2007,,1,1,3,,,3,,,"3","1",1,,500,0,1,12,,,12,,,460,0,100,0,102032084
2,29,41,25,1,2009,,1,1,1,,,3,,,"3","7",7,,50,0,1,-90,,,52,3,80,0,0,15,20,102041025
2,27,46,115,1,2010,2,1,1,11,-8,,3,,,"3","1",1,,400,0,2,,,,888,,,80,0,320,0,102046115
2,31,38,64,1,2008,9,1,1,11,-8,,6,,,"6","1",1,,400,0,1,,100,,888,,,250,0,250,0,102038064
2,23,56,58,2,2010,1,2,2,11,-8,,9,,,"9","1",1,,0,40,2,,,,888,,,0,0,0,40,102056058
2,9,54,4,1,2008,7,1,1,11,-8,,3,5,9,"3,5,9","1",1,,1000,0,1,60,,,12,,,200,0,800,0,102054004
2,27,46,54,1,2009,1,1,1,11,,,3,,,"3","1",1,,120,0,2,,,,888,,,60,0,60,0,102046054
2,20,48,68,1,2009,11,1,1,11,,,9,,,"9","1",1,,20,0,2,,,,888,,,0,0,20,0,102048068
2,9,55,94,1,2009,11,1,1,11,-8,,9,,,"9","1",1,,30,0,2,,,,888,,,0,0,30,0,102055094
2,23,57,12,1,2009,,1,1,11,-8,,6,,,"6","1",1,,10,0,2,,,,888,,,0,0,10,0,102057012
2,23,56,69,1,2010,2,1,1,11,,,5,,,"5","1",1,,150,0,1,100,,,888,,,0,0,300,0,102056069
2,19,49,118,2,2010,1,2,1,11,-8,,18,,,"18","1",1,,4,0,2,,,,888,,,0,0,4,0,102049118
2,7,50,1,1,2009,,1,1,11,-8,,2,9,,"2,9","1",1,,13,0,2,,,,888,,,0,0,13,0,102050001
2,23,56,51,2,2009,5,2,1,11,,,1,,,"1","1",1,,100,0,1,,70,,888,,,0,0,170,0,102056051
2,31,40,36,1,2009,9,1,1,1,,,5,,,"5","1",1,,700,0,,100,,,12,64,20,449,40,320,60,102040036
2,20,48,52,1,2009,3,1,1,11,-8,,5,,,"5","1",1,,80,0,2,,,,888,,,0,0,80,0,102048052
2,2,33,2,1,2009,8,1,1,1,,,5,,,"5","1",1,,1000,0,1,440,440,,12,120,,360,0,1080,0,102033002
2,20,48,58,1,2010,1,1,1,10,69,,3,,,"3","1",1,,40,0,2,,,,888,,,20,0,20,0,102048058
