"id1","id3","id4","s3aii_0","s3aii_a","s3aii_b1","s3aii_b2","s3aii_c1","s3aii_c2","hhno"
1,3,4,,,,,0,0,101003004
1,2,4,,,,,0,0,101002004
1,2,4,,,,,0,0,101002004
1,1,4,,,,,0,0,101001004
1,3,4,,,,,0,0,101003004
1,20,4,,,,,0,0,101020004
1,26,4,16,1,"1",,40,0,101026004
1,26,4,,,,,0,0,101026004
1,30,4,,,,,0,0,101030004
1,30,4,,,,,0,0,101030004
1,29,4,,,,,0,0,101029004
1,1,4,,,,,0,0,101001004
1,8,4,,,,,0,0,101008004
1,27,4,,,,,0,0,101027004
1,26,4,,,,,0,0,101026004
1,27,4,14,4,"1",,24,0,101027004
1,26,4,,,,,0,0,101026004
1,27,4,,,,,0,0,101027004
1,26,4,,,,,0,0,101026004
1,1,4,14,1,,,5,0,101001004
1,17,4,8,2,"1",,10,0,101017004
1,27,4,,,,,0,0,101027004
1,29,4,,,,,0,0,101029004
1,5,4,,,,,0,0,101005004
1,26,4,7,2,"1",,20,0,101026004
1,20,4,,,,,0,0,101020004
1,20,4,7,2,"1",,10,0,101020004
1,3,4,,,,,0,0,101003004
1,3,4,,,,,0,0,101003004
1,26,4,8,1,"1",,15,0,101026004
1,1,4,9,3,"1",,6,0,101001004
1,29,4,,,,,0,0,101029004
1,26,4,,,,,0,0,101026004
1,5,4,4,2,"1",,7,0,101005004
1,27,4,,,,,0,0,101027004
1,3,4,,,,,0,0,101003004
1,19,4,,,,,0,0,101019004
1,17,4,,,,,0,0,101017004
1,7,4,,,,,0,0,101007004
1,1,4,,,,,0,0,101001004
1,17,4,16,1,"1",,30,0,101017004
1,17,4,,,,,0,0,101017004
1,7,4,,,,,0,0,101007004
1,19,4,,,,,0,0,101019004
1,30,4,,,,,0,0,101030004
1,2,4,,,,,0,0,101002004
1,27,4,5,1,"1",,5,0,101027004
1,29,4,5,1,"1",,5,0,101029004
1,7,4,,,,,0,0,101007004
1,8,4,,,,,0,0,101008004
1,30,4,,,,,0,0,101030004
1,5,4,,,,,0,0,101005004
1,20,4,,,,,0,0,101020004
1,20,4,,,,,0,0,101020004
1,17,4,,,,,0,0,101017004
1,20,4,,,,,0,0,101020004
1,3,4,,,,,0,0,101003004
1,7,4,,,,,0,0,101007004
1,7,4,14,1,,,4,0,101007004
1,26,4,,,,,0,0,101026004
1,17,4,,,,,0,0,101017004
1,19,4,,,,,0,0,101019004
1,20,4,8,1,"1",,2,0,101020004
1,2,4,,,,,0,0,101002004
1,7,4,,,,,0,0,101007004
1,2,4,,,,,0,0,101002004
1,30,4,,,,,0,0,101030004
1,20,4,14,3,"1",,15,0,101020004
1,5,4,,,,,0,0,101005004
1,8,4,,,,,0,0,101008004
1,8,4,,,,,0,0,101008004
1,30,4,,,,,0,0,101030004
1,29,4,,,,,0,0,101029004
1,26,4,,,,,0,0,101026004
1,17,4,,,,,0,0,101017004
1,7,4,,,,,0,0,101007004
1,29,4,,,,,0,0,101029004
1,26,4,,,,,0,0,101026004
1,26,4,4,3,,,10,0,101026004
1,30,4,,,,,0,0,101030004
1,8,4,,,,,0,0,101008004
1,29,4,,,,,0,0,101029004
1,30,4,,,,,0,0,101030004
1,17,4,7,1,"1",,5,0,101017004
1,29,4,14,3,"1",,14,0,101029004
1,29,4,4,2,"1",,7,0,101029004
1,30,4,,,,,0,0,101030004
1,5,4,,,,,0,0,101005004
1,19,4,14,3,"1",,9,0,101019004
1,2,4,,,,,0,0,101002004
1,7,4,,,,,0,0,101007004
1,2,4,,,,,0,0,101002004
1,20,4,,,,,0,0,101020004
1,3,4,,,,,0,0,101003004
1,1,4,7,1,"1",,15,0,101001004
1,1,4,,,,,0,0,101001004
1,1,4,4,2,"1",,5,0,101001004
1,29,4,,,,,0,0,101029004
1,1,4,,,,,0,0,101001004
1,3,4,,,,,0,0,101003004
1,29,4,7,2,"1",,6,0,101029004
1,3,4,,,,,0,0,101003004
1,8,4,,,,,0,0,101008004
1,17,4,,,,,0,0,101017004
1,1,4,,,,,0,0,101001004
1,5,4,14,2,"1",,10,0,101005004
1,26,4,,,,,0,0,101026004
1,19,4,,,,,0,0,101019004
1,8,4,4,1,"1",,1,0,101008004
1,5,4,,,,,0,0,101005004
1,19,4,,,,,0,0,101019004
1,8,4,,,,,0,0,101008004
1,30,4,14,3,"1",,18,0,101030004
1,19,4,,,,,0,0,101019004
1,20,4,,,,,0,0,101020004
1,8,4,,,,,0,0,101008004
1,19,4,,,,,0,0,101019004
1,26,4,14,5,,,30,0,101026004
1,27,4,,,,,0,0,101027004
1,27,4,,,,,0,0,101027004
1,19,4,4,2,"1",,10,0,101019004
1,19,4,,,,,0,0,101019004
1,27,4,,,,,0,0,101027004
1,5,4,,,,,0,0,101005004
1,19,4,,,,,0,0,101019004
1,17,4,,,,,0,0,101017004
1,1,4,,,,,0,0,101001004
1,17,4,,,,,0,0,101017004
1,7,4,,,,,0,0,101007004
1,26,4,9,3,"1",,18,0,101026004
1,2,4,,,,,0,0,101002004
1,7,4,,,,,0,0,101007004
1,27,4,,,,,0,0,101027004
1,5,4,,,,,0,0,101005004
1,27,4,,,,,0,0,101027004
1,5,4,,,,,0,0,101005004
1,5,4,,,,,0,0,101005004
1,17,4,4,2,"1",,6,0,101017004
1,26,4,,,,,0,0,101026004
1,20,4,,,,,0,0,101020004
1,29,4,,,,,0,0,101029004
1,3,4,,,,,0,0,101003004
1,20,4,,,,,0,0,101020004
1,30,4,,,,,0,0,101030004
1,2,4,,,,,0,0,101002004
1,3,4,14,1,"1",,5,0,101003004
1,19,4,,,,,0,0,101019004
1,17,4,,,,,0,0,101017004
1,5,4,,,,,0,0,101005004
1,7,4,,,,,0,0,101007004
1,30,4,,,,,0,0,101030004
1,29,4,,,,,0,0,101029004
1,20,4,,,,,0,0,101020004
1,7,4,,,,,0,0,101007004
1,1,4,,,,,0,0,101001004
1,8,4,14,1,"1",,1,50,101008004
1,27,4,,,,,0,0,101027004
1,8,4,,,,,0,0,101008004
1,5,4,,,,,0,0,101005004
1,19,4,,,,,0,0,101019004
1,2,4,,,,,0,0,101002004
1,8,4,,,,,0,0,101008004
1,27,4,,,,,0,0,101027004
1,7,4,,,,,0,0,101007004
1,27,4,16,1,"1",,36,0,101027004
1,7,4,4,1,,,2,50,101007004
1,3,4,,,,,0,0,101003004
1,2,4,14,2,"1",,3,0,101002004
1,2,4,,,,,0,0,101002004
1,3,4,,,,,0,0,101003004
1,8,4,,,,,0,0,101008004
1,5,4,,,,,0,0,101005004
1,17,4,14,4,"1",,20,0,101017004
1,17,4,,,,,0,0,101017004
1,30,4,,,,,0,0,101030004
1,2,4,,,,,0,0,101002004
1,20,4,,,,,0,0,101020004
1,3,4,,,,,0,0,101003004
1,2,4,,,,,0,0,101002004
1,17,4,,,,,0,0,101017004
1,30,4,4,1,"1",,12,0,101030004
1,1,4,,,,,0,0,101001004
1,19,4,,,,,0,0,101019004
1,29,4,,,,,0,0,101029004
1,27,4,,,,,0,0,101027004
1,8,4,,,,,0,0,101008004
1,1,4,,,,,0,0,101001004
1,4,5,,,,,0,0,101004005
1,3,5,,,,,0,0,101003005
1,30,5,,,,,0,0,101030005
1,22,5,,,,,0,0,101022005
