"id1","id2","id3","id4","credit_no","s3bii_15","s3bii_16","s3bii_17","s3bii_18ii","s3bii_19i","s3bii_19ii","s3bii_19iii","s3bii_20","s3bii_21i","s3bii_21ii","s3bii_22a","s3bii_22bi","s3bii_22b2i","s3bii_22b2ii","s3bii_23i","s3bii_23ii","s3bii_24i","s3bii_24ii","hhno"
1,2,28,31,4,1,1,4,-8,2009,11,,1,280,0,2,,,,100,0,180,0,101028031
1,2,25,3,1,1,1,4,-8,2009,2,5,1,100,0,2,,,,0,0,100,0,101025003
1,2,26,26,1,1,1,4,-8,2000,,,1,500,0,2,,,,350,0,150,0,101026026
1,12,30,63,1,1,1,4,24,2009,8,,1,150,0,2,,,,0,0,150,0,101030063
1,10,27,13,1,1,1,4,-8,2009,7,,1,500,0,2,,,,380,0,120,0,101027013
1,10,17,19,1,1,1,3,-8,2009,3,,1,100,0,2,,,,0,0,100,0,101017019
1,12,30,6,1,1,1,4,-8,2009,,,1,4,0,2,,,,0,0,4,0,101030006
1,2,26,10,5,1,1,4,-8,2009,6,,1,19,0,2,,,,0,0,19,0,101026010
1,2,7,68,2,2,1,4,-8,2009,1,,1,14,0,2,,,,0,0,14,0,101007068
1,1,8,60,1,1,1,4,-8,,5,,1,50,0,2,,,,50,0,50,0,101008060
1,6,1,15,1,1,1,4,-8,2009,10,10,1,2,0,2,,,,0,0,2,0,101001015
1,2,26,10,4,1,1,4,-8,2009,6,,1,23,0,2,,,,0,0,23,0,101026010
1,5,4,2,1,1,1,4,-8,2010,1,26,1,20,0,2,,,,0,0,20,0,101004002
1,2,26,24,1,1,1,4,-8,2010,1,5,1,40,50,2,,,,0,0,40,50,101026024
1,1,8,74,1,1,1,4,-8,2009,8,,1,70,0,2,,,,0,0,70,0,101008074
1,2,26,24,2,1,1,4,55,2009,3,21,1,20,0,2,,,,0,0,20,0,101026024
1,17,22,5,2,1,1,4,-8,2010,1,,1,50,0,2,,,,0,0,50,0,101022005
1,10,27,10,2,1,1,4,-8,2010,1,,1,4,50,2,,,,0,0,4,50,101027010
1,17,22,5,1,1,1,4,-8,2010,2,4,1,150,0,2,,,,0,0,150,0,101022005
1,2,7,68,1,1,2,7,-8,2009,2,,1,1000,0,2,,,,250,0,750,0,101007068
1,2,28,31,1,1,1,4,-8,2010,1,,1,180,0,2,,,,60,0,120,0,101028031
1,2,28,31,6,1,1,4,-8,2010,1,,1,200,0,2,,,,0,0,200,0,101028031
1,2,26,8,1,1,1,3,20,2009,9,,1,30,0,2,,,,0,0,30,0,101026008
1,2,26,10,3,1,1,4,-8,2009,6,,1,18,0,2,,,,0,0,18,0,101026010
1,17,24,20,1,1,1,4,20,2009,8,,1,100,0,2,,,,50,0,50,0,101024020
1,2,28,31,3,1,1,4,-8,2010,1,,1,300,0,2,,,,0,0,300,0,101028031
1,2,26,23,1,1,1,4,-8,2009,6,,1,1300,0,2,,,,0,0,1300,0,101026023
1,10,21,58,1,1,1,4,-8,2009,11,,1,100,0,2,,,,0,0,100,0,101021058
1,2,26,29,2,1,1,4,-8,2008,3,,1,80,0,2,,,,0,0,80,0,101026029
1,10,17,31,1,1,1,4,-8,2008,8,,1,20,0,2,,,,0,0,20,0,101017031
1,10,21,68,1,1,1,4,-8,2008,3,,1,300,0,2,,,,0,0,300,0,101021068
1,12,30,63,3,1,1,3,-8,2008,3,,1,700,0,2,,,,0,0,700,0,101030063
1,12,30,63,2,1,1,4,-8,2009,4,,1,1200,0,2,,,,700,0,500,0,101030063
1,10,27,9,1,1,1,4,,2009,6,,1,50,0,2,,,,30,0,20,0,101027009
1,2,26,29,1,1,1,4,-8,2009,1,,1,35,0,2,,,,0,0,35,0,101026029
1,17,22,5,3,1,1,4,-8,2010,1,,1,20,0,2,,,,0,0,20,0,101022005
1,12,30,31,1,1,1,4,-8,2006,10,,1,400,0,2,,,,0,0,400,0,101030031
1,10,27,31,1,1,1,4,-8,2009,6,,1,140,0,2,,,,40,0,100,0,101027031
1,6,1,2,1,1,1,4,-8,2007,8,15,1,50,0,2,,,,0,0,50,0,101001002
1,1,8,74,2,1,1,4,-8,2009,1,,1,150,0,2,,,,25,0,125,0,101008074
1,10,27,10,3,1,1,4,17,2010,1,,1,9,50,2,,,,0,0,9,50,101027010
1,10,21,63,1,1,1,3,78,2009,11,,1,10,0,2,,,,0,0,10,0,101021063
1,10,27,10,1,1,1,4,71,2010,1,,1,1,50,2,,,,0,0,1,50,101027010
1,10,20,4,1,1,1,4,-8,2009,9,,1,600,0,2,,,,0,0,600,0,101020004
1,2,28,31,8,1,1,4,-8,2009,12,,1,130,0,2,,,,70,0,60,0,101028031
1,2,28,31,5,1,1,4,-8,2009,11,,1,140,0,2,,,,90,0,50,0,101028031
1,1,3,50,1,1,1,4,-8,2009,1,,1,50,0,2,,,,0,0,50,0,101003050
1,17,22,11,2,1,1,4,-8,2007,4,,1,40,0,2,,,,0,0,40,0,101022011
1,1,3,12,1,1,1,4,-8,2009,11,,1,350,0,2,,,,0,0,350,0,101003012
1,6,1,35,1,1,1,4,,2009,12,15,1,300,0,2,,,,0,0,300,0,101001035
1,10,27,41,1,1,1,4,-8,2008,5,,1,30,0,2,,,,0,0,30,0,101027041
1,5,4,1,2,1,1,7,-8,2009,,,1,2000,0,2,,,,0,0,2000,0,101004001
1,10,21,51,1,1,1,1,-8,2009,1,,1,40,0,2,,,,0,0,40,0,101021051
1,2,26,6,1,1,1,4,-8,2009,7,15,1,60,0,2,,,,30,0,30,0,101026006
1,2,26,23,2,1,1,4,-8,2009,10,,1,300,0,2,,,,0,0,300,0,101026023
1,10,21,45,1,1,1,4,-8,2008,6,,1,90,0,2,,,,20,0,70,0,101021045
1,2,26,6,2,1,1,4,-8,2009,7,20,1,34,50,2,,,,20,0,14,50,101026006
1,2,26,23,3,1,1,4,-8,2009,6,,1,200,0,2,,,,0,0,200,0,101026023
2,3,36,17,1,1,1,4,-8,2008,12,20,1,30,0,2,,,,10,0,20,0,102036017
2,6,45,51,1,1,1,3,-8,2007,,,1,60,0,2,,,,0,0,60,0,102045051
2,2,32,8,1,2,1,4,-8,2009,11,,1,5,0,2,,,,0,0,5,0,102032008
2,3,36,3,1,1,1,4,-8,2006,6,10,1,500,0,2,,,,140,0,360,0,102036003
2,2,33,12,3,1,1,4,-8,2008,8,,1,2000,0,2,,,,0,0,2000,0,102033012
2,6,45,2,1,1,1,4,-8,2009,12,1,1,50,0,2,,,,0,0,50,0,102045002
2,6,45,4,3,1,1,4,-8,2009,,,1,100,0,2,,,,0,0,100,0,102045004
2,2,35,27,1,1,1,4,-8,2008,,,1,100,0,2,,,,0,0,100,0,102035027
2,7,50,19,1,1,1,4,,2008,,,1,5,0,2,,,,0,0,5,0,102050019
2,7,50,14,1,1,1,3,,2008,,,1,200,0,2,,,,0,0,200,0,102050014
2,7,50,13,1,1,1,4,,2009,9,,1,150,0,2,,,,0,0,150,0,102050013
2,2,35,13,1,1,1,4,-8,2008,10,,1,80,0,2,,,,0,0,80,0,102035013
2,7,50,19,2,1,1,4,,2008,,,1,10,0,2,,,,0,0,10,0,102050019
2,29,42,20,1,1,1,4,,2008,8,,1,600,0,2,,,,300,0,300,0,102042020
2,7,50,27,1,1,1,4,,2009,9,,1,20,0,2,,,,0,0,20,0,102050027
2,29,42,38,2,1,1,5,,2009,8,,1,250,0,2,,,,0,0,250,0,102042038
2,3,36,12,1,1,1,6,-8,2008,12,20,1,40,0,2,,,,0,0,40,0,102036012
2,3,36,2,1,1,1,4,,2008,11,21,1,200,0,2,,,,0,0,200,0,102036002
2,6,45,60,1,1,1,4,-8,2009,9,10,1,250,0,2,,,,0,0,250,0,102045060
2,6,45,4,1,1,1,4,-8,2006,,,1,350,0,2,,,,0,0,350,0,102045004
2,3,36,6,1,1,1,4,-8,2008,11,14,1,500,0,2,,,,0,0,500,0,102036006
2,2,32,38,1,1,1,4,,2009,11,,1,8,0,2,,,,0,0,8,0,102032038
2,9,54,4,1,1,1,4,,2009,8,,1,10,0,2,,,,0,0,10,0,102054004
2,2,35,14,2,2,1,5,-8,2009,7,,1,10,0,2,,,,0,0,10,0,102035014
2,2,33,12,1,1,1,7,-8,2002,9,,1,3100,0,2,,,,0,0,3100,0,102033012
2,8,52,43,1,1,1,3,-8,2004,3,,1,50,0,2,,0,,0,0,50,0,102052043
2,6,45,91,1,1,1,4,-8,2008,10,,1,150,0,2,,,,0,0,150,0,102045091
2,8,52,58,1,2,1,4,-8,2008,6,,1,8,0,2,,0,,0,0,8,0,102052058
2,6,45,13,1,1,1,4,-8,2000,,,1,350,0,2,,,,0,0,350,0,102045013
2,6,45,4,2,1,1,4,-8,2009,,,1,200,0,2,,,,0,0,200,0,102045004
2,8,52,77,1,1,1,4,,2009,5,6,1,200,0,2,,,,50,0,150,0,102052077
2,2,33,37,1,1,1,7,,2009,4,,1,200,0,2,,,,0,0,200,0,102033037
2,2,35,14,3,2,1,3,-8,2009,9,,1,30,0,2,,,,0,0,30,0,102035014
2,29,42,38,1,1,1,5,,2008,6,,1,250,0,2,,,,0,0,250,0,102042038
2,6,45,56,1,1,1,4,-8,2008,,,1,300,50,2,,,,50,0,250,50,102045056
2,9,54,32,1,1,1,4,,2007,1,,1,50,0,2,,,,0,0,50,0,102054032
2,6,45,13,2,1,1,4,-8,2007,,,1,960,0,2,,,,0,0,960,0,102045013
2,2,35,14,4,2,1,3,-8,2009,9,,1,50,0,2,,,,0,0,50,0,102035014
2,29,42,14,1,1,1,4,,2008,,,1,40,0,2,,,,0,0,40,0,102042014
2,2,33,28,1,1,1,4,,2009,11,,1,45,0,2,,,,0,0,45,0,102033028
2,2,33,12,2,1,1,4,-8,2008,7,,1,2000,0,2,,,,0,0,2000,0,102033012
2,2,33,18,1,2,2,5,-8,2009,6,,1,185,0,2,,,,108,0,77,0,102033018
2,2,35,14,1,2,1,4,-8,2009,10,,1,10,0,2,,,,0,0,10,0,102035014
2,29,43,92,1,1,1,4,,2009,8,,1,60,0,2,,,,0,0,60,0,102043092
2,9,55,15,1,1,1,4,-8,2009,11,,1,2,0,2,,,,0,0,2,0,102055015
2,19,49,27,2,2,1,4,,2009,12,,1,1,40,2,,,,0,0,1,40,102049027
2,19,49,66,1,1,1,4,,2009,,,1,80,0,2,,,,0,0,80,0,102049066
2,31,39,54,1,2,1,4,-8,2009,1,20,1,20,0,2,,,,0,0,20,0,102039054
2,19,49,66,3,1,1,4,,2009,12,25,1,100,0,2,,,,0,0,100,0,102049066
2,9,55,120,2,1,1,4,-8,2009,8,,1,200,0,2,,,,0,0,200,0,102055120
2,31,39,5,1,1,1,4,-8,,,21,1,300,0,2,,,,0,0,300,0,102039005
2,25,47,42,1,1,1,4,,2008,,,1,200,0,2,,,,100,0,100,0,102047042
2,19,49,118,3,2,1,3,-8,2009,6,,1,4,0,2,,,,0,0,4,0,102049118
2,9,55,120,1,1,1,4,-8,2009,8,,1,500,0,2,,,,0,0,500,0,102055120
2,23,56,27,1,1,1,4,,2007,10,,1,1000,0,2,,,,0,0,1000,0,102056027
2,25,47,9,1,1,1,3,,2010,1,,1,1000,0,2,,,,500,0,500,0,102047009
2,31,38,10,1,1,1,4,-8,2008,8,,1,270,0,2,,,,250,0,20,0,102038010
2,22,53,27,3,1,1,4,,2008,12,,1,40,0,2,,,,0,0,40,0,102053027
2,29,60,1,1,2,2,3,40,2007,,,1,1200,0,2,,,,0,0,1200,0,102060001
2,19,49,66,2,1,1,4,,2009,4,,1,150,0,2,,,,0,0,150,0,102049066
2,23,58,116,2,1,1,3,,2008,,,1,14,0,2,,,,0,0,14,0,102058116
2,29,41,54,1,1,1,4,,2007,1,,1,160,0,2,,,,30,0,60,0,102041054
2,23,56,14,1,1,1,4,,2009,12,,1,200,0,2,,,,0,0,200,0,102056014
2,23,58,116,1,1,1,3,,2010,,,1,40,0,2,,,,0,0,40,0,102058116
2,19,49,39,1,1,1,4,-8,2008,,,1,100,0,2,,,,0,0,100,0,102049039
2,19,49,118,2,2,1,3,-8,2009,8,,1,3,0,2,,,,0,0,3,0,102049118
2,19,49,65,1,1,1,4,,2009,4,28,1,100,0,2,,,,0,0,100,0,102049065
2,23,56,74,1,1,1,4,-8,2009,24,12,1,100,0,2,,,,0,0,100,0,102056074
2,29,60,53,1,1,1,4,-8,2008,2,,1,150,0,2,,,,100,0,50,0,102060053
2,25,47,9,4,1,1,4,,2009,10,,1,320,0,2,,,,150,0,170,0,102047009
2,25,47,9,2,1,1,3,,2010,2,,1,1000,0,2,,,,500,0,500,0,102047009
2,5,51,13,2,1,1,4,,,2,,1,8,0,2,,,,0,0,8,0,102051013
2,31,40,36,3,1,1,4,-8,2010,1,,1,50,0,2,,,,0,0,50,0,102040036
2,20,48,55,1,1,1,3,-8,2010,1,,1,10,0,2,,,,0,0,10,0,102048055
2,27,46,100,1,1,1,4,-8,2009,8,,1,90,0,2,,,,0,0,90,0,102046100
2,29,60,91,1,1,1,4,-8,2006,6,,1,35,0,2,,,,0,0,35,0,102060091
2,23,57,134,1,1,1,4,,2009,,,1,150,0,2,,,,0,0,150,0,102057134
2,23,57,99,3,1,1,4,-8,2009,,,1,170,0,2,,,,0,0,170,0,102057099
2,9,55,34,1,2,2,3,-8,2009,3,6,1,20,0,2,,,,0,0,20,0,102055034
2,31,40,36,4,1,1,4,-8,2007,,,1,50,0,2,,,,0,0,50,0,102040036
2,23,56,51,2,1,1,4,,2005,5,,1,10,0,2,,,,0,0,10,0,102056051
2,23,56,58,1,1,1,4,-8,2010,3,,1,35,0,2,,,,0,0,35,0,102056058
2,23,56,54,1,1,1,3,,2009,12,,1,100,0,2,,,,0,0,100,0,102056054
2,22,53,27,5,1,1,4,,2009,9,,1,100,0,2,,,,0,0,100,0,102053027
2,5,51,53,1,1,1,4,,2009,10,5,1,80,0,2,,,,0,0,80,0,102051053
2,27,46,55,1,1,1,4,,2009,1,,1,420,0,2,,,,0,0,420,0,102046055
2,22,53,89,2,1,1,4,,2006,,,1,150,0,2,,,,0,0,150,0,102053089
2,23,56,51,1,1,1,4,55,2007,3,,1,10,0,2,,,,0,0,10,0,102056051
2,22,53,27,4,1,1,4,,2008,11,,1,150,0,2,,,,0,0,150,0,102053027
2,31,40,36,1,1,1,4,-8,2008,,,1,20,0,2,,,,0,0,20,0,102040036
2,5,51,71,1,1,1,4,-8,2009,11,,1,100,0,2,,,,100,0,0,0,102051071
2,5,51,13,1,1,1,4,,,2,,1,10,0,2,,,,0,0,10,0,102051013
2,29,43,79,1,1,1,4,-8,2009,8,,1,40,0,2,,,,0,0,40,0,102043079
2,25,47,43,1,1,1,4,,2006,,,1,34,0,1,,,,10,0,24,0,102047043
2,19,49,80,1,1,1,4,,2007,4,,1,180,0,2,,,,0,0,180,0,102049080
2,5,51,71,2,1,1,4,-8,2009,11,,1,40,0,2,,,,40,0,0,0,102051071
2,2,37,1,1,1,1,4,,2009,11,,1,20,0,2,,,,20,0,0,0,102037001
2,23,56,35,1,1,1,4,,2010,2,,1,70,0,2,,,,0,0,70,0,102056035
2,19,49,27,3,1,1,4,,2009,8,,1,100,0,2,,,,0,0,100,0,102049027
2,20,48,78,1,1,1,4,-8,2010,1,,1,20,0,2,,,,0,0,20,0,102048078
2,27,46,99,1,1,1,4,,2010,2,,1,300,0,2,,,,0,0,300,0,102046099
2,27,46,54,2,1,1,4,,2009,3,,1,30,0,2,,,,0,0,30,0,102046054
2,29,43,102,1,1,1,,-8,2006,,,1,40,0,2,,,,0,0,40,0,102043102
2,29,43,28,1,1,1,7,,2009,,,1,10,0,2,,,,0,0,10,0,102043028
2,29,41,21,1,1,1,3,,2007,,,1,3000,0,2,,,,2450,0,550,0,102041021
2,19,49,65,2,1,1,4,,2009,2,9,1,350,0,2,,,,0,0,350,0,102049065
2,31,39,57,1,1,1,4,-8,2007,4,,1,35,0,2,,,,0,0,35,0,102039057
2,5,51,6,1,1,1,4,,2009,3,,1,60,0,2,,,,0,0,0,0,102051006
2,29,43,57,2,1,1,7,,2009,8,,1,200,0,2,,,,0,0,200,0,102043057
2,20,48,51,1,1,1,3,-8,2008,10,5,1,20,0,2,,,,0,0,20,0,102048051
2,23,58,1,1,1,2,4,,2007,,,1,150,0,2,,,,0,0,150,0,102058001
2,22,53,27,1,1,1,4,,2009,7,,1,80,0,2,,,,0,0,80,0,102053027
2,23,57,99,2,1,1,4,-8,2008,,,1,60,0,2,,,,0,0,60,0,102057099
2,22,53,89,4,1,1,4,,2008,,,1,300,0,2,,,,0,0,300,0,102053089
2,22,53,89,3,1,1,4,,2007,,,1,600,0,2,,,,0,0,600,0,102053089
2,22,53,27,2,1,1,4,,2008,11,,1,120,0,2,,,,0,0,120,0,102053027
2,29,43,57,1,1,1,7,,2002,,,1,1540,0,2,,,,0,0,1540,0,102043057
2,23,57,99,1,1,1,4,-8,2008,,,1,100,0,2,,,,0,0,100,0,102057099
2,31,40,36,2,1,1,4,-8,2009,12,,1,20,0,2,,,,0,0,20,0,102040036
2,22,53,85,1,1,1,4,,2009,11,,1,15,0,2,,,,7,10,7,90,102053085
2,25,47,9,3,1,1,4,,2009,8,,1,680,0,2,,,,200,0,480,0,102047009
2,31,40,36,5,1,1,4,-8,2010,,,1,10,0,2,,,,0,0,10,0,102040036
2,19,49,118,1,1,2,4,,2009,7,,1,10,0,2,,,,0,0,10,0,102049118
2,27,46,115,1,1,1,4,,2010,1,,1,40,0,2,,,,0,0,40,0,102046115
2,23,57,134,2,2,1,4,,2010,,,1,170,0,2,,,,0,0,170,0,102057134
2,27,46,54,1,1,1,4,,2007,12,,1,60,0,2,,,,0,0,60,0,102046054
2,27,46,54,3,1,1,4,,2008,2,,1,12,0,2,,,,0,0,12,0,102046054
2,5,51,20,2,1,1,3,,2009,7,,1,200,0,2,,,,0,0,200,0,102051020
2,29,43,79,3,1,1,4,-8,2009,,,1,40,0,2,,,,0,0,40,0,102043079
2,5,51,20,1,1,1,3,,2009,5,,1,100,0,2,,,,0,0,100,0,102051020
2,5,51,20,3,1,1,3,,2009,9,,1,50,0,2,,,,0,0,50,0,102051020
2,27,46,115,2,1,1,4,,2010,1,,1,15,0,2,,,,0,0,15,0,102046115
2,29,43,113,1,2,1,4,,2008,,,1,20,0,2,,,,0,0,20,0,102043113
2,19,49,39,2,1,1,4,-8,2009,,,1,200,0,2,,,,0,0,200,0,102049039
2,19,49,27,1,2,1,4,,2010,1,,1,2,0,2,,,,0,0,2,0,102049027
2,29,43,79,2,1,1,4,-8,2009,3,,1,150,0,2,,,,0,0,150,0,102043079
2,22,53,89,1,1,1,4,,2005,,,1,200,0,2,,,,0,0,200,0,102053089
2,23,56,51,3,2,1,4,,2010,3,,1,36,0,2,,,,0,0,36,0,102056051
2,2,37,6,1,1,1,4,-8,2007,,,1,100,0,2,,,,60,0,100,0,102037006
3,1,74,30,1,1,1,4,,2008,,,1,150,0,2,,,,0,0,150,0,103074030
3,1,79,20,1,1,1,4,-8,2009,,,1,320,0,2,,,,0,0,320,0,103079020
3,1,78,60,1,1,1,1,-8,,5,,1,20,0,2,,,,0,0,0,0,103078060
3,1,73,53,2,1,1,4,-8,2009,,,1,70,0,2,,,,0,0,70,0,103073053
3,1,68,17,1,1,1,4,,2009,,,1,400,0,2,,,,200,0,200,0,103068017
3,1,77,27,4,1,1,4,-8,2009,,,1,60,0,2,,,,0,0,60,0,103077027
3,1,78,67,1,1,1,4,-8,,6,,1,350,0,2,,,,0,0,350,0,103078067
3,1,75,34,3,1,1,6,,2008,1,,1,5,0,2,,,,0,0,5,0,103075034
3,1,69,19,1,1,1,6,,2009,,,1,300,0,2,,,,0,0,300,0,103069019
3,1,77,27,3,1,1,4,-8,2008,,,1,40,0,2,,,,25,0,15,0,103077027
3,1,73,70,1,1,1,4,-8,2009,,,1,120,0,2,,,,0,0,120,0,103073070
3,1,75,22,1,1,1,5,-8,2009,,,1,144,0,2,,,,0,0,144,0,103075022
3,1,73,26,1,1,1,4,-8,2009,,,1,90,0,2,,,,0,0,90,0,103073026
3,1,67,51,1,1,1,1,,,3,,1,340,0,2,,,,0,0,340,0,103067051
3,1,67,29,3,1,1,4,,2010,,,1,60,0,2,,,,0,0,60,0,103067029
3,1,84,50,1,1,1,4,,,,7,1,20,0,2,,,,0,0,20,0,103084050
3,1,73,70,4,1,1,5,-8,2009,,,1,40,0,2,,,,0,0,40,0,103073070
3,1,67,58,2,1,1,4,-8,2009,,,1,100,0,2,,,,0,0,100,0,103067058
3,1,62,69,1,1,1,4,-8,2009,,,1,3000,0,2,,,,0,0,3000,0,103062069
3,1,74,36,2,1,1,4,-8,2008,,,1,500,0,2,,,,0,0,500,0,103074036
3,1,77,27,2,1,1,4,-8,2008,,,1,70,0,2,,,,0,0,70,0,103077027
3,1,73,53,1,1,1,4,-8,2009,,,1,15,0,2,,,,0,0,15,0,103073053
3,1,79,33,2,1,1,3,-8,2007,,,1,20,0,2,,,,0,0,20,0,103079033
3,1,79,50,2,2,1,4,-8,2009,,,1,50,0,2,,,,0,0,50,0,103079050
3,1,67,29,4,1,1,4,,2010,,,1,50,0,2,,,,0,0,50,0,103067029
3,1,73,4,1,1,1,4,-8,2009,,,1,100,0,2,,,,0,0,100,0,103073004
3,1,84,117,1,2,1,1,-8,2008,,,1,7200,0,2,,,,1800,0,5400,0,103084117
3,1,67,37,1,1,1,4,,2008,,,1,7000,0,2,,,,0,0,7000,0,103067037
3,1,67,22,1,1,1,4,-8,2009,,,1,300,0,2,,,,0,0,300,0,103067022
3,1,78,60,2,1,1,4,-8,,3,,1,30,0,2,,,,0,0,0,0,103078060
3,1,73,24,1,1,1,4,-8,2010,,,1,50,0,2,,,,0,0,50,0,103073024
3,1,79,50,3,2,1,4,-8,2009,,,1,200,0,2,,,,0,0,200,0,103079050
3,1,74,36,1,1,1,4,-8,2008,,,1,1200,0,2,,,,0,0,1200,0,103074036
3,1,79,33,1,1,1,4,-8,2003,,,1,40,0,2,,,,0,0,40,0,103079033
3,1,79,33,3,1,1,4,-8,2008,,,1,20,0,2,,,,0,0,20,0,103079033
3,1,77,29,3,1,1,,-8,2009,,,1,280,0,2,,,,0,0,280,0,103077029
3,1,79,52,1,1,1,4,-8,2009,,,1,130,0,2,,,,0,0,130,0,103079052
3,1,74,14,2,1,1,4,-8,2008,,,1,80,0,2,,,,0,0,80,0,103074014
3,1,73,10,3,1,1,4,-8,2009,,,1,10,0,2,,,,0,0,10,0,103073010
3,1,76,83,1,1,1,4,-8,3,,,1,40,0,2,,,,0,0,40,0,103076083
3,1,77,27,1,1,1,4,-8,2008,,,1,35,0,2,,,,5,0,30,0,103077027
3,1,80,26,1,2,1,4,,,3,,1,200,0,2,,,,100,0,100,0,103080026
3,1,73,70,2,1,1,4,-8,2009,,,1,50,0,2,,,,0,0,50,0,103073070
3,1,62,62,1,1,1,4,-8,2009,,,1,200,0,2,,,,0,0,200,0,103062062
3,1,67,53,1,1,1,7,,2009,,,1,6000,0,2,,,,0,0,6000,0,103067053
3,1,61,131,1,1,1,4,-8,2009,,,1,200,0,2,,,,0,0,200,0,103061131
3,1,75,34,2,1,1,6,,2008,1,,1,10,0,2,,,,0,0,10,0,103075034
3,1,74,30,2,1,1,4,,2009,,,1,80,0,2,,,,0,0,80,0,103074030
3,1,67,58,1,1,1,4,-8,2009,,,1,160,0,2,,,,0,0,160,0,103067058
3,1,67,29,5,1,1,4,,2009,,,1,50,0,2,,,,0,0,50,0,103067029
3,1,79,50,4,2,1,4,-8,2009,,,1,50,0,2,,,,0,0,50,0,103079050
3,1,77,29,1,1,1,,-8,2009,,,1,180,0,2,,,,0,0,180,0,103077029
3,43,98,76,1,1,1,4,,2009,10,,1,70,0,2,,,,0,0,70,0,103098076
3,43,97,19,1,2,1,4,,2009,8,,1,100,0,2,,,,0,0,100,0,103097019
3,43,97,15,1,1,1,4,,2009,10,,1,500,0,2,,,,0,0,500,0,103097015
3,1,73,70,3,1,1,5,-8,2009,,,1,120,0,2,,,,0,0,120,0,103073070
3,1,67,3,1,1,1,4,-8,,,,1,2240,0,2,,,,0,0,2240,0,103067003
3,1,67,29,1,1,1,4,-8,2010,,,1,90,0,2,,,,0,0,90,0,103067029
