"id1","id2","id3","id4","s10iii_0","s10iii_16","s10iii_17","s10iii_18","s10iii_19","s10iii_20","s10iii_21","s10iii_21i","hhno"
1,10,17,29,1,1,2,1,2,"3,7",2,,101017029
1,10,17,31,1,1,2,1,2,"3,7",2,,101017031
1,10,17,31,2,1,2,1,2,"3,7",2,,101017031
1,10,17,36,1,1,2,1,1,"4,7",2,,101017036
1,10,17,36,2,1,2,1,2,"4,7",2,,101017036
1,10,17,49,1,1,2,1,2,"3",2,,101017049
1,10,17,51,1,1,2,1,2,"3",2,,101017051
1,10,17,51,2,1,2,1,2,"3",2,,101017051
1,10,17,56,1,1,2,1,2,"3",2,,101017056
1,10,17,56,2,1,2,1,2,"3",2,,101017056
1,10,17,57,1,1,2,1,2,"3,7",2,,101017057
1,10,18,19,1,1,2,1,2,"3,6",2,,101018019
1,10,18,27,2,1,2,1,2,"3",2,,101018027
1,10,18,27,1,1,2,1,2,"3",2,,101018027
1,10,18,28,1,1,2,1,2,"3,7,8",2,,101018028
1,10,18,28,2,1,2,1,2,"3,7",2,,101018028
1,10,18,30,1,1,1,1,1,"7",2,,101018030
1,10,18,33,2,1,4,1,4,"1,2,7,8",2,,101018033
1,10,18,33,1,1,4,1,4,"1,2,7,8",2,,101018033
1,10,18,34,1,1,4,1,4,"1,2,3",2,,101018034
1,10,18,41,1,1,4,1,4,"1,3,7,8",2,,101018041
1,10,18,43,2,1,4,1,4,"1,2,3,7,8",2,,101018043
1,10,18,43,1,1,4,1,4,"1,2,3,7,8",2,,101018043
1,10,18,58,1,1,4,1,4,"1,2,3,7,8",2,,101018058
1,10,19,5,2,1,4,1,4,"1,2,3,7",2,,101019005
1,10,19,5,1,1,4,1,4,"1,2,3,7",2,,101019005
1,10,19,6,2,1,4,1,3,"1,2,7,8",2,,101019006
1,10,19,6,1,1,3,1,3,"1,2,3,4,7,8",2,,101019006
1,10,19,8,2,1,4,1,3,"1,2,3,7,8",2,,101019008
1,10,19,8,1,1,4,1,4,"1,2,3,7,8",2,,101019008
1,10,19,11,1,1,4,1,4,"1,2,3,7,8",2,,101019011
1,10,19,12,1,1,5,2,,"1,3,8",2,,101019012
1,10,19,14,1,1,3,2,,"1,3,7",2,,101019014
1,10,19,16,1,1,3,2,,"1,3,8",2,,101019016
1,10,19,17,1,1,4,1,3,"1,2,7",2,,101019017
1,10,19,17,2,1,4,1,4,"1,2,7",2,,101019017
1,10,19,20,1,1,3,1,3,"1,2,3,7",2,,101019020
1,10,20,2,1,1,2,1,2,"3,7",2,,101020002
1,10,20,4,1,1,2,1,2,"1,3",2,,101020004
1,10,20,4,2,1,2,1,2,"3,7",2,,101020004
1,10,20,6,1,1,2,1,2,"6,8",2,,101020006
1,10,20,10,1,1,2,1,2,"7,8",2,,101020010
1,10,20,14,1,1,2,1,2,"1,3",2,,101020014
1,10,20,16,1,1,2,1,2,"1,3",2,,101020016
1,10,20,16,2,1,2,1,2,"3",2,,101020016
1,10,20,18,2,1,2,1,2,"3,7",2,,101020018
1,10,20,21,1,1,2,1,2,"3,7",2,,101020021
1,10,20,24,1,1,2,1,2,"6,7",2,,101020024
1,10,20,25,1,1,2,1,2,"3,7",2,,101020025
1,10,20,25,2,1,2,1,2,"3,7",2,,101020025
1,10,20,35,1,1,2,1,2,"1,3",2,,101020035
1,10,20,37,1,1,2,1,2,"3,7",2,,101020037
1,10,20,37,2,1,2,1,2,"3,7",2,,101020037
1,10,21,7,1,1,4,1,4,"1,2,3,7",2,,101021007
1,10,21,7,2,1,4,1,4,"1,2,3,7,8",2,,101021007
1,10,21,26,1,1,4,1,4,"1,2,3,7",2,,101021026
1,10,21,26,2,1,3,1,4,"1,2,3,7",2,,101021026
1,10,21,62,1,1,4,1,4,"1,2,3",2,,101021062
1,10,21,62,2,1,4,1,4,"1,2,3",2,,101021062
1,10,21,67,1,1,3,1,3,"1,2,3",2,,101021067
1,10,21,67,2,1,4,1,4,"1,2,3",2,,101021067
1,10,21,68,1,1,4,1,4,"1,2,3",2,,101021068
1,10,21,68,2,1,4,1,4,"1,2,3",2,,101021068
1,10,27,13,1,1,3,2,,"1,2,4,8",2,,101027013
1,12,29,2,2,1,2,1,2,"3,7",2,,101029002
1,12,29,2,1,1,2,1,2,"3,7",2,,101029002
1,12,29,6,1,1,1,1,1,"3,7",2,,101029006
1,12,29,8,2,1,2,1,2,"6,7",2,,101029008
1,12,29,8,1,1,2,1,2,"2",2,,101029008
1,12,29,23,,,,,,,,,101029023
