"id1","id2","id3","id4","s1eii_30i","s1eii_30ii","hhno"
3,1,70,38,2,,103070038
3,1,72,19,2,,103072019
3,1,72,20,2,,103072020
3,1,72,21,2,,103072021
3,1,72,27,2,,103072027
3,1,73,24,2,,103073024
3,1,73,26,1,1,103073026
3,1,73,49,2,,103073049
3,1,73,69,1,1,103073069
3,1,73,70,2,,103073070
3,1,74,7,2,,103074007
3,1,74,14,2,,103074014
3,1,74,15,2,,103074015
3,1,74,33,2,,103074033
3,1,74,36,2,,103074036
3,1,74,37,2,,103074037
3,1,74,46,2,,103074046
3,1,74,65,2,,103074065
3,1,75,3,2,,103075003
3,1,75,4,2,,103075004
3,1,75,13,2,,103075013
3,1,75,26,2,,103075026
3,1,75,33,2,,103075033
3,1,75,37,2,,103075037
3,1,75,45,2,,103075045
3,1,75,74,2,,103075074
3,1,75,87,2,,103075087
3,1,76,40,2,,103076040
3,1,76,42,2,,103076042
3,1,76,73,2,,103076073
3,1,76,79,2,,103076079
3,1,76,82,2,,103076082
3,1,76,83,2,,103076083
3,1,76,84,2,,103076084
3,1,77,2,2,,103077002
3,1,77,27,2,,103077027
3,1,77,138,2,,103077138
3,1,78,10,2,,103078010
3,1,78,17,2,,103078017
3,1,78,18,2,,103078018
3,1,78,23,2,,103078023
3,1,78,36,2,,103078036
3,1,78,42,2,,103078042
3,1,78,60,2,,103078060
3,1,78,63,2,,103078063
3,1,79,10,2,,103079010
3,1,79,15,2,,103079015
3,1,79,16,2,,103079016
3,1,79,20,2,,103079020
3,1,79,23,2,,103079023
3,1,79,50,2,,103079050
3,1,79,58,2,,103079058
3,1,80,2,2,,103080002
3,1,80,4,2,,103080004
3,1,80,6,2,,103080006
3,1,80,15,2,,103080015
3,1,80,18,2,,103080018
3,1,80,26,2,,103080026
3,1,80,41,2,,103080041
3,1,80,54,2,,103080054
3,1,80,64,2,,103080064
3,1,80,68,2,,103080068
3,1,81,13,2,,103081013
3,1,81,23,2,,103081023
3,1,81,25,2,,103081025
3,1,81,34,2,,103081034
3,1,81,39,2,,103081039
3,1,81,47,2,,103081047
3,1,81,51,2,,103081051
3,1,81,70,2,,103081070
3,1,82,8,2,,103082008
3,1,82,15,2,,103082015
3,1,82,16,2,,103082016
3,1,82,17,2,,103082017
3,1,82,23,2,,103082023
3,1,82,27,2,,103082027
3,1,82,30,2,,103082030
3,1,82,32,2,,103082032
3,1,82,36,2,,103082036
3,1,82,39,2,,103082039
3,1,83,6,2,,103083006
3,1,83,8,2,,103083008
3,1,83,16,2,,103083016
3,1,83,33,2,,103083033
3,1,83,45,2,,103083045
3,1,83,56,2,,103083056
3,1,84,10,2,,103084010
3,1,84,26,2,,103084026
3,1,84,31,2,,103084031
3,1,84,62,2,,103084062
3,1,84,117,2,,103084117
3,1,84,138,2,,103084138
3,1,84,170,2,,103084170
3,1,85,10,2,,103085010
3,1,85,14,2,,103085014
3,1,85,28,2,,103085028
3,1,85,50,2,,103085050
3,1,85,83,2,,103085083
3,1,85,88,2,,103085088
3,1,85,116,2,,103085116
3,1,85,126,2,,103085126
3,1,86,29,2,,103086029
3,1,86,37,2,,103086037
3,1,86,46,1,1,103086046
3,1,86,89,2,,103086089
3,1,86,90,2,,103086090
3,37,92,23,2,,103092023
3,37,92,30,2,,103092030
3,37,92,47,2,,103092047
3,37,92,50,2,,103092050
3,37,92,62,2,,103092062
3,37,92,64,2,,103092064
3,37,92,80,2,,103092080
3,37,92,96,2,,103092096
3,37,92,108,2,,103092108
3,37,92,126,2,,103092126
3,38,100,4,2,,103100004
3,38,100,11,2,,103100011
3,38,100,19,2,,103100019
3,38,100,32,2,,103100032
3,38,100,35,2,,103100035
3,38,100,42,2,,103100042
3,38,100,56,2,,103100056
3,39,99,5,2,,103099005
3,40,90,12,2,,103090012
3,40,90,18,2,,103090018
3,40,90,19,2,,103090019
