"Date","GDP","Tax","Govt"
"Mar-2002",-7.31817862709549,-9.1821154937189,-10.0330681318479
"Jun-2002",-7.31455416905854,-9.18826862095424,-10.0103264368783
"Sep-2002",-7.31356561659913,-9.20114158461234,-9.999822969647
"Dec-2002",-7.31542492892127,-9.21249067259647,-9.97352071768866
"Mar-2003",-7.3173065991739,-9.2298269272064,-9.96321563865654
"Jun-2003",-7.31149749202439,-9.22323239563088,-9.92859282549698
"Sep-2003",-7.29834731556126,-9.28804060281192,-9.92883915328017
"Dec-2003",-7.29024741185601,-9.2485684009183,-9.91252508936968
"Mar-2004",-7.2849569746899,-9.25243422678604,-9.90065506973254
"Jun-2004",-7.28000695715296,-9.24381793696382,-9.8968894154129
"Sep-2004",-7.27372712619001,-9.2302169638955,-9.88634377884413
"Dec-2004",-7.26687194790912,-9.22758717472648,-9.88952456470403
"Mar-2005",-7.25860772159063,-9.19117453621979,-9.8761320158332
"Jun-2005",-7.25650389714656,-9.18251689447239,-9.87810971397793
"Sep-2005",-7.25201769488063,-9.1740941004279,-9.87245560086354
"Dec-2005",-7.24988967962426,-9.17036100761868,-9.87644684647528
"Mar-2006",-7.23901593596011,-9.14079408546455,-9.85193111658992
"Jun-2006",-7.23936647455207,-9.14164270073939,-9.8634564681578
"Sep-2006",-7.24107819690665,-9.13888574297289,-9.87543146329778
"Dec-2006",-7.23568683120569,-9.11868063584639,-9.86258160956077
"Mar-2007",-7.23677982419207,-9.10590194307834,-9.87377817350458
"Jun-2007",-7.23346178159223,-9.10580916649376,-9.85921413618405
"Sep-2007",-7.23086722457561,-9.10549884120745,-9.85229062973995
"Dec-2007",-7.22772007793399,-9.09901949644795,-9.83473780891311
"Mar-2008",-7.23144104879932,-9.09559903936801,-9.81429010926538
"Jun-2008",-7.22809511887156,-9.10587515642342,-9.79035062320175
"Sep-2008",-7.23635907496053,-9.12211138279218,-9.78047849719374
"Dec-2008",-7.26153611470354,-9.13910164019921,-9.77777419700375
"Mar-2009",-7.273330382684,-9.26593842227779,-9.77279058686994
"Jun-2009",-7.27744313801361,-9.29302087782522,-9.74985618987534
"Sep-2009",-7.27662135948963,-9.30802080804858,-9.74160854702006
"Dec-2009",-7.26860868824285,-9.3075996049959,-9.72503964057604
"Mar-2010",-7.26485302844133,-9.27940730252043,-9.71147615614657
"Jun-2010",-7.25737810760655,-9.26254575758038,-9.69790439596668
"Sep-2010",-7.25221026022137,-9.25445401162317,-9.70398968456984
"Dec-2010",-7.24952017071305,-9.25068668924949,-9.70575529049821
"Mar-2011",-7.25248001796434,-9.22855111515632,-9.71671766219609
"Jun-2011",-7.24767753942343,-9.2267990474547,-9.72013429205744
"Sep-2011",-7.25021717933505,-9.22149151110394,-9.74690716235238
"Dec-2011",-7.24137647490482,-9.2277672911239,-9.74810087251468
"Mar-2012",-7.24133713263469,-9.23198903271567,-9.75885688084443
"Jun-2012",-7.2390806943374,-9.23000031731918,-9.77097375444533
"Sep-2012",-7.2400923713722,-9.2303618156348,-9.77486945855618
"Dec-2012",-7.24140677327272,-9.20424337019416,-9.80122934730616
"Mar-2013",-7.23429224706706,-9.13366927514345,-9.83140232801471
"Jun-2013",-7.23380134883962,-9.12322181940772,-9.84180139655112
"Sep-2013",-7.22775756071805,-9.12341188904778,-9.85972662207655
"Dec-2013",-7.22152986525529,-9.11590041475377,-9.86933873316208
"Mar-2014",-7.22709821638862,-9.09573057931535,-9.87885968400366
"Jun-2014",-7.21643783638365,-9.0955963999089,-9.88824883721729
"Sep-2014",-7.20681433300037,-9.08808311126298,-9.87874686219732
"Dec-2014",-7.20421861503703,-9.07428325442542,-9.89602153203721
"Mar-2015",-7.19949687296748,-9.04691366638185,-9.89765895692556
"Jun-2015",-7.19556381910914,-9.0430147487167,-9.90054430472614
