date,name,value
2015-01-22,BHP,24.445154190063477
2015-01-22,WES,30.708683013916016
2015-01-26,MQG,61.290000915527344
2015-01-26,BHP,24.08738136291504
2015-01-26,WES,31.092987060546875
2015-01-27,MQG,61.54999923706055
2015-01-27,BHP,24.079059600830078
2015-01-27,WES,30.92218589782715
2015-01-28,MQG,61.75
2015-01-28,BHP,24.08738136291504
2015-01-28,WES,31.1001033782959
2015-01-29,MQG,62.150001525878906
2015-01-29,BHP,24.34531021118164
2015-01-29,WES,31.021818161010742
2015-02-01,MQG,62.41999816894531
2015-02-01,BHP,24.628202438354492
2015-02-01,WES,31.29937171936035
2015-02-02,MQG,63.869998931884766
2015-02-02,BHP,25.50183868408203
2015-02-02,WES,31.434589385986328
2015-02-03,MQG,64.75
2015-02-03,BHP,26.616764068603516
2015-02-03,WES,31.690792083740234
2015-02-04,MQG,65.43000030517578
2015-02-04,BHP,26.09258270263672
2015-02-04,WES,31.818893432617188
2015-02-05,MQG,66.5999984741211
2015-02-05,BHP,26.250669479370117
2015-02-05,WES,31.86159324645996
2015-02-08,MQG,67.23999786376953
2015-02-08,BHP,25.984418869018555
2015-02-08,WES,31.63385772705078
2015-02-09,MQG,67.5
2015-02-09,BHP,26.117542266845703
2015-02-09,WES,31.434589385986328
2015-02-10,MQG,67.410003662109375
2015-02-10,BHP,25.768089294433594
2015-02-10,WES,31.448823928833008
2015-02-11,MQG,65.83000183105469
2015-02-11,BHP,25.543439865112305
2015-02-11,WES,31.1926212310791
2015-02-12,MQG,68.12999725341797
