"id1","id2","id3","id4","hhno","total_exp_s11b","food_exp","gifts_given","own_produce","children_exp","elderly_exp","maleAdults_exp","femaleAdults_exp","otherItems_exp","fuel_exp","avg_s11_monthly_exp","education_expenditure","health_expenses","dwelling_expenses","avg_monthly_exp_overall"
1,1,3,4,101003004,0,42.5999984741211,0,0,0,0,0,0,32.625,8,83.2249984741211,0,0,68.3333282470703,151.558319091797
1,1,3,5,101003005,0,56.7000007629395,0,0,0.916666626930237,0,0,1.5,9.5,9,77.6166687011719,260,118,92,309.283325195313
1,1,3,9,101003009,0,63.4000015258789,0,9,1.70833337306976,0,0,1.08333337306976,23.9583339691162,10,109.150001525879,177,31,913,1067.90002441406
1,1,3,11,101003011,0,115.099998474121,0,0,8.25,0,1,3.79166674613953,49.0833320617676,10.6999998092651,187.925003051758,420,44,51,317.924987792969
1,1,3,12,101003012,0,95.0999984741211,0,0,8.41666698455811,0,2.75,4.83333301544189,29.5,13,153.600006103516,231,117,45,334.850006103516
1,1,3,13,101003013,0,41.4000015258789,0,30,0.416666656732559,0,0,0,5.79166650772095,36.7999992370605,114.408332824707,79,0,40,160.991668701172
1,1,3,15,101003015,0,47.7999992370605,0,0,1.25,0,1.41666662693024,0,54.0999984741211,9.5,114.066665649414,1018,38,63.9166679382324,300.816680908203
1,1,3,20,101003020,0,20.1000003814697,0,0,0,0,0,0,5.5,5,30.6000003814697,0,5,0,35.5999984741211
1,1,3,26,101003026,0,59.4000015258789,0,0,0,0,0.833333313465118,0,13.6666669845581,4.5,78.4000015258789,1261,16,25.3333339691162,224.816665649414
1,1,3,32,101003032,0,37.9000015258789,0,0,0,0,0.916666686534882,0,6.58333349227905,3.5,48.9000015258789,0,0,91,139.899993896484
1,1,3,37,101003037,0,40.0999984741211,0,6,0,0,0.875,0,4.75,5.75,57.4749984741211,0,1,42,100.474998474121
1,1,3,40,101003040,0,43.5,0,3,0,0,0,0.666666686534882,8.45833301544189,3,58.625,0,1,2,61.625
1,1,3,43,101003043,0,80.9000015258789,0,0,2.25,0,0.75,1.66666662693024,15.4166669845581,7.5,108.483337402344,389,103,60,303.899993896484
1,1,3,46,101003046,0,46.2999992370605,0,12,0.416666686534882,0,0.666666626930237,1.5,15.5416660308838,4.40000009536743,80.8249969482422,472,146,72,338.158325195313
1,1,3,50,101003050,0,50.5,0,0,0,0,0.416666656732559,0,17.4166660308838,12,80.3333358764648,150,150,119,361.833343505859
1,5,4,1,101004001,0,91.7399978637695,15,37.5,1.25,0,1.25,11.75,40,8,206.490005493164,1622,10,3,354.656677246094
1,5,4,2,101004002,0,59.5,50,0,0,0,45,0,24.2916660308838,5,183.79167175293,252,10,0,214.79167175293
1,5,4,5,101004005,0,68.9499969482422,0,0,0,0,0,13.0833330154419,27.8333339691162,6.59999990463257,116.466667175293,730,60,3.25,240.550003051758
1,5,4,6,101004006,0,161.699996948242,0,15,5.66666650772095,0,27.5,21.4166660308838,188.75,37.5,457.533325195313,2882,82,88,867.700012207031
1,5,4,10,101004010,0,300.399993896484,0,97,2.375,0,16.1666660308838,37.5833320617676,36,12,501.524993896484,2036,83,0,754.191650390625
1,5,4,12,101004012,0,157.800003051758,0,0,0,0,0,22.5833320617676,24,17,221.383331298828,0,0,2,223.383331298828
1,5,4,14,101004014,0,248.240005493164,0,86,14.5833330154419,0,24.6666660308838,18.3333339691162,73.5833358764648,16,481.406677246094,722,31,58.1666679382324,630.739990234375
1,5,4,16,101004016,0,91.7399978637695,0,20,6.70833349227905,0,3,9.75,24.0833339691162,3.75,159.031661987305,713,0,75,293.448333740234
1,5,4,17,101004017,0,166.300003051758,0,0,6.25,0,0,14.1666660308838,25,7,218.716659545898,262,41,2,283.549987792969
1,5,4,20,101004020,0,58.5999984741211,0,0,0,0,3.16666674613953,8.5,18,6,94.2666702270508,452,0,0,131.933334350586
1,5,4,22,101004022,0,56,0,20,1.91666662693024,0,3.33333325386047,9.75,27.1666660308838,9.5,127.666664123535,235,72,53,272.25
1,5,4,24,101004024,0,41.4000015258789,0,16.3999996185303,6.33333301544189,0,4.41666650772095,7.91666650772095,22.5,2.29999995231628,101.266662597656,98,10,34.3333320617676,153.766662597656
1,5,4,27,101004027,0,209.5,0,0,5.08333349227905,0,9.08333301544189,4.33333349227905,67.8333358764648,40.2000007629395,336.033325195313,459,64,110,548.283325195313
1,5,4,31,101004031,0,165.479995727539,0,0,2.66666674613953,0,0,0.916666626930237,39.25,7.05000019073486,215.363327026367,246,0,0,235.863327026367
1,5,4,32,101004032,0,49.4500007629395,0,20,5.66666650772095,0,0,4.5,17.0833339691162,4,100.699996948242,1004,0,0,184.366668701172
1,2,5,1,101005001,0,85.0400009155273,0,0,0,0,0,4.16666650772095,8.75,14,111.956665039063,0,15,0,126.956665039063
1,2,5,3,101005003,0,119.599998474121,3,1.5,3.33333325386047,0,0,0.333333343267441,15.3333330154419,86,229.100006103516,150,170,0,411.600006103516
1,2,5,4,101005004,0,112.199996948242,0,13,4.16666650772095,0,0,5.83333349227905,9.58333301544189,20,164.783340454102,498,575,33,814.283325195313
1,2,5,13,101005013,0,35,1.5,178,15.8333339691162,0,5,0,6.58333349227905,16.5,258.416656494141,502,51,35.1666679382324,386.416656494141
1,2,5,19,101005019,0,254.5,0,3,0,0,0,7.5,8.75,19.5,293.25,0,114,64,471.25
1,2,5,22,101005022,0,100.599998474121,0,2,0.333333343267441,0,0,2.5,7.83333349227905,13,126.266670227051,69,0,0,132.016662597656
1,2,5,23,101005023,0,206,0,0,3.16666674613953,0,5.25,0,17.3333320617676,364,595.75,200,10,5,627.416687011719
1,2,5,24,101005024,0,78,0,0,0,0,8.33333301544189,7.5,12.8333330154419,20.5,127.166664123535,0,15,55,197.166656494141
1,2,5,25,101005025,0,47.5999984741211,0,0,4.58333349227905,0,0,4.58333301544189,7.33333301544189,13.5,77.5999984741211,0,6,51,134.600006103516
1,2,5,33,101005033,0,94.8000030517578,0,26,6.25,0,0,2.5,7.33333349227905,9.89999961853027,146.783340454102,0,0,41,187.783340454102
1,2,5,36,101005036,0,58,0,37,2.08333325386047,0,2.375,2.5,7.75,12,121.708335876465,357,30,5,186.458343505859
1,2,5,40,101005040,0,187.199996948242,0,0,4.16666650772095,5,0,0.416666656732559,33.6666679382324,12,242.449996948242,295,45,5,317.033325195313
1,2,5,41,101005041,0,152.100006103516,0,15,3.91666650772095,0,0,4.41666650772095,12.3333330154419,13.5,201.266662597656,92,10,51,269.933319091797
1,2,5,51,101005051,0,118.599998474121,0,0,6.66666650772095,0,0,2.5,12.25,14,154.016662597656,80,0,2.83333325386047,163.516662597656
1,2,5,52,101005052,0,79,2.5,11,7.91666650772095,0,0,3.41666674613953,13.3333330154419,13.5,130.66667175293,81,0,51,188.41667175293
1,2,6,1,101006001,0,49,0,0,0,0,0.125,0,21.8833332061768,2,73.0083312988281,0,33,241.33332824707,347.341674804688
1,2,6,2,101006002,0,51.25,4,0,0,0,1.16666662693024,0,6.125,2,64.5416641235352,20,0,151,217.20832824707
1,2,6,9,101006009,0,67.8000030517578,0,0,0,0,3.70833349227905,0,17.6499996185303,3.5,92.658332824707,1005,0,201,377.408325195313
1,2,6,11,101006011,0,43.2999992370605,0,0,5,0,6.54166650772095,7,11.5,50,123.341667175293,0,20,182,325.341674804688
1,2,6,15,101006015,0,128.449996948242,2.5,0,0.5,0,2.08333325386047,2.41666650772095,51.3333320617676,9.5,196.783340454102,499,15,465,718.36669921875
1,2,6,23,101006023,0,74.2399978637695,0,6,1.66666662693024,0,3.16666674613953,2.875,167.75,5.5,261.198333740234,1007,269,413,1027.11499023438
1,2,6,29,101006029,0,71.9000015258789,0,0,0,2.75,0,0,11.5833330154419,1.5,87.7333297729492,0,7,172,266.733337402344
1,2,6,36,101006036,0,36.4000015258789,0,5,0,8.13333320617676,0,0,9.29166698455811,4,62.8250007629395,0,20,603.25,686.075012207031
1,2,6,42,101006042,0,104.5,0,156,0,0,0,1.16666674613953,23.375,5.5,290.541656494141,0,26,221,537.541625976563
1,2,6,52,101006052,0,25.3999996185303,0,0,0,0.25,0,0,7.88333320617676,1,34.533332824707,0,80,192,306.533325195313
1,2,6,55,101006055,0,48,0,0,0.916666626930237,0,1.41666674613953,1.66666662693024,21.375,7,80.375,56,12,201,298.041656494141
1,2,6,56,101006056,0,95.5999984741211,0,0,0.333333343267441,0,0,0.5,24.8166656494141,7,128.25,0,25,103.166664123535,256.416656494141
1,2,6,59,101006059,0,68.5,0,0,0.666666626930237,0,0.833333313465118,1.16666662693024,31.75,6,108.916664123535,0,21,365.166656494141,495.083312988281
1,2,6,60,101006060,0,52.9000015258789,0,0,0,1.30833327770233,0,0,8.55833339691162,2.5,65.2666702270508,0,0,201,266.266662597656
1,2,6,64,101006064,0,90.0999984741211,0,0,0,0,0,5,32.8333320617676,16.5,144.433334350586,0,0,165,309.433349609375
1,2,7,1,101007001,0,217.949996948242,0,0,0,0,19.7250003814697,0,67.3833312988281,225,530.058349609375,0,35,6,571.058349609375
1,2,7,4,101007004,0,73.1999969482422,0,2,0.774999976158142,0,2.51666665077209,2.91666650772095,27.3333320617676,26.3999996185303,135.141662597656,155,82,25,255.058334350586
1,2,7,7,101007007,0,82.2200012207031,0,0,0,0,0,12.5,37.6666679382324,9,141.386672973633,0,77,5.5,223.886672973633
1,2,7,10,101007010,0,28.2199993133545,0,0,0.391666650772095,0,0.5,0.458333343267441,4.47499990463257,9,43.0450019836426,52,123,0,170.378341674805
1,2,7,11,101007011,0,40.1500015258789,0,4.90000009536743,3.83333325386047,0,1.29166662693024,4.83333349227905,31.5416660308838,22.5,109.050003051758,5,0,54,163.466674804688
1,2,7,14,101007014,0,47.5999984741211,0,10,0,0,2.5,2.33333325386047,14.9583330154419,11,88.3916702270508,0,0,300,388.391662597656
1,2,7,19,101007019,0,74.3000030517578,0,6.69999980926514,11.25,0,8.08333301544189,11.25,35.4583320617676,46.5,193.54167175293,531,52,2,291.791687011719
1,2,7,25,101007025,0,17.7000007629395,0,3.59999990463257,1.5,1.25,0,0.416666656732559,8.59166717529297,6.40000009536743,39.4583320617676,759,132,92,326.708343505859
1,2,7,26,101007026,0,90.4000015258789,0,6.5,1.41666674613953,0,2.5,2.58333325386047,30.5,19,152.899993896484,171,0,78,245.149993896484
1,2,7,28,101007028,0,85.0999984741211,0,3.95000004768372,4.33333301544189,0,8.75,5.41666650772095,12.25,31,150.800003051758,0,15,7,172.800003051758
1,2,7,33,101007033,0,158.649993896484,0,116,0,0,2.29166650772095,3,8.83333301544189,11.3999996185303,300.174987792969,143,290,352,954.091674804688
1,2,7,36,101007036,0,34.7000007629395,0,4,0.358333349227905,0,0.466666668653488,0,12.3333330154419,6,57.8583335876465,1000,38,81,260.191680908203
1,2,7,40,101007040,0,26.5,0,0,0,0.649999976158142,0.16666667163372,0.833333313465118,79.75,34,141.899993896484,0,32,56.3333320617676,230.233322143555
1,2,7,68,101007068,0,48.5499992370605,0,5,0.691666662693024,0,0.766666650772095,0.458333343267441,9,5.5,69.966667175293,397,20,125,248.050003051758
1,2,7,82,101007082,0,263.600006103516,0,194.600006103516,4.04166650772095,0,23.3333339691162,23,53.5,10,572.075012207031,177,0,25.75,612.575012207031
1,1,8,4,101008004,0,30.1499996185303,4.5,0.5,1.50833332538605,0,0,9.83333301544189,15.4749994277954,6.59999990463257,68.5666656494141,0,35,15,118.566665649414
1,1,8,14,101008014,0,103.5,3.59999990463257,142.199996948242,3.91666674613953,0,0.875,0.400000005960464,131.850006103516,7,393.341674804688,161,4,6.16666650772095,416.925018310547
1,1,8,17,101008017,0,158,3.5,85,14.5833330154419,0,0,22.9166660308838,43.1166648864746,17,344.116668701172,517,15,0,402.200012207031
1,1,8,19,101008019,0,260.100006103516,0,1,1.19999992847443,0,0,0.754999995231628,176.608337402344,11,450.663330078125,2030,11,17,647.830017089844
1,1,8,21,101008021,0,44.5,0,0.5,6.58333349227905,0,0,3.16666650772095,26.0833320617676,11,91.8333358764648,19,64,0,157.41667175293
1,1,8,22,101008022,0,89.0999984741211,0,34.5,7.66666650772095,0,2.58333325386047,12.1666669845581,45.8333320617676,4.5,196.349990844727,264,6,51,275.349975585938
1,1,8,29,101008029,0,91.8000030517578,0,21.5,0,0,4.58333301544189,1.83333337306976,23.5833339691162,7,150.300003051758,545,41,96.0833358764648,332.800018310547
1,1,8,35,101008035,32.4000015258789,231.5,60,86.3000030517578,0,0,7.41666650772095,5.57499980926514,19.3083343505859,3,413.100006103516,4,40,51,504.433349609375
1,1,8,44,101008044,0,390.899993896484,3,54,21.6166667938232,0,0,0.416666656732559,62.5,20,552.433349609375,932,0,23,653.100036621094
1,1,8,47,101008047,0,31.7999992370605,9,27,2.46666669845581,0,0,0.666666686534882,36.6666679382324,6,113.599998474121,190,57,1673,1859.43334960938
1,1,8,53,101008053,0,68,7.69999980926514,42.5999984741211,4.41666650772095,0,0,4.125,20.9166660308838,11.6000003814697,159.358337402344,1202,0,41.6666679382324,301.191680908203
1,1,8,60,101008060,0,131.149993896484,0,0,0,0,13.5,0,82.6666641235352,8,235.316665649414,0,64,64,363.316650390625
1,1,8,67,101008067,0,284.549987792969,3,58,10,10,0,3,141.233337402344,15.3999996185303,525.183349609375,1914,50,0,734.683349609375
1,1,8,74,101008074,0,173.800003051758,0,85.0999984741211,6.20833349227905,0,0,7.79166698455811,31.8166656494141,9.19999980926514,313.916656494141,1047,52,2,455.166656494141
1,1,8,78,101008078,0,98.6999969482422,0,75,10.8333330154419,0,0,3.25999999046326,13.8333330154419,6,207.626663208008,842,18,2.5,298.293334960938
1,13,9,61,101009061,0,122.519996643066,0,0,0,1.25,26.5,1.66666662693024,98.1666641235352,18,268.103332519531,120,20,12,310.103332519531
1,13,9,68,101009068,0,231.5,0,0,0,0,0,3.08333325386047,358.75,147.5,740.833312988281,2000,0,117,1024.5
1,13,9,94,101009094,0,101.300003051758,0,0,0,0,4.16666650772095,0,44.0833320617676,21.6000003814697,171.149993896484,0,21,15,207.149993896484
1,13,9,108,101009108,0,73.9000015258789,0,0,0,5,0,0,55.6833343505859,31.6000003814697,166.183334350586,0,108,113,387.183349609375
1,13,9,136,101009136,0,104.099998474121,0,0,0,0,0,8.33333301544189,93.4166641235352,25.6000003814697,231.449996948242,40,48,56,338.783325195313
1,13,9,180,101009180,0,175.300003051758,0,0,16.6666660308838,0,0,4.16666650772095,226.70832824707,32.2000007629395,455.041656494141,2250,160,89,891.541625976563
1,13,9,191,101009191,0,110.800003051758,0,0,5.25,0,0,0,75.75,17.2000007629395,209,830,238,15,531.166687011719
1,13,9,195,101009195,0,240.699996948242,0,0,0,0,3.33333325386047,10.4166669845581,169.83332824707,32.2000007629395,456.483337402344,4200,108,37,951.483337402344
1,13,9,206,101009206,40,190.860000610352,0,0,0,0,8.91666603088379,0,186.849990844727,432,818.626647949219,0,0,151,969.626647949219
1,13,9,210,101009210,0,118.5,0,0,0,0,5,0,37.1166648864746,16.6000003814697,177.216659545898,0,0,78,255.216659545898
1,13,9,222,101009222,0,147.600006103516,0,0,3.75,0,1.66666662693024,1.25,102.416664123535,25.3999996185303,282.083343505859,1030,20,63,450.916687011719
1,13,9,227,101009227,0,240.300003051758,0,0,8.33333301544189,0,1.66666662693024,4.58333301544189,253.199996948242,31,539.083312988281,2400,42,98,879.083312988281
1,13,9,235,101009235,0,408.399993896484,0,24,6.66666650772095,0,0,3.5,366.199981689453,41,849.766662597656,2540,80,229.33332824707,1370.7666015625
1,13,9,258,101009258,0,267,0,0,49.1666641235352,0,16.6666660308838,13.75,248.58332824707,439,1034.16662597656,2370,22,79.75,1333.41662597656
1,13,9,262,101009262,0,118.699996948242,0,10,4.16666650772095,0,0,4.16666650772095,43.25,31,211.283340454102,960,15,39,345.283325195313
1,13,10,40,101010040,0,349.75,100.75,4.5,0,0,59.4500007629395,7.29166650772095,122.733329772949,14,658.474975585938,1365,1,1246.66662597656,2019.8916015625
1,13,10,57,101010057,0,16.7000007629395,0,0,0,0,0,0,30.4166660308838,6.5,53.6166648864746,0,0,12,65.6166687011719
1,13,10,64,101010064,0,54.5499992370605,0.600000023841858,13,0,0,17.6666660308838,1.33333337306976,276.666656494141,9.5,373.316650390625,450,70,551.166687011719,1031.9833984375
1,13,10,75,101010075,0,93.9000015258789,0,0,0,0,2.58333325386047,0,18.6666660308838,16.5,131.649993896484,20,0,393,526.316650390625
1,13,10,88,101010088,0,299.75,24.9090900421143,3,7.16666650772095,0,25.3333339691162,0.375,133.366668701172,14.5,508.400756835938,1542,54,802,1492.90075683594
1,13,10,89,101010089,0,181.5,0,0,0,0,0,0,51.5666656494141,33.5,266.566680908203,1691,20,949,1376.4833984375
1,13,10,95,101010095,0,122.5,0,6,0,0.200000002980232,0,5.15000009536743,29.6666660308838,10.5,174.016662597656,2960,6,614.833312988281,1041.5166015625
1,13,10,113,101010113,0,231.899993896484,6,0,0,0,0,40.8333320617676,219.350006103516,25,523.083312988281,0,20,252.5,795.583312988281
1,13,10,132,101010132,0,119.150001525879,0,30,6.54166650772095,0,0,2.23333311080933,68.9166641235352,10,236.841659545898,894,220,169.33332824707,700.674987792969
1,13,10,150,101010150,0,135.100006103516,0,10,1.35000002384186,0,0,13.6833333969116,35.9500007629395,7.30000019073486,203.383331298828,464,47,492,781.049987792969
1,13,10,163,101010163,0,67.3499984741211,0,4,0,0,0,5.5,36.0833320617676,3.5,116.433334350586,0,15,203,334.433349609375
1,13,10,164,101010164,0,193,10,0,5,0,12.0833330154419,0,53.5,5,278.583343505859,102,18,375,680.083374023438
1,13,10,175,101010175,0,67.5,0,1,0,0,2,2.5,81.8083343505859,8.5,163.308334350586,150,0,628.25,804.058349609375
1,13,10,176,101010176,0,274.100006103516,0,0,12.5,0,0,85.8333358764648,78.5833358764648,12.5,463.516662597656,0,0,204,667.516662597656
1,13,10,193,101010193,0,100.400001525879,0,0,0,0,14.5833330154419,0,21.7333335876465,6,142.716659545898,0,0,97,239.716659545898
1,13,11,6,101011006,0,110.199996948242,0,0,0,0,1,4.25,94.6666641235352,29.0499992370605,239.16667175293,324,0,78,344.166687011719
1,13,11,19,101011019,0,74.1999969482422,0,0,0,0,0,30.8333339691162,95.25,30.6000003814697,230.883331298828,460,0,83,352.216674804688
1,13,11,28,101011028,0,111.199996948242,0,0,0,0,0,13.3333330154419,94.625,42,261.158325195313,0,15,39.1666641235352,315.324981689453
1,13,11,31,101011031,0,280.670013427734,0,0,29.1666660308838,0,0,38.4166679382324,141.216659545898,38,527.469970703125,1841,0,76.5,757.386657714844
1,13,11,44,101011044,0,361.079986572266,0,0,10.6666660308838,0,0,56.8333320617676,226.08332824707,52,706.663330078125,21,0,41,749.413330078125
1,13,11,48,101011048,0,184.199996948242,0,0,0,0,20.4166660308838,77.4166641235352,199.283340454102,28,509.316650390625,0,0,139,648.316650390625
1,13,11,50,101011050,0,165.100006103516,0,7,7.125,0,105.416664123535,1.83333325386047,486.25,59,831.724975585938,8201,48,110.916664123535,1674.05834960938
1,13,11,54,101011054,0,146.699996948242,0,79.8000030517578,0,0,2.91666650772095,9.25,41.9166679382324,26,306.583343505859,980,88,18.3333339691162,494.583343505859
1,13,11,58,101011058,0,311.649993896484,0,2,13.75,0,123.5,4.25,240.33332824707,61,756.483337402344,1477,137,136.333343505859,1152.90002441406
1,13,11,85,101011085,0,253.600006103516,0,0,9.16666603088379,0,0,11,31.5416660308838,24,329.308319091797,1152,87,80,592.308349609375
1,13,11,94,101011094,0,137.100006103516,0,8.39999961853027,0,0,0,4.91666650772095,88.0416641235352,37.5,275.958343505859,0,16,16.6666660308838,308.625
1,13,11,104,101011104,0,221.600006103516,0,0,4.16666650772095,0,0,16.25,67.4166641235352,41,350.433319091797,1994,3,32,551.599975585938
1,13,11,146,101011146,0,213.600006103516,0,3,0.833333373069763,0,5.91666650772095,1.66666662693024,45.4166679382324,15,285.433349609375,228,20,0,324.433349609375
1,13,11,161,101011161,0,219.100006103516,0,26,0,0,14.4166660308838,0,11.4166669845581,9,279.933349609375,0,14,57,350.933349609375
1,13,11,172,101011172,0,170.350006103516,0,0,9.33333301544189,0,0,25,39,26,269.683319091797,304,0,23,318.016662597656
1,13,12,6,101012006,0,176.699996948242,0,0,0,5.83333301544189,0,0,77.7083358764648,72.1999969482422,332.441680908203,0,24,91,447.441680908203
1,13,12,7,101012007,0,256.839996337891,0,0,2.91666650772095,0,5,3.33333325386047,249.66667175293,33.0499992370605,550.806640625,820,67,27,713.139953613281
1,13,12,13,101012013,0,161.369995117188,0,0,0,3.33333325386047,0,3.75,143.916656494141,22.2000007629395,334.570007324219,400,44,46,457.903350830078
1,13,12,14,101012014,0,221.600006103516,0,0,0,0,6.66666650772095,0,186.25,90.1999969482422,504.716674804688,0,0,162,666.716674804688
1,13,12,17,101012017,0,231.199996948242,0,0,20.8333320617676,0,0,1.66666662693024,433.666656494141,28,715.366638183594,715,103,112,989.949951171875
1,13,12,22,101012022,0,244.699996948242,0,0,33.3333320617676,0,0,75,400,22.2000007629395,775.233337402344,1200,42,259,1176.2333984375
1,13,12,36,101012036,0,282.600006103516,0,0,0,0,12.5,0,178.33332824707,156,629.433349609375,6000,25,94,1248.43334960938
1,13,12,38,101012038,0,184.399993896484,0,0,0,0,5,5,124.08332824707,72.1999969482422,390.683319091797,400,81,76,581.016662597656
1,13,12,39,101012039,0,223.699996948242,0,0,0,0,25,2.5,149.16667175293,82.1999969482422,482.566680908203,1180,69,33,682.900024414063
1,13,12,45,101012045,0,223.399993896484,0,0,2.08333325386047,0,1.66666662693024,3.33333325386047,136.91667175293,84.1999969482422,451.600006103516,2260,75,139,853.933349609375
1,13,12,50,101012050,0,191,0,0,0,0,8.33333301544189,2.5,127.08332824707,130,458.916656494141,950,40,99.5,677.583312988281
1,13,12,51,101012051,0,172.199996948242,0,70,2.5,0,0,0,195.66667175293,72.1999969482422,512.566650390625,1300,0,137,757.899963378906
1,13,12,55,101012055,0,252.300003051758,0,0,0,5,6.66666650772095,2.5,460.5,222.199996948242,949.166687011719,950,42,19,1089.33337402344
1,13,12,85,101012085,0,148.600006103516,0,0,5.83333301544189,0,8.33333301544189,4.16666650772095,397.333343505859,82.1999969482422,646.466674804688,600,25,66.6666717529297,788.133361816406
1,13,12,94,101012094,0,282.450012207031,0,0,0,4.16666650772095,0,11.6666660308838,409.666656494141,337.200012207031,1045.15002441406,900,41,86.3333358764648,1247.4833984375
1,8,13,6,101013006,0,104.699996948242,0,37,0,0,1.08333337306976,0,32.1666679382324,12,186.949996948242,1000,30,6.66666650772095,306.949981689453
1,8,13,8,101013008,0,93.25,0,113,2.5,0,0,6.66666650772095,81.3333282470703,5.30000019073486,302.049987792969,200,40,25,383.716644287109
1,8,13,15,101013015,0,83.9000015258789,0,38,0,0,0,13.3333330154419,67.5833358764648,5,207.816665649414,0,61,35.4166679382324,304.233337402344
1,8,13,19,101013019,0,67.75,0,22.3999996185303,0,0,3.25,3.16666650772095,25.8333339691162,3.59999990463257,126,250,150,2.08333325386047,298.916656494141
