"id1","id2","id3","id4","itrans_no","s3biv_39ii","s3biv_40","s3biv_41","s3biv_42","s3biv_43ii","s3biv_44","s3biv_45","s3biv_45_1","s3biv_45_2","s3biv_45_3","s3biv_45_4","s3biv_45_5","s3biv_46i","s3biv_46ii","s3biv_47i","s3biv_47ii","s3biv_48i","s3biv_48ii","s3biv_49","hhno"
1,8,15,149,3,1,1,9,1,,1,"1",1,,,,,,,100,,,,3,101015149
1,8,14,22,1,2,1,88,1,23,5,"1",1,,,,,0,,5,,0,,3,101014022
1,8,14,118,2,2,1,2,13,-8,1,"1",1,,,,,96,,0,,30,,3,101014118
1,13,10,113,3,1,2,,2,-8,5,"1",1,,,,,50,,,,,,3,101010113
1,10,17,11,2,1,1,88,1,-8,2,"1",1,,,,,720,,25,,40,,3,101017011
1,17,22,37,1,1,1,5,2,-8,5,"1,5,8",1,5,8,,,300,,40,,60,,4,101022037
1,13,10,163,2,1,1,1,1,-8,5,"1",1,,,,,30,,,,,,3,101010163
1,8,14,65,2,2,1,14,4,,3,"1",1,,,,,60,,15,,20,,4,101014065
1,13,11,31,1,1,1,88,2,,2,"1,5",1,5,,,,1500,,,,,,1,101011031
1,13,9,94,1,1,1,2,4,,5,"1,4,6",1,4,6,,,120,,,,,,2,101009094
1,5,4,17,1,1,1,88,12,-8,3,"1,5",1,5,,,,600,,0,,0,,1,101004017
1,1,8,44,1,1,1,10,12,-8,5,"1,5",1,5,,,,500,,,,,,3,101008044
1,12,29,39,1,1,2,,12,-8,5,"1",1,,,,,5,0,,,12,0,3,101029039
1,8,13,66,1,1,1,2,13,,5,"1,5,6",1,5,6,,,60,,,,,,4,101013066
1,1,3,26,1,1,1,88,4,-8,3,"1",1,,,,,50,,10,,,,3,101003026
1,13,10,113,2,1,2,,16,,4,"1",1,,,,,100,,,,500,,4,101010113
1,13,11,19,1,2,1,88,4,,5,"1,5",1,5,,,,550,,,,,,4,101011019
1,1,3,13,2,1,2,,14,-8,5,"1",1,,,,,30,,,,,,3,101003013
1,8,16,149,1,1,2,,2,-8,5,"1",1,,,,,10,,,,,,3,101016149
1,13,11,161,1,1,2,,5,,5,"4",4,,,,,142,26,,,,,2,101011161
1,6,1,23,1,1,1,4,12,,1,"1",1,,,,,360,,0,,20,,4,101001023
1,8,14,61,1,1,1,6,4,,3,"5",5,,,,,30,0,15,,0,,3,101014061
1,13,12,6,1,1,1,1,15,,5,"1,4,6",1,4,6,,,400,,,,,,2,101012006
1,10,27,46,1,1,1,3,12,-8,5,"1,6,8",1,6,8,,,120,,,,,,3,101027046
1,8,15,55,2,1,1,2,1,-8,2,"1",1,,,,,120,,,,,,3,101015055
1,8,13,20,1,1,1,2,12,,5,"1,6,9",1,6,9,,,,,25,,,,,101013020
1,5,4,32,3,1,1,2,13,-8,5,"1,5",1,5,,,,100,,0,,0,,3,101004032
1,2,28,15,2,1,1,6,12,-8,3,"1",1,,,,,100,,20,,,,3,101028015
1,2,28,18,2,1,2,,1,16,2,"1",1,,,,,,,100,,,,,101028018
1,10,18,34,1,1,1,8,12,-8,2,"1,6",1,6,,,,500,,,,,,4,101018034
1,8,14,118,1,2,1,88,12,-8,2,"1,6",1,6,,,,360,,50,,80,,3,101014118
1,10,18,58,1,1,1,88,12,,1,"1,6",1,6,,,,600,,,,,,3,101018058
1,10,27,31,1,1,1,1,13,23,3,"9",9,,,,,100,,60,0,,,3,101027031
1,12,29,36,2,1,1,5,12,-8,2,"1,9",1,9,,,,80,0,20,0,25,0,3,101029036
1,1,3,4,2,1,1,6,14,-8,5,"1,6",1,6,,,,150,,50,,,,3,101003004
1,13,11,6,1,1,1,88,16,,5,"1,5",1,5,,,,400,,,,,,2,101011006
1,2,5,1,1,1,2,,16,,5,"3",3,,,,,100,,0,,400,,2,101005001
1,13,11,28,4,1,1,1,2,,2,"1",1,,,,,360,,,,,,3,101011028
1,1,3,20,1,1,1,4,14,-8,2,"1",1,,,,,80,,30,,,,4,101003020
1,12,29,36,1,1,2,,1,-8,2,"1,9",1,9,,,,100,0,20,0,,,3,101029036
1,12,30,22,1,1,,1,7,,3,"1,6",1,6,,,,150,,50,,10,,4,101030022
1,1,3,4,3,1,2,,13,-8,3,"1,6",1,6,,,,60,,30,,50,,3,101003004
1,8,15,34,1,1,1,1,12,,5,"1",1,,,,,20,,20,,,,3,101015034
1,10,20,18,1,2,1,3,1,-8,2,"1",1,,,,,360,,,,25,,3,101020018
1,1,8,22,1,2,1,13,2,,5,"1",1,,,,,100,,100,,,,3,101008022
1,13,10,75,1,1,2,,12,-8,1,"1",1,,,,,420,,,,,,3,101010075
1,10,17,29,1,1,2,,13,-8,5,"1",1,,,,,5,,,,,,3,101017029
1,10,20,2,1,1,1,88,12,-8,2,"1,5",1,5,,,,1200,,,,300,,4,101020002
1,8,13,36,2,2,1,12,12,,5,"8,9",8,9,,,,,,,,40,,3,101013036
1,2,28,18,1,1,1,4,1,-8,1,"1",1,,,,,,,220,,,,,101028018
1,5,4,20,1,1,1,88,4,-8,5,"1,5",1,5,,,,120,,0,,0,,3,101004020
1,8,16,152,4,1,1,6,1,-8,2,"1",1,,,,,100,,,,,,3,101016152
1,10,17,20,1,1,1,88,1,-8,2,"1",1,,,,,480,,10,,40,,3,101017020
1,10,18,26,1,1,1,3,1,,2,"1,6",1,6,,,,840,,80,,20,,3,101018026
1,11,31,15,,1,2,,4,,5,"1",1,,,,,5,0,10,0,5,0,3,101031015
1,10,21,54,1,1,1,8,13,-8,5,"1",1,,,,,0,,30,,0,,3,101021054
1,11,31,74,1,1,2,,4,-8,4,"1,2,6",1,2,6,,,120,,,,,,4,101031074
1,10,17,2,2,2,1,4,12,-8,5,"1",1,,,,,100,,,,50,,3,101017002
1,6,1,15,1,1,1,7,12,-8,1,"1",1,,,,,810,,70,,120,,4,101001015
1,10,17,49,3,1,1,2,1,-8,3,"1,5",1,5,,,,180,,270,,,,3,101017049
1,1,8,67,1,1,1,2,16,,3,"1,5",1,5,,,,120,,,,150,,2,101008067
1,8,15,149,2,1,1,7,12,,2,"1",1,,,,,48,,,,,,3,101015149
1,8,16,152,5,1,1,7,12,-8,5,"1",1,,,,,,,100,,,,3,101016152
1,2,5,40,1,1,1,1,12,,2,"1",1,,,,,250,,60,,50,,4,101005040
1,10,20,6,2,1,1,1,12,-8,2,"1,6",1,6,,,,160,,25,,35,,4,101020006
1,13,10,113,1,1,2,,16,,2,"1",1,,,,,240,,,,700,,3,101010113
1,10,21,1,1,1,2,,1,-8,2,"1",1,,,,,300,,0,,0,,4,101021001
1,8,15,34,2,1,1,2,2,,5,"1",1,,,,,15,,,,,,3,101015034
1,10,17,51,1,2,1,6,1,-8,5,"1,9",1,9,,,,30,,,,,,3,101017051
1,8,14,65,1,1,1,88,4,,3,"1",1,,,,,80,,30,,20,,4,101014065
1,10,27,46,2,1,1,4,1,,5,"1,6,8",1,6,8,,,80,,,,,,3,101027046
1,6,2,19,1,1,2,,1,,2,"1,2,5,6",1,2,5,6,,300,,,,,,2,101002019
1,6,1,10,2,2,2,,4,,3,"1,4",1,4,,,,50,,40,,10,,3,101001010
1,10,17,36,1,1,1,6,12,-8,9,,,,,,,420,,,,15,,3,101017036
1,10,17,49,1,1,1,3,12,-8,2,"1,5",1,5,,,,300,,200,,,,1,101017049
1,13,10,176,1,1,2,,2,-8,1,"1",1,,,,,2340,,1000,,500,,3,101010176
1,8,14,118,3,2,1,88,1,-8,1,"1",1,,,,,0,,50,,0,,3,101014118
1,6,1,10,1,1,2,,12,,2,"1,4",1,4,,,,70,,50,,20,,3,101001010
1,13,10,57,2,1,1,8,1,52,1,"1",1,,,,,150,,150,,,,3,101010057
1,1,8,17,1,2,1,13,3,2,5,"1",1,,,,,20,,,,45,,4,101008017
1,1,8,67,2,1,1,3,16,,3,"1,5",1,5,,,,1400,,,,300,,2,101008067
1,6,1,13,1,1,,1,14,,3,"1,6",1,6,,,,200,,30,,30,,3,101001013
1,8,16,152,6,2,1,88,12,-8,5,"1",1,,,,,,,,,,,3,101016152
1,10,18,19,2,1,2,,1,18,5,"1,8",1,8,,,,30,,,,,,3,101018019
1,1,3,4,1,1,2,,16,-8,5,"1,6",1,6,,,,300,,,,,,2,101003004
1,8,16,152,1,1,1,1,1,-8,5,"1",1,,,,,100,,,,,,3,101016152
1,8,14,65,3,1,1,1,4,,4,"1",1,,,,,40,,0,,0,,4,101014065
1,1,8,53,1,1,1,88,12,,2,"1",1,,,,,360,,,,30,,3,101008053
1,17,22,1,2,1,1,2,13,,2,"1,6",1,6,,,,25,0,,,,,4,101022001
1,10,27,31,2,2,1,13,3,-8,5,"3",3,,,,,250,,50,0,,,4,101027031
1,6,2,43,1,1,1,88,2,,5,"1,6",1,6,,,,100,,20,,25,,4,101002043
1,2,28,18,3,1,2,,1,14,2,"1",1,,,,,,,50,,,,,101028018
1,13,10,132,1,1,1,88,12,,1,"1,5",1,5,,,,420,,350,,50,,3,101010132
1,13,10,193,1,1,1,1,14,,2,"1",1,,,,,250,,,,150,,4,101010193
1,10,17,29,2,1,1,1,1,-8,5,"1",1,,,,,10,,20,,,,3,101017029
1,8,16,163,1,1,2,,12,,5,"1",1,,,,,,,60,,,,3,101016163
1,10,27,13,1,1,1,11,16,-8,3,"1,6,9",1,6,9,,,200,,,,,,,101027013
1,8,13,67,2,2,1,1,12,,5,"1,6",1,6,,,,60,,20,,20,,,101013067
1,2,28,15,3,1,2,,1,14,2,"1",1,,,,,20,,15,,,,3,101028015
1,2,26,39,2,1,1,2,12,-8,5,"1,6,8",1,6,8,,,200,,0,,0,,4,101026039
1,1,3,4,4,1,2,,1,5,1,"1,6",1,6,,,,,,360,,50,,3,101003004
1,5,4,12,1,1,1,6,5,,5,"1,2",1,2,,,,3000,,0,,0,,2,101004012
1,13,10,163,1,1,1,88,12,-8,2,"1",1,,,,,180,,80,,50,,3,101010163
1,2,25,44,1,1,1,11,15,,5,"1,8",1,8,,,,500,,,,,,4,101025044
1,2,28,8,1,1,1,6,12,-8,3,"8",8,,,,,,,,,120,,3,101028008
1,2,26,39,1,1,1,1,1,-8,1,"1,6,8",1,6,8,,,150,,800,,500,,3,101026039
1,8,13,8,1,1,1,2,2,,2,"1",1,,,,,,,300,,,,3,101013008
1,8,15,194,1,1,1,2,13,,5,"1",1,,,,,120,,,,,,3,101015194
1,8,13,32,1,1,2,,2,,5,"1,6,8",1,6,8,,,200,,40,,30,,3,101013032
1,13,9,61,1,1,1,2,14,,5,"1,6,8",1,6,8,,,120,,,,,,3,101009061
1,2,5,25,1,1,1,4,12,1,2,"1",1,,,,,360,,100,,100,,4,101005025
1,8,16,107,1,1,1,3,12,-8,5,"1",1,,,,,20,,,,,,3,101016107
1,1,3,13,1,1,1,1,14,-8,3,"1,3",1,3,,,,70,,65,,,,4,101003013
1,13,11,28,3,1,1,3,4,,5,"1",1,,,,,300,,,,,,3,101011028
1,2,28,34,1,1,2,,12,-8,3,"9",9,,,,,20,,10,,12,,4,101028034
1,6,1,35,1,1,1,3,12,,3,"1,6",1,6,,,,150,,50,,0,,4,101001035
1,1,8,4,1,1,1,88,13,,1,"1,3,10",1,3,10,,,480,,20,,65,,3,101008004
1,10,19,16,1,1,2,,16,-8,2,"1,6",1,6,,,,600,,,,150,,2,101019016
1,1,8,78,1,1,1,1,2,-8,2,"1,8",1,8,,,,240,,80,,40,,3,101008078
1,10,21,63,1,1,1,88,12,-8,2,"1,6,8",1,6,8,,,800,,200,,100,,4,101021063
1,13,10,89,1,1,1,88,4,,2,"1,5",1,5,,,,1380,,,,,,3,101010089
1,2,6,60,1,1,1,1,12,-8,2,"1",1,,,,,60,,15,,,,3,101006060
1,13,11,44,1,1,1,12,16,,5,"1",1,,,,,600,,,,,,2,101011044
1,10,20,26,1,1,1,7,1,-8,5,"1,13",1,13,,,,150,,,,,,3,101020026
1,10,18,34,2,1,1,9,7,-8,2,"1",1,,,,,300,,,,,,4,101018034
1,10,20,6,1,1,1,2,12,-8,1,"1,6",1,6,,,,130,,30,,,,4,101020006
1,12,29,11,2,1,2,,7,-8,5,"6",6,,,,,50,0,,,,,3,101029011
2,2,33,43,2,1,1,7,3,,2,"1",1,,,,,440,,0,,0,,7,102033043
2,29,43,31,2,1,2,,12,,5,"1",1,,,,,150,,20,,5,,3,102043031
2,29,60,14,1,1,1,4,2,,2,"1,2,6",1,2,6,,,150,,25,,20,,4,102060014
2,6,45,18,1,1,1,88,1,-8,7,"1,4,5",1,4,5,,,730,,50,0,,,3,102045018
2,27,46,99,2,2,2,,12,,5,"1",1,,,,,,,4,,,,3,102046099
2,23,56,69,1,1,1,88,1,,5,"1",1,,,,,,,20,,,,3,102056069
2,31,38,38,1,1,1,1,3,-8,5,"1",1,,,,,150,,50,,80,,3,102038038
2,20,48,51,2,1,1,1,1,-8,1,"1,2,5,6",1,2,5,6,,500,0,50,0,400,0,3,102048051
2,31,40,38,2,1,1,6,4,-8,5,"1",1,,,,,50,,,,,,4,102040038
2,23,57,72,3,1,1,3,13,,5,"1,2,6",1,2,6,,,100,,25,,10,,4,102057072
2,2,37,35,2,1,1,2,12,,2,"1",1,,,,,,,20,,,,3,102037035
2,9,55,74,2,1,1,4,12,,5,"1",1,,,,,50,,,,,,3,102055074
