"id1","id2","id3","id4","entno","s5a_31ii","s5a_32ii","s5a_4ii","s5a_5ii","s5a_6","s5a_7i","s5a_7ii","s5a_b","s5a_9i","s5a_9ii","s5a_10i","s5a_10ii","s5a_11","s5a_11i","s5a_11ii","s5a_11iii","s5a_11iv","s5a_11v","s5a_11vi","s5a_11vii","s5a_11viii","s5a_11ix","s5a_11x","s5a_11xi","s5a_11xii","s5a_12","s5a_13","s5a_14ii","s5a_15","s5a_16","s5a_17","s5a_18","s5a_19","s5a_20","s5a_20i","s5a_20ii","s5a_20iii","s5a_20iv","s5a_20v","s5a_20vi","s5a_20vii","s5a_20viii","s5a_20ix","s5a_20x","s5a_20xi","s5a_20xii","s5a_20ia","s5a_20iia","s5a_20iiia","s5a_20iva","s5a_20va","s5a_20via","s5a_20viia","s5a_20viiia","s5a_20ixa","s5a_20xa","s5a_21i","s5a_21ii","s5a_22i","s5a_22ii","s5a_23","s5a_23i","s5a_23ii","s5a_23iii","s5a_23iv","s5a_23v","s5a_23vi","s5a_23vii","s5a_23viii","s5a_23ix","s5a_23x","s5a_23xi","s5a_23xii","s5a_24i","s5a_24ii","s5a_25i","s5a_25ii","s5a_26i","s5a_26ii","s5a_27i","s5a_27ii","s5a_28i","s5a_28ii","s5a_29i","s5a_29ii","hhno"
6,1,217,61,1,1,,,1,"SELLING OF FOOD","SERVICES",5520,,,,,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,10,1,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHLLLLLLLLHH","H","H","L","L","L","L","L","L","L","L","H","H",27,0,20,0,17,0,18,,15,,12,,106217061
3,1,68,26,1,1,,,1,"RETAIL SALE OF BEVERAGES","RETAIL TRADE",5220,"RETAILING OF PURE WATER","RETAIL SALE",5220,10,,"ALI",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAAAAAAAAAAA","A","A","A","A","A","A","A","A","A","A","A","A",0,0,70,0,0,0,,,100,,,,103068026
6,102,214,38,1,1,,,1,"FOOD PREPARATION","TRADING",5520,,,,12,,"1-12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HAAAAAAAAAAH","H","A","A","A","A","A","A","A","A","A","A","H",700,0,500,0,400,0,350,,300,,250,,106214038
3,44,89,4,1,1,,,,"SELLS KENKEY","FOOD PRODUCTS",5520,,,,10,4,"1-12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,11,3,1,"1",1,2,2,2,2,2,2,2,2,2,0,0,100,0,0,0,0,0,0,0,0,0,300,,200,,"AAAAALLLAAHH","A","A","A","A","A","L","L","L","A","A","H","H",200,0,100,0,80,0,90,,80,,50,,103089004
7,130,249,3,1,2,,,2,"SALE OF BANKU RICE BALLS AND FUFU","FOOD ENTERPRISE",5520,,,,1,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,11,2,1,"2",2,1,2,2,2,2,2,2,2,2,0,0,0,100,0,0,0,0,0,0,0,0,200,,140,,"AHHAALLLLAAH","A","H","H","A","A","L","L","L","L","A","A","H",36000,0,1680,0,1200,0,2600,,950,,700,,107249003
4,49,120,27,1,1,,,1,"PETTY TRADING","RETAIL",5252,,,,3,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,1,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLLLLHHHAAAA","L","L","L","L","L","H","H","H","A","A","A","A",1200,0,750,0,450,0,1000,,600,,350,,104120027
7,127,251,60,1,1,,,1,"SALT SELLING","RETAIL SALE VIA STALLS & MARKET",5252,,,,2,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,1,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLLLLLAAAAAH","L","L","L","L","L","L","A","A","A","A","A","H",35,0,15,0,9,0,20,,10,,5,,107251060
8,148,302,1,1,2,,2,2,"SALE OF COOKED FOOD(BEANS)","PRODUCING",5520,,,,24,,"1-12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,12,4,1,"5",2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,0,100,0,0,0,0,0,100,,70,,"LLAAHHHHAAAL","L","L","A","A","H","H","H","H","A","A","A","L",300,0,200,0,100,0,60,,40,,20,,108302001
6,111,225,37,1,1,,,1,"PETTY TRADING","SALES",5252,,,,3,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAAHHAALLLHH","A","A","A","H","H","A","A","L","L","L","H","H",420,0,300,0,200,0,290,,150,,150,,106225037
4,7,117,20,1,2,,,2,"BAKERY","MANUFACTURING",1541,,,,,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HAAALLLAAAAH","H","A","A","A","L","L","L","A","A","A","A","H",525,0,370,0,300,0,300,,260,,250,,104117020
