"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
1,13,11,85,1,1,,,,1,,,,7,,,,12,,,,30,,,,12,,,,101011085
1,13,11,146,1,2,,,,1,,,,14,,,,8,,,,22,,,,8,,,,101011146
1,13,11,172,1,1,,,,1,,,,7,,,,12,,,,30,,,,12,,,,101011172
1,13,12,17,1,2,,,,1,,,,10,,,,7,,,,20,,,,7,,,,101012017
1,13,12,38,1,2,,,,1,10,,,12,12,,,10,10,,,24,24,,,10,10,,,101012038
1,13,12,51,1,2,,,,1,,,,6,,,,8,,,,12,,,,8,,,,101012051
1,13,12,55,1,2,,,,1,,,,12,,,,8,,,,24,,,,8,,,,101012055
1,13,12,94,1,1,,,,1,7,10,10,12,12,12,12,8,8,8,8,24,24,24,24,8,8,8,8,101012094
1,8,13,8,1,1,3,,,1,7,,,4,4,,,1,1,,,8,8,,,1,1,,,101013008
1,8,13,36,1,2,3,4,,1,3,3,,6,6,6,,8,8,8,,12,12,12,,8,8,8,,101013036
1,8,13,87,1,2,,,,1,,,,14,,,,6,,,,28,,,,6,,,,101013087
1,8,14,11,1,11,-8,,,1,10,,,,,,,,,,,30,30,,,14,14,,,101014011
1,8,14,15,2,15,,,,1,,,,,,,,,,,,7,,,,8,,,,101014015
1,8,14,15,1,15,,,,1,,,,2,,,,15,,,,4,,,,15,,,,101014015
1,8,14,36,1,36,,,,1,,,,6,,,,6,,,,12,,,,6,,,,101014036
1,8,14,46,1,46,46,46,46,1,3,3,3,8,8,8,8,12,10,10,10,16,16,16,16,12,10,10,10,101014046
1,8,14,57,1,57,57,57,,1,2,3,,4,4,4,,12,12,12,,8,8,8,,12,12,12,,101014057
1,8,14,69,2,69,69,,,1,2,,,8,8,,,10,10,,,16,16,,,10,10,,,101014069
1,8,14,69,1,69,-8,-8,,1,7,7,,,,,,2,2,2,,12,12,12,,4,4,4,,101014069
1,8,14,82,1,82,,,,1,,,,14,,,,13,,,,28,,,,13,,,,101014082
1,8,14,113,1,113,,,,1,,,,10,,,,8,,,,20,,,,8,,,,101014113
1,8,14,129,2,129,129,,,1,1,,,4,4,,,10,10,,,8,8,,,10,10,,,101014129
1,8,14,129,1,129,,,,1,,,,4,,,,5,,,,15,,,,5,,,,101014129
1,8,15,65,2,2,,,,1,,,,2,,,,10,,,,4,,,,10,,,,101015065
1,8,15,65,1,65,82,65,,1,10,7,,14,14,14,,14,14,14,,30,30,30,,14,14,14,,101015065
1,8,15,119,1,119,,,,1,,,,14,,,,14,,,,30,,,,14,,,,101015119
1,8,15,120,1,120,,,,1,,,,14,,,,12,,,,30,,,,12,,,,101015120
1,8,15,188,1,188,,,,1,,,,8,,,,12,,,,16,,,,12,,,,101015188
1,8,16,41,1,41,-8,,,1,7,,,14,14,,,10,10,,,30,30,,,10,10,,,101016041
1,8,16,51,2,51,,,,1,,,,2,,,,3,,,,10,,,,3,,,,101016051
1,8,16,51,1,51,,,,1,,,,0,,,,0,,,,30,,,,5,,,,101016051
1,8,16,53,1,53,,,,1,,,,7,,,,3,,,,30,,,,3,,,,101016053
1,8,16,144,1,2,,,,1,,,,10,,,,5,,,,22,,,,5,,,,101016144
1,8,16,145,1,1,,,,1,,,,14,,,,11,,,,30,,,,11,,,,101016145
1,8,16,154,1,1,,,,1,,,,7,,,,4,,,,30,,,,4,,,,101016154
1,8,16,217,1,217,-8,,,1,10,,,14,14,,,8,8,,,30,30,,,5,5,,,101016217
1,10,17,4,1,2,,,,1,,,,12,,,,13,,,,26,,,,13,,,,101017004
1,10,17,31,1,2,,,,1,,,,10,,,,12,,,,30,,,,12,,,,101017031
1,10,18,11,1,1,,,,1,,,,12,,,,7,,,,24,,,,7,,,,101018011
1,10,18,14,1,2,,,,1,,,,14,,,,10,,,,28,,,,10,,,,101018014
1,10,18,27,1,1,2,,,1,2,,,12,12,,,11,6,,,26,26,,,11,6,,,101018027
1,10,18,33,1,1,,,,1,,,,14,,,,10,,,,28,,,,10,,,,101018033
1,10,18,43,1,2,,,,1,,,,12,,,,10,,,,24,,,,7,,,,101018043
1,10,18,58,1,1,,,,1,,,,12,,,,8,,,,24,,,,8,,,,101018058
1,10,18,59,1,1,,,,1,,,,12,,,,8,,,,24,,,,8,,,,101018059
1,10,19,4,1,2,,,,1,,,,12,,,,14,,,,24,,,,4,,,,101019004
1,10,19,5,1,1,,,,1,,,,5,,,,7,,,,20,,,,6,,,,101019005
1,10,19,10,1,1,,,,1,,,,8,,,,10,,,,20,,,,10,,,,101019010
1,10,19,17,1,2,-8,,,1,9,,,10,10,,,8,8,,,20,20,,,8,8,,,101019017
1,10,19,20,1,2,,,,1,,,,10,,,,10,,,,20,,,,10,,,,101019020
1,10,20,6,1,1,,,,1,,,,12,,,,11,,,,26,,,,11,,,,101020006
1,10,20,21,1,1,,,,1,,,,14,,,,14,,,,30,,,,14,,,,101020021
1,10,20,26,1,1,,,,1,3,,,14,14,,,3,10,,,30,30,,,3,10,,,101020026
1,10,20,37,1,1,,,,1,,,,12,,,,11,,,,26,,,,11,,,,101020037
1,10,21,7,1,2,,,,1,,,,4,,,,7,,,,18,,,,6,,,,101021007
1,10,21,68,1,2,-8,,,1,7,,,14,14,,,10,10,,,28,20,,,10,10,,,101021068
1,10,21,69,2,1,-8,-8,,1,10,10,10,12,12,12,12,7,7,7,7,20,20,20,20,7,7,7,7,101021069
1,10,21,69,1,2,,,,1,,,,14,,,,10,,,,26,,,,10,,,,101021069
1,16,23,13,1,1,,,,1,,,,4,,,,8,,,,15,,,,8,,,,101023013
1,16,23,31,1,2,-8,,,1,7,,,3,3,,,5,5,,,10,10,,,8,8,,,101023031
1,17,24,28,1,28,,,,1,,,,6,,,,4,,,,16,,,,10,,,,101024028
1,17,24,39,2,2,,,,1,,,,12,,,,10,,,,24,,,,10,,,,101024039
1,17,24,39,1,1,,,,1,,,,5,,,,7,,,,15,,,,7,,,,101024039
1,2,26,10,1,1,,,,1,,,,6,,,,4,,,,12,,,,4,,,,101026010
1,2,26,17,1,1,,,,1,,,,14,,,,10,,,,24,,,,10,,,,101026017
1,2,26,23,1,1,2,,,1,2,,,14,14,,,12,9,,,24,24,,,12,9,,,101026023
1,2,26,24,1,1,,,,1,,,,12,,,,6,,,,24,,,,6,,,,101026024
1,2,26,29,1,1,,,,1,,,,14,,,,10,,,,24,,,,10,,,,101026029
1,10,27,10,1,1,,,,1,,,,14,,,,10,,,,28,,,,10,,,,101027010
1,2,28,26,1,2,3,4,5,1,3,3,3,14,14,14,14,12,6,6,6,30,30,30,30,12,6,6,6,101028026
