"id1","id2","id3","id4","hhmid","s8b_1","s8b_2i","s8b_2ii","s8b_3i","s8b_3ii","s8b_4i","s8b_4ii","s8b_5","s8b_6","s8b_7","s8b_8","s8b_9","s8b_10","s8b_11","s8b_12","s8b_13","s8b_14","s8b_15","s8b_16","s8b_17","s8b_18","s8b_19","s8b_20","s8b_21","s8b_22","s8b_23","s8b_24","s8b_25","hhno"
1,6,2,25,3,2,,,,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,4,4,4,4,101002025
1,6,2,25,4,,,,,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101002025
1,6,2,28,1,1,120,,,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,4,4,4,101002028
1,6,2,41,1,1,160,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101002041
1,6,2,52,1,1,90,,,,,,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,101002052
1,1,3,4,1,2,,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003004
1,1,3,9,1,1,20,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003009
1,1,3,11,1,1,150,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003011
1,1,3,12,1,1,60,,,,,,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003012
1,1,3,15,1,1,90,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003015
1,1,3,26,2,,,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101003026
1,1,3,32,1,2,,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003032
1,1,3,37,1,2,,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003037
1,1,3,40,1,1,25,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003040
1,1,3,43,1,1,100,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003043
1,1,3,46,1,1,15,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003046
1,1,3,46,4,2,,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101003046
1,1,3,50,1,1,15,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,4,4,4,101003050
