"id1","id2","id3","id4","s1ei_0","s1ei_01","hhno"
1,5,4,22,1,1,101004022
1,5,4,24,1,1,101004024
1,5,4,27,1,1,101004027
1,5,4,31,2,,101004031
1,5,4,32,2,,101004032
1,6,1,2,1,1,101001002
1,6,1,3,2,,101001003
1,6,1,4,2,,101001004
1,6,1,9,1,1,101001009
1,6,1,10,2,,101001010
1,6,1,12,2,,101001012
1,6,1,13,2,,101001013
1,6,1,15,2,,101001015
1,6,1,22,1,1,101001022
1,6,1,23,2,,101001023
1,6,1,24,2,,101001024
1,6,1,26,1,1,101001026
1,6,1,29,2,,101001029
1,6,1,34,2,,101001034
1,6,1,35,2,,101001035
1,6,2,2,2,,101002002
1,6,2,4,2,,101002004
1,6,2,16,2,,101002016
1,6,2,19,2,,101002019
1,6,2,21,2,,101002021
1,6,2,23,2,,101002023
1,6,2,24,2,,101002024
1,6,2,25,2,,101002025
1,6,2,28,2,,101002028
1,6,2,29,1,1,101002029
1,6,2,37,2,,101002037
1,6,2,41,1,1,101002041
1,6,2,43,2,,101002043
1,6,2,50,1,1,101002050
1,6,2,52,1,1,101002052
1,8,13,6,1,1,101013006
1,8,13,8,2,,101013008
1,8,13,15,1,1,101013015
1,8,13,19,2,,101013019
1,8,13,20,2,,101013020
1,8,13,28,2,,101013028
1,8,13,30,2,,101013030
1,8,13,32,2,,101013032
1,8,13,36,2,,101013036
1,8,13,48,2,,101013048
1,8,13,66,2,,101013066
1,8,13,67,2,,101013067
1,8,13,87,2,,101013087
1,8,13,95,2,,101013095
1,8,13,103,1,2,101013103
1,8,14,11,2,,101014011
1,8,14,15,2,,101014015
1,8,14,22,2,,101014022
1,8,14,33,2,,101014033
1,8,14,36,2,,101014036
1,8,14,41,2,,101014041
1,8,14,46,2,,101014046
1,8,14,57,2,,101014057
1,8,14,61,2,,101014061
1,8,14,65,2,,101014065
1,8,14,69,2,,101014069
1,8,14,82,2,,101014082
1,8,14,113,2,,101014113
1,8,14,118,2,,101014118
1,8,14,129,2,,101014129
1,8,15,6,1,1,101015006
1,8,15,9,2,,101015009
1,8,15,34,2,,101015034
1,8,15,49,2,,101015049
1,8,15,55,2,,101015055
1,8,15,64,2,,101015064
1,8,15,65,2,,101015065
1,8,15,90,2,,101015090
1,8,15,119,2,,101015119
1,8,15,120,2,,101015120
1,8,15,149,2,,101015149
1,8,15,151,2,,101015151
1,8,15,188,2,,101015188
1,8,15,191,2,,101015191
1,8,15,194,1,1,101015194
1,8,16,1,1,1,101016001
1,8,16,23,2,,101016023
1,8,16,41,1,1,101016041
1,8,16,51,2,,101016051
1,8,16,53,1,1,101016053
1,8,16,107,2,,101016107
1,8,16,111,1,1,101016111
1,8,16,137,2,,101016137
1,8,16,144,2,,101016144
1,8,16,145,2,,101016145
1,8,16,149,2,,101016149
1,8,16,152,2,,101016152
1,8,16,154,2,,101016154
1,8,16,163,1,1,101016163
1,8,16,217,1,1,101016217
1,10,17,2,2,,101017002
1,10,17,4,1,1,101017004
1,10,17,11,2,,101017011
1,10,17,19,1,1,101017019
1,10,17,20,2,,101017020
1,10,17,21,2,,101017021
1,10,17,22,2,,101017022
1,10,17,27,2,,101017027
1,10,17,29,2,,101017029
1,10,17,31,1,1,101017031
1,10,17,36,2,,101017036
1,10,17,49,2,,101017049
1,10,17,51,2,,101017051
1,10,17,56,2,,101017056
1,10,17,57,2,,101017057
1,10,18,2,2,,101018002
1,10,18,11,2,,101018011
1,10,18,14,2,,101018014
1,10,18,18,2,,101018018
1,10,18,19,1,1,101018019
1,10,18,26,2,,101018026
1,10,18,27,2,,101018027
1,10,18,28,1,2,101018028
1,10,18,30,1,1,101018030
1,10,18,33,2,,101018033
1,10,18,34,2,,101018034
1,10,18,41,1,1,101018041
1,10,18,43,1,1,101018043
1,10,18,58,2,,101018058
1,10,18,59,2,,101018059
1,10,19,3,2,,101019003
1,10,19,4,2,,101019004
1,10,19,5,2,,101019005
1,10,19,6,1,1,101019006
1,10,19,8,1,1,101019008
1,10,19,9,1,1,101019009
1,10,19,10,2,,101019010
1,10,19,11,1,1,101019011
1,10,19,12,1,1,101019012
1,10,19,13,1,1,101019013
1,10,19,14,1,1,101019014
1,10,19,16,2,,101019016
1,10,19,17,1,1,101019017
1,10,19,19,1,1,101019019
1,10,19,20,2,,101019020
1,10,20,2,2,,101020002
1,10,20,4,2,,101020004
1,10,20,6,2,,101020006
1,10,20,10,2,,101020010
1,10,20,14,1,1,101020014
1,10,20,16,2,,101020016
1,10,20,18,2,,101020018
1,10,20,21,2,,101020021
1,10,20,24,1,1,101020024
1,10,20,25,1,1,101020025
1,10,20,26,2,,101020026
1,10,20,27,2,,101020027
1,10,20,35,1,1,101020035
1,10,20,37,2,,101020037
1,10,20,43,2,,101020043
1,10,21,1,2,,101021001
1,10,21,7,2,,101021007
1,10,21,11,1,1,101021011
1,10,21,26,1,2,101021026
1,10,21,30,1,1,101021030
1,10,21,34,1,1,101021034
1,10,21,45,2,,101021045
1,10,21,51,1,1,101021051
1,10,21,54,2,,101021054
1,10,21,58,2,,101021058
1,10,21,62,2,,101021062
1,10,21,63,2,,101021063
1,10,21,67,2,,101021067
1,10,21,68,2,,101021068
1,10,21,69,2,,101021069
1,10,27,4,1,1,101027004
1,10,27,9,2,,101027009
1,10,27,10,2,,101027010
1,10,27,11,1,1,101027011
1,10,27,13,2,,101027013
1,10,27,20,2,,101027020
1,10,27,23,2,,101027023
1,10,27,31,2,,101027031
1,10,27,32,2,,101027032
1,10,27,36,1,1,101027036
1,10,27,40,2,,101027040
1,10,27,41,2,,101027041
1,10,27,42,2,,101027042
1,10,27,46,2,,101027046
1,10,27,60,1,2,101027060
1,11,31,1,2,,101031001
1,11,31,5,2,,101031005
1,11,31,15,2,,101031015
1,11,31,17,2,,101031017
1,11,31,21,2,,101031021
1,11,31,24,1,1,101031024
1,11,31,30,2,,101031030
1,11,31,38,2,,101031038
1,11,31,47,2,,101031047
1,11,31,69,2,,101031069
1,11,31,70,2,,101031070
1,11,31,73,2,,101031073
1,11,31,74,1,1,101031074
1,11,31,75,2,,101031075
1,11,31,84,2,,101031084
1,12,29,2,2,,101029002
1,12,29,4,2,,101029004
1,12,29,6,2,,101029006
1,12,29,8,2,,101029008
1,12,29,11,2,,101029011
1,12,29,17,2,,101029017
1,12,29,20,2,,101029020
1,12,29,23,2,,101029023
1,12,29,29,2,,101029029
1,12,29,33,2,,101029033
1,12,29,34,2,,101029034
1,12,29,36,2,,101029036
1,12,29,37,2,,101029037
1,12,29,39,2,,101029039
1,12,29,40,2,,101029040
1,12,30,4,1,5,101030004
1,12,30,5,2,,101030005
1,12,30,6,2,,101030006
1,12,30,10,2,,101030010
1,12,30,16,2,,101030016
1,12,30,21,2,,101030021
1,12,30,22,2,,101030022
1,12,30,27,2,,101030027
1,12,30,30,2,,101030030
1,12,30,31,2,,101030031
1,12,30,38,2,,101030038
1,12,30,43,2,,101030043
1,12,30,54,2,,101030054
1,12,30,56,2,,101030056
1,12,30,63,2,,101030063
1,13,9,61,1,4,101009061
1,13,9,68,2,,101009068
1,13,9,94,1,1,101009094
1,13,9,108,1,1,101009108
1,13,9,136,2,,101009136
1,13,9,180,1,1,101009180
1,13,9,191,2,,101009191
1,13,9,195,1,1,101009195
1,13,9,206,1,1,101009206
1,13,9,210,1,1,101009210
1,13,9,222,1,2,101009222
1,13,9,227,1,1,101009227
1,13,9,235,1,1,101009235
1,13,9,258,1,1,101009258
1,13,9,262,2,,101009262
1,13,10,40,1,1,101010040
1,13,10,57,2,,101010057
1,13,10,64,2,,101010064
1,13,10,75,2,,101010075
1,13,10,88,1,1,101010088
1,13,10,89,2,,101010089
1,13,10,95,1,1,101010095
1,13,10,113,1,1,101010113
1,13,10,132,2,,101010132
1,13,10,150,1,2,101010150
1,13,10,163,1,1,101010163
1,13,10,164,1,1,101010164
1,13,10,175,1,1,101010175
1,13,10,176,2,,101010176
1,13,10,193,1,1,101010193
1,13,11,6,2,,101011006
1,13,11,19,2,,101011019
1,13,11,28,1,2,101011028
1,13,11,31,1,1,101011031
1,13,11,44,2,,101011044
1,13,11,48,1,2,101011048
1,13,11,50,1,1,101011050
1,13,11,54,2,,101011054
1,13,11,58,1,1,101011058
1,13,11,85,2,,101011085
1,13,11,94,2,,101011094
1,13,11,104,1,1,101011104
1,13,11,146,1,1,101011146
1,13,11,161,1,1,101011161
1,13,11,172,2,,101011172
1,13,12,6,2,,101012006
1,13,12,7,1,2,101012007
1,13,12,13,1,3,101012013
1,13,12,14,1,1,101012014
1,13,12,17,2,,101012017
1,13,12,22,1,1,101012022
1,13,12,36,1,1,101012036
1,13,12,38,1,1,101012038
1,13,12,39,1,2,101012039
1,13,12,45,1,2,101012045
1,13,12,50,1,1,101012050
1,13,12,51,1,1,101012051
1,13,12,55,2,,101012055
1,13,12,85,1,2,101012085
1,13,12,94,1,1,101012094
1,16,23,11,2,,101023011
1,16,23,13,1,2,101023013
1,16,23,14,2,,101023014
1,16,23,15,1,1,101023015
1,16,23,17,2,,101023017
1,16,23,18,2,,101023018
1,16,23,24,1,1,101023024
1,16,23,28,2,,101023028
1,16,23,30,2,,101023030
1,16,23,31,2,,101023031
1,16,23,32,1,1,101023032
1,16,23,35,2,,101023035
1,16,23,36,2,,101023036
1,16,23,37,2,,101023037
1,16,23,40,2,,101023040
1,17,22,1,2,,101022001
1,17,22,5,2,,101022005
1,17,22,9,2,,101022009
1,17,22,11,2,,101022011
1,17,22,12,2,,101022012
1,17,22,18,2,,101022018
1,17,22,24,2,,101022024
1,17,22,25,2,,101022025
1,17,22,30,1,1,101022030
1,17,22,33,2,,101022033
1,17,22,35,1,1,101022035
1,17,22,36,1,2,101022036
1,17,22,37,2,,101022037
1,17,22,42,2,,101022042
1,17,22,45,2,,101022045
1,17,24,16,2,,101024016
1,17,24,17,2,,101024017
1,17,24,20,1,1,101024020
1,17,24,21,2,,101024021
1,17,24,23,2,,101024023
1,17,24,28,2,,101024028
1,17,24,32,2,,101024032
1,17,24,36,2,,101024036
1,17,24,38,2,,101024038
1,17,24,39,2,,101024039
1,17,24,42,2,,101024042
1,17,24,43,2,,101024043
1,17,24,45,2,,101024045
1,17,24,50,2,,101024050
1,17,24,51,2,,101024051
2,2,32,2,2,,102032002
2,2,32,5,1,1,102032005
2,2,32,8,2,,102032008
2,2,32,10,1,1,102032010
2,2,32,11,2,,102032011
2,2,32,14,2,,102032014
2,2,32,15,2,,102032015
2,2,32,18,2,,102032018
2,2,32,36,2,,102032036
2,2,32,38,2,,102032038
2,2,32,64,2,,102032064
2,2,32,66,1,1,102032066
2,2,32,82,2,,102032082
2,2,32,84,2,,102032084
2,2,32,89,1,1,102032089
2,2,33,2,1,1,102033002
2,2,33,4,2,,102033004
2,2,33,10,1,1,102033010
2,2,33,12,2,,102033012
2,2,33,15,1,1,102033015
2,2,33,16,1,2,102033016
2,2,33,17,2,,102033017
2,2,33,18,1,1,102033018
2,2,33,21,1,1,102033021
2,2,33,28,2,,102033028
2,2,33,34,1,1,102033034
2,2,33,37,1,1,102033037
2,2,33,43,2,,102033043
2,2,33,71,2,,102033071
2,2,33,87,2,,102033087
2,2,34,7,2,,102034007
2,2,34,19,2,,102034019
2,2,34,34,2,,102034034
2,2,34,41,1,1,102034041
2,2,34,56,2,,102034056
2,2,34,66,2,,102034066
2,2,34,73,1,1,102034073
2,2,34,76,1,1,102034076
2,2,34,90,2,,102034090
2,2,34,92,2,,102034092
2,2,34,117,2,,102034117
2,2,34,140,2,,102034140
2,2,34,149,2,,102034149
2,2,34,150,2,,102034150
2,2,34,164,2,,102034164
2,2,35,1,2,,102035001
2,2,35,2,2,,102035002
2,2,35,4,1,2,102035004
2,2,35,9,1,1,102035009
2,2,35,10,2,,102035010
2,2,35,11,2,,102035011
2,2,35,13,1,1,102035013
2,2,35,14,1,1,102035014
2,2,35,18,1,1,102035018
2,2,35,19,2,,102035019
2,2,35,20,2,,102035020
2,2,35,21,2,,102035021
2,2,35,27,2,,102035027
2,2,35,28,2,,102035028
2,2,35,44,2,,102035044
2,2,37,1,2,,102037001
2,2,37,2,2,,102037002
2,2,37,5,2,,102037005
2,2,37,6,2,,102037006
2,2,37,10,2,,102037010
2,2,37,13,2,,102037013
2,2,37,21,1,1,102037021
2,2,37,27,2,,102037027
2,2,37,28,2,,102037028
2,2,37,29,2,,102037029
2,2,37,30,2,,102037030
2,2,37,31,2,,102037031
2,2,37,35,2,,102037035
2,2,37,37,2,,102037037
2,2,37,38,2,,102037038
2,3,36,1,2,,102036001
2,3,36,2,1,2,102036002
2,3,36,3,2,,102036003
2,3,36,4,1,1,102036004
2,3,36,5,2,,102036005
2,3,36,6,2,,102036006
2,3,36,8,2,,102036008
2,3,36,9,2,,102036009
2,3,36,11,1,1,102036011
2,3,36,12,2,,102036012
2,3,36,13,2,,102036013
2,3,36,14,2,,102036014
2,3,36,15,2,,102036015
2,3,36,16,1,1,102036016
2,3,36,17,2,,102036017
2,5,51,1,2,,102051001
2,5,51,2,2,,102051002
2,5,51,3,2,,102051003
2,5,51,6,1,1,102051006
2,5,51,9,2,,102051009
2,5,51,13,2,,102051013
2,5,51,14,2,,102051014
2,5,51,15,2,,102051015
2,5,51,20,2,,102051020
2,5,51,23,1,1,102051023
2,5,51,26,2,,102051026
2,5,51,53,2,,102051053
2,5,51,58,1,1,102051058
2,5,51,64,2,,102051064
2,5,51,71,2,,102051071
2,6,45,2,1,1,102045002
2,6,45,4,2,,102045004
2,6,45,13,2,,102045013
2,6,45,18,1,1,102045018
2,6,45,26,2,,102045026
2,6,45,34,1,1,102045034
2,6,45,39,1,1,102045039
2,6,45,47,2,,102045047
2,6,45,51,1,1,102045051
2,6,45,56,2,,102045056
2,6,45,59,2,,102045059
2,6,45,60,2,,102045060
2,6,45,87,2,,102045087
2,6,45,91,2,,102045091
2,6,45,106,2,,102045106
2,7,50,1,1,1,102050001
2,7,50,4,1,1,102050004
2,7,50,5,2,,102050005
2,7,50,6,1,2,102050006
2,7,50,8,2,,102050008
2,7,50,11,2,,102050011
2,7,50,12,2,,102050012
2,7,50,13,2,,102050013
2,7,50,14,2,,102050014
2,7,50,16,2,,102050016
2,7,50,18,2,,102050018
2,7,50,19,1,1,102050019
2,7,50,23,2,,102050023
2,7,50,25,1,1,102050025
2,7,50,27,1,1,102050027
2,8,52,6,2,,102052006
2,8,52,9,2,,102052009
2,8,52,12,2,,102052012
2,8,52,18,2,,102052018
2,8,52,24,2,,102052024
2,8,52,28,2,,102052028
2,8,52,31,2,,102052031
2,8,52,38,1,2,102052038
2,8,52,41,2,,102052041
2,8,52,43,1,1,102052043
2,8,52,56,2,,102052056
2,8,52,58,1,1,102052058
2,8,52,71,2,,102052071
2,8,52,74,2,,102052074
2,8,52,77,1,1,102052077
2,9,54,2,2,,102054002
2,9,54,4,2,,102054004
2,9,54,11,2,,102054011
2,9,54,19,2,,102054019
2,9,54,20,2,,102054020
2,9,54,27,2,,102054027
2,9,54,32,2,,102054032
2,9,54,39,2,,102054039
2,9,54,41,2,,102054041
2,9,54,50,2,,102054050
2,9,54,53,2,,102054053
2,9,54,58,2,,102054058
2,9,54,60,2,,102054060
2,9,54,61,2,,102054061
2,9,54,67,2,,102054067
2,9,55,7,2,,102055007
2,9,55,15,1,1,102055015
2,9,55,17,2,,102055017
2,9,55,34,2,,102055034
2,9,55,63,2,,102055063
2,9,55,64,2,,102055064
2,9,55,74,2,,102055074
2,9,55,94,1,1,102055094
2,9,55,102,2,,102055102
2,9,55,109,2,,102055109
2,9,55,120,2,,102055120
2,9,55,121,2,,102055121
2,9,55,124,2,,102055124
2,9,55,127,2,,102055127
2,9,55,135,2,,102055135
2,19,49,5,1,1,102049005
2,19,49,14,2,,102049014
2,19,49,19,2,,102049019
2,19,49,27,2,,102049027
2,19,49,29,2,,102049029
2,19,49,30,2,,102049030
2,19,49,39,2,,102049039
2,19,49,58,2,,102049058
2,19,49,65,1,2,102049065
2,19,49,66,2,,102049066
2,19,49,75,2,,102049075
2,19,49,80,2,,102049080
2,19,49,110,2,,102049110
2,19,49,118,2,,102049118
2,19,49,129,2,,102049129
2,20,48,15,2,,102048015
2,20,48,22,2,,102048022
2,20,48,28,2,,102048028
2,20,48,34,2,,102048034
2,20,48,37,2,,102048037
2,20,48,39,2,,102048039
2,20,48,51,2,,102048051
2,20,48,52,1,1,102048052
2,20,48,54,2,,102048054
2,20,48,55,2,,102048055
2,20,48,58,2,,102048058
2,20,48,67,1,1,102048067
2,20,48,68,2,,102048068
2,20,48,78,2,,102048078
2,20,48,98,2,,102048098
2,22,53,2,2,,102053002
2,22,53,10,2,,102053010
2,22,53,27,2,,102053027
2,22,53,29,2,,102053029
2,22,53,40,2,,102053040
2,22,53,47,1,1,102053047
2,22,53,58,2,,102053058
2,22,53,59,2,,102053059
2,22,53,74,1,1,102053074
2,22,53,76,2,,102053076
2,22,53,79,1,1,102053079
2,22,53,85,2,,102053085
2,22,53,87,2,,102053087
2,22,53,88,2,,102053088
2,22,53,89,1,1,102053089
2,23,56,14,2,,102056014
2,23,56,16,2,,102056016
2,23,56,27,2,,102056027
2,23,56,35,2,,102056035
2,23,56,40,2,,102056040
2,23,56,41,2,,102056041
2,23,56,43,2,,102056043
2,23,56,49,2,,102056049
2,23,56,50,2,,102056050
2,23,56,51,2,,102056051
2,23,56,54,2,,102056054
2,23,56,58,2,,102056058
2,23,56,69,2,,102056069
2,23,56,72,2,,102056072
2,23,56,74,2,,102056074
2,23,57,11,2,,102057011
2,23,57,12,2,,102057012
2,23,57,14,2,,102057014
2,23,57,39,2,,102057039
2,23,57,43,2,,102057043
2,23,57,51,1,1,102057051
2,23,57,55,1,1,102057055
2,23,57,72,2,,102057072
2,23,57,73,1,1,102057073
2,23,57,84,2,,102057084
2,23,57,90,2,,102057090
2,23,57,93,2,,102057093
2,23,57,99,2,,102057099
2,23,57,134,2,,102057134
2,23,57,163,2,,102057163
2,23,58,1,2,,102058001
2,23,58,2,2,,102058002
2,23,58,11,2,,102058011
2,23,58,15,1,1,102058015
2,23,58,37,2,,102058037
2,23,58,47,2,,102058047
2,23,58,50,2,,102058050
2,23,58,56,1,1,102058056
2,23,58,96,2,,102058096
2,23,58,99,2,,102058099
2,23,58,115,2,,102058115
2,23,58,116,2,,102058116
2,23,58,122,2,,102058122
2,23,58,123,2,,102058123
2,23,58,131,2,,102058131
2,25,47,5,2,,102047005
2,25,47,8,2,,102047008
2,25,47,9,2,,102047009
2,25,47,11,2,,102047011
2,25,47,16,2,,102047016
2,25,47,24,1,1,102047024
2,25,47,42,2,,102047042
2,25,47,43,1,1,102047043
2,25,47,47,2,,102047047
2,25,47,60,2,,102047060
2,25,47,64,2,,102047064
2,25,47,66,2,,102047066
2,25,47,74,2,,102047074
2,25,47,76,2,,102047076
2,25,47,92,2,,102047092
2,27,46,12,2,,102046012
2,27,46,29,1,1,102046029
2,27,46,35,2,,102046035
2,27,46,36,1,1,102046036
2,27,46,37,1,1,102046037
2,27,46,54,1,1,102046054
2,27,46,55,2,,102046055
2,27,46,74,2,,102046074
2,27,46,75,2,,102046075
2,27,46,81,2,,102046081
2,27,46,90,1,1,102046090
2,27,46,99,1,1,102046099
2,27,46,100,1,1,102046100
2,27,46,115,2,,102046115
2,27,46,119,1,2,102046119
2,29,41,2,1,1,102041002
2,29,41,5,2,,102041005
2,29,41,6,2,,102041006
2,29,41,19,2,,102041019
2,29,41,21,2,,102041021
2,29,41,25,2,,102041025
2,29,41,29,2,,102041029
2,29,41,32,2,,102041032
2,29,41,54,2,,102041054
2,29,41,60,1,1,102041060
2,29,41,61,1,1,102041061
2,29,41,63,2,,102041063
2,29,41,71,2,,102041071
2,29,41,77,2,,102041077
2,29,41,80,1,1,102041080
2,29,42,3,1,1,102042003
2,29,42,9,1,1,102042009
2,29,42,13,1,1,102042013
2,29,42,14,1,1,102042014
2,29,42,20,2,,102042020
2,29,42,21,1,1,102042021
2,29,42,23,2,,102042023
2,29,42,25,1,1,102042025
2,29,42,26,1,1,102042026
2,29,42,28,2,,102042028
2,29,42,31,2,,102042031
2,29,42,32,1,1,102042032
2,29,42,38,1,1,102042038
2,29,42,50,1,2,102042050
2,29,42,52,1,1,102042052
2,29,43,2,2,,102043002
2,29,43,6,2,,102043006
2,29,43,7,2,,102043007
2,29,43,17,2,,102043017
2,29,43,28,2,,102043028
2,29,43,31,2,,102043031
2,29,43,57,2,,102043057
2,29,43,66,2,,102043066
2,29,43,79,2,,102043079
2,29,43,89,2,,102043089
2,29,43,92,1,1,102043092
2,29,43,93,2,,102043093
2,29,43,102,1,1,102043102
2,29,43,113,1,1,102043113
2,29,43,120,1,1,102043120
2,29,44,13,2,,102044013
2,29,44,19,2,,102044019
2,29,44,20,2,,102044020
2,29,44,31,2,,102044031
2,29,44,39,1,1,102044039
2,29,44,53,2,,102044053
2,29,44,61,2,,102044061
2,29,44,74,2,,102044074
2,29,44,79,2,,102044079
2,29,44,91,2,,102044091
2,29,44,92,2,,102044092
2,29,44,105,1,1,102044105
2,29,44,109,2,,102044109
2,29,44,113,2,,102044113
2,29,44,128,1,1,102044128
2,29,60,1,2,,102060001
2,29,60,10,1,1,102060010
2,29,60,11,2,,102060011
2,29,60,14,2,,102060014
2,29,60,18,2,,102060018
2,29,60,20,2,,102060020
2,29,60,26,2,,102060026
2,29,60,40,2,,102060040
2,29,60,43,2,,102060043
2,29,60,53,2,,102060053
2,29,60,78,2,,102060078
2,29,60,80,2,,102060080
2,29,60,82,2,,102060082
2,29,60,90,2,,102060090
2,29,60,91,2,,102060091
2,31,38,8,2,,102038008
2,31,38,10,2,,102038010
2,31,38,14,2,,102038014
2,31,38,18,2,,102038018
2,31,38,19,2,,102038019
2,31,38,24,2,,102038024
2,31,38,29,2,,102038029
2,31,38,30,2,,102038030
2,31,38,31,2,,102038031
2,31,38,33,2,,102038033
2,31,38,38,2,,102038038
2,31,38,42,2,,102038042
2,31,38,59,2,,102038059
2,31,38,64,2,,102038064
2,31,38,65,2,,102038065
2,31,39,4,1,1,102039004
2,31,39,5,1,1,102039005
2,31,39,22,2,,102039022
2,31,39,23,2,,102039023
2,31,39,41,2,,102039041
2,31,39,43,2,,102039043
2,31,39,49,2,,102039049
2,31,39,50,2,,102039050
2,31,39,53,2,,102039053
2,31,39,54,2,,102039054
2,31,39,57,2,,102039057
2,31,39,61,2,,102039061
2,31,39,62,2,,102039062
2,31,39,63,2,,102039063
2,31,39,66,2,,102039066
2,31,40,1,2,,102040001
2,31,40,2,2,,102040002
2,31,40,6,2,,102040006
2,31,40,8,2,,102040008
2,31,40,14,2,,102040014
2,31,40,17,2,,102040017
2,31,40,20,2,,102040020
2,31,40,24,2,,102040024
2,31,40,33,2,,102040033
2,31,40,35,1,1,102040035
2,31,40,36,1,1,102040036
2,31,40,38,2,,102040038
2,31,40,39,2,,102040039
2,31,40,44,2,,102040044
2,31,40,47,2,,102040047
3,1,61,20,2,,103061020
3,1,61,29,1,1,103061029
3,1,61,45,2,,103061045
3,1,61,47,1,1,103061047
3,1,61,50,2,,103061050
3,1,61,55,1,1,103061055
3,1,61,58,1,1,103061058
3,1,61,64,2,,103061064
3,1,61,69,1,1,103061069
3,1,61,85,1,1,103061085
3,1,61,120,1,1,103061120
3,1,61,122,1,1,103061122
3,1,61,131,2,,103061131
3,1,61,134,1,1,103061134
3,1,61,145,1,1,103061145
3,1,62,13,2,,103062013
3,1,62,18,1,1,103062018
3,1,62,22,1,1,103062022
3,1,62,24,1,1,103062024
3,1,62,51,1,1,103062051
3,1,62,62,1,1,103062062
3,1,62,69,2,,103062069
3,1,62,78,2,,103062078
3,1,62,96,2,,103062096
3,1,62,144,2,,103062144
3,1,62,195,1,1,103062195
3,1,62,199,1,1,103062199
