"id1","id2","id3","id4","s10ci","s10c_1","s10c_2","s10c_3i","s10c_3ii","s10c_4","s10c_5","s10c_6","s10c_7","s10c_8","s10c_9","s10c_10","hhno"
1,1,3,37,26,2,,,,,,,,,,"CR",101003037
1,1,3,37,12,1,11,8,,2,2,1,1,1,1,"CR",101003037
1,1,3,37,5,2,,,,,,,,,,"CR",101003037
1,1,3,37,24,1,11,7,,2,2,1,1,1,1,"CR",101003037
1,1,3,37,15,2,,,,,,,,,,"CR",101003037
1,1,3,37,29,2,,,,,,,,,,"CR",101003037
1,1,3,37,37,1,,9,,2,2,1,1,1,1,"CR",101003037
1,1,3,37,9,2,,,,,,,,,,"CR",101003037
1,1,3,37,11,2,,,,,,,,,,"CR",101003037
1,1,3,37,13,2,,,,,,,,,,"CR",101003037
1,1,3,37,32,2,,,,,,,,,,"CR",101003037
1,1,3,40,11,2,,,,,,,,,,"CR",101003040
1,1,3,40,13,2,,,,,,,,,,"CR",101003040
1,1,3,40,32,2,,,,,,,,,,"CR",101003040
1,1,3,40,29,2,,,,,,,,,,"CR",101003040
1,1,3,40,24,2,,,,,,,,,,"CR",101003040
1,1,3,40,5,2,,,,,,,,,,"CR",101003040
1,1,3,40,12,1,,6,,2,2,1,1,1,1,"CR",101003040
1,1,3,40,30,2,,,,,,,,,,"CR",101003040
1,1,3,40,15,1,,5,,2,2,1,1,1,1,"CR",101003040
1,1,3,40,4,1,,6,,1,2,1,1,1,1,"CR",101003040
1,1,3,40,9,1,,8,,1,2,1,1,1,1,"CR",101003040
1,1,3,40,20,2,,,,,,,,,,"CR",101003040
1,1,3,40,26,2,,,,,,,,,,"CR",101003040
1,1,3,40,37,2,,,,,,,,,,"CR",101003040
1,1,3,43,26,2,,,,,,,,,,"CR",101003043
1,1,3,43,11,1,,8,,1,2,1,1,1,1,"CR",101003043
1,1,3,43,24,1,,7,,1,2,1,1,1,1,"CR",101003043
1,1,3,43,4,2,,,,,,,,,,"CR",101003043
1,1,3,43,5,2,,,,,,,,,,"CR",101003043
1,1,3,43,20,2,,,,,,,,,,"CR",101003043
1,1,3,43,30,2,,,,,,,,,,"CR",101003043
1,1,3,43,32,2,,,,,,,,,,"CR",101003043
1,1,3,43,9,2,,,,,,,,,,"CR",101003043
1,1,3,43,29,2,,,,,,,,,,"CR",101003043
1,1,3,43,12,1,,6,,1,2,1,1,1,1,"CR",101003043
1,1,3,43,37,2,,,,,,,,,,"CR",101003043
1,1,3,43,13,2,,,,,,,,,,"CR",101003043
1,1,3,43,15,2,,,,,,,,,,"CR",101003043
1,1,3,46,13,2,,,,,,,,,,"CR",101003046
1,1,3,46,12,2,,,,,,,,,,"CR",101003046
1,1,3,46,30,2,,,,,,,,,,"CR",101003046
1,1,3,46,15,1,7,9,,2,2,2,1,1,1,"CR",101003046
1,1,3,46,9,2,,,,,,,,,,"CR",101003046
