"id1","id2","id3","id4","s2a_i","hhno"
1,16,23,35,18,101023035
1,16,23,36,15,101023036
1,16,23,37,13,101023037
1,16,23,40,11,101023040
1,17,22,1,10,101022001
1,17,22,5,12,101022005
1,17,22,9,14,101022009
1,17,22,11,11,101022011
1,17,22,12,8,101022012
1,17,22,18,18,101022018
1,17,22,24,11,101022024
1,17,22,25,15,101022025
1,17,22,30,12,101022030
1,17,22,33,12,101022033
1,17,22,35,13,101022035
1,17,22,36,12,101022036
1,17,22,37,8,101022037
1,17,22,42,10,101022042
1,17,22,45,14,101022045
1,17,24,16,7,101024016
1,17,24,17,11,101024017
1,17,24,20,8,101024020
1,17,24,21,13,101024021
1,17,24,23,11,101024023
1,17,24,28,10,101024028
1,17,24,32,18,101024032
1,17,24,36,15,101024036
1,17,24,38,17,101024038
1,17,24,39,14,101024039
1,17,24,42,13,101024042
1,17,24,43,18,101024043
1,17,24,45,14,101024045
1,17,24,50,14,101024050
1,17,24,51,12,101024051
2,2,32,2,9,102032002
2,2,32,5,11,102032005
2,2,32,8,12,102032008
2,2,32,10,13,102032010
2,2,32,11,8,102032011
2,2,32,14,7,102032014
2,2,32,15,7,102032015
2,2,32,18,8,102032018
2,2,32,36,10,102032036
2,2,32,38,7,102032038
2,2,32,64,13,102032064
2,2,32,66,7,102032066
2,2,32,82,18,102032082
2,2,32,84,12,102032084
2,2,32,89,10,102032089
2,2,33,2,8,102033002
2,2,33,4,5,102033004
2,2,33,10,7,102033010
2,2,33,12,17,102033012
2,2,33,15,6,102033015
2,2,33,16,11,102033016
2,2,33,17,14,102033017
2,2,33,18,13,102033018
2,2,33,21,18,102033021
2,2,33,28,7,102033028
2,2,33,34,3,102033034
2,2,33,37,7,102033037
2,2,33,43,7,102033043
2,2,33,71,8,102033071
2,2,33,87,17,102033087
2,2,34,7,11,102034007
2,2,34,19,12,102034019
2,2,34,34,9,102034034
2,2,34,41,9,102034041
2,2,34,56,5,102034056
2,2,34,66,8,102034066
2,2,34,73,14,102034073
2,2,34,76,11,102034076
2,2,34,90,6,102034090
2,2,34,92,6,102034092
2,2,34,117,8,102034117
2,2,34,140,14,102034140
2,2,34,149,10,102034149
2,2,34,150,11,102034150
2,2,34,164,11,102034164
2,2,35,1,7,102035001
2,2,35,2,9,102035002
2,2,35,4,18,102035004
2,2,35,9,16,102035009
2,2,35,10,5,102035010
2,2,35,11,10,102035011
2,2,35,13,3,102035013
2,2,35,14,16,102035014
2,2,35,18,5,102035018
2,2,35,19,4,102035019
2,2,35,20,8,102035020
2,2,35,21,12,102035021
2,2,35,27,4,102035027
2,2,35,28,18,102035028
2,2,35,44,5,102035044
2,2,37,1,11,102037001
2,2,37,2,8,102037002
2,2,37,5,11,102037005
2,2,37,6,8,102037006
2,2,37,10,17,102037010
2,2,37,13,18,102037013
2,2,37,21,12,102037021
2,2,37,27,13,102037027
2,2,37,28,18,102037028
2,2,37,29,10,102037029
2,2,37,30,13,102037030
2,2,37,31,16,102037031
2,2,37,35,7,102037035
2,2,37,37,14,102037037
2,2,37,38,16,102037038
2,3,36,1,6,102036001
2,3,36,2,13,102036002
2,3,36,3,12,102036003
2,3,36,4,12,102036004
2,3,36,5,5,102036005
2,3,36,6,10,102036006
2,3,36,8,9,102036008
2,3,36,9,12,102036009
2,3,36,11,10,102036011
2,3,36,12,13,102036012
2,3,36,13,5,102036013
2,3,36,14,7,102036014
2,3,36,15,10,102036015
2,3,36,16,8,102036016
