"id1","id2","id3","id4","s4av1_plotno","s4v_a78i","s4v_a78ii","s4v_a78iii","s4v_a78iv","s4v_a78v","s4v_a78vi","s4v_a78vii","s4v_a78viii","s4v_a78ix","s4v_a78x","s4v_a79","s4v_a80i","s4v_a80ii","s4v_a81i","s4v_a81ii","s4v_a82i","s4v_a82ii","s4v_a83i","s4v_a83ii","s4v_a84","s4v_a85i","s4v_a85ii","s4v_a86","s4v_a87","s4v_a88i","s4v_a88ii","s4v_a89i","s4v_a89ii","s4v_a90i","s4v_a90ii","s4v_a91i","s4v_a91ii","s4v_a92","s4v_a93i","s4v_a93ii","s4v_a94","s4v_a95","s4v_a96i","s4v_a96ii","s4v_a97i","s4v_a97ii","s4v_a98i","s4v_a98ii","s4v_a99i","s4v_a99ii","s4v_a100","s4v_a101i","s4v_a102ii","s4v_a102","s4v_a103","s4v_a104i","s4v_a104ii","s4v_a105i","s4v_a105ii","s4v_a106i","s4v_a106ii","s4v_a107i","s4v_a107ii","s4v_a108","s4v_a109i","s4v_a109ii","s4v_a110","s4v_a111","s4v_a112i","s4v_a112ii","s4v_a113i","s4v_a113ii","s4v_a114i","s4v_a114ii","s4v_a115i","s4v_a115ii","s4v_a116","s4v_a117i","s4v_a117ii","s4v_a118","s4v_a119","hhno"
1,1,8,74,3,19,29,,,,,,,,,1,19,7,1,6,4,,,,2,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008074
1,1,8,74,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008074
1,1,8,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,1,19,,,,,,,,,,1,19,7,12,6,60,,20,,2,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008078
1,1,8,78,2,19,22,5,28,,,,,,,1,19,7,2,6,10,,,,2,,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101008078
1,2,5,13,1,6,5,29,8,27,,,,,,,6,7,1,19,67,,0,,2,,,1,10,5,6,20,18,30,,5,,2,,,1,25,29,5,30,11,75,50,75,50,1,60,,1,5,8,6,2,4,20,,20,,1,7,,1,10,27,7,5,4,25,,10,50,1,5,,1,15,101005013
1,2,5,13,2,6,5,29,8,27,,,,,,,6,7,2,19,134,,0,,2,,,1,15,5,6,25,18,45,,10,,2,,,1,10,29,5,25,11,62,50,62,50,1,50,,1,5,8,6,1,4,10,,10,,1,5,,1,5,27,7,3,4,18,50,7,,1,7,,1,30,101005013
1,2,5,33,1,5,27,37,,,,,,,,,5,5,7,18,70,,0,,1,30,,1,15,27,7,3,6,45,,0,,2,0,,1,20,37,7,5,4,30,,0,,2,0,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,33,2,19,37,,,,,,,,,,19,7,2,18,40,,0,,2,,,2,,37,7,5,4,80,,0,,2,0,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,33,3,5,,,,,,,,,,,5,5,5,18,50,,0,,1,40,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
