Date,AORD
1992-03-23,1576.400024
1992-03-30,1565.800049
1992-04-06,1582
1992-04-13,1590
1992-04-20,1609.599976
1992-04-27,1665.199951
1992-05-04,1663.599976
1992-05-11,1660.699951
1992-05-18,1684.5
1992-05-25,1678.300049
1992-06-01,1674.5
1992-06-08,1651.300049
1992-06-15,1633.900024
1992-06-22,1641.599976
1992-06-29,1663.199951
1992-07-06,1644.400024
1992-07-13,1629.5
1992-07-20,1609.599976
1992-07-27,1617.699951
1992-08-03,1586.699951
1992-08-10,1549
1992-08-17,1559.300049
1992-08-24,1553.900024
1992-08-31,1530.300049
1992-09-07,1501.199951
1992-09-14,1523.5
1992-09-21,1496.400024
1992-09-28,1483
1992-10-05,1466.199951
1992-10-12,1419.800049
1992-10-19,1455.5
1992-10-26,1425.800049
1992-11-02,1423.400024
1992-11-09,1371.699951
1992-11-16,1410.099976
1992-11-23,1450.800049
1992-11-30,1435.199951
1992-12-07,1500.699951
1992-12-14,1515.699951
1992-12-21,1536.199951
1992-12-28,1549.900024
1993-01-04,1502.300049
1993-01-11,1524.5
1993-01-18,1523
1993-01-25,1528.199951
1993-02-01,1543.300049
1993-02-08,1603.5
1993-02-15,1594.699951
1993-02-22,1609.5
1993-03-01,1613.599976
1993-03-08,1661.5
1993-03-15,1677.099976
1993-03-22,1675.900024
1993-03-29,1683.099976
1993-04-05,1665.699951
1993-04-12,1703.199951
1993-04-19,1702.599976
1993-04-26,1681.5
1993-05-03,1685.300049
1993-05-10,1698.5
1993-05-17,1695.599976
1993-05-24,1760.400024
1993-05-31,1741
1993-06-07,1714.300049
1993-06-14,1730.400024
1993-06-21,1700.400024
1993-06-28,1768.900024
1993-07-05,1782.900024
1993-07-12,1799.800049
1993-07-19,1806.800049
1993-07-26,1844
1993-08-02,1842.199951
1993-08-09,1855.900024
1993-08-16,1927.099976
1993-08-23,1948.599976
1993-08-30,1952
1993-09-06,1941.5
1993-09-13,1925.5
1993-09-20,1946.5
1993-09-27,1972.699951
1993-10-04,2026.199951
1993-10-11,2074.100098
