"id1","id2","id3","id4","hhmid","s7a_1","s7a_2","s7a_3","s7a_4","s7a_5i","s7a_5ii","s7a_6","s7a_7","s7a_8","s7a_9","s7a_10","s7a_11","s7a_12","s7a_13","s7a_14","s7a_15","s7a_16","s7a_17","s7a_18ii","s7a_18iii","s7a_18di","s7a_18dii","s7a_19ii","s7a_19iii","s7a_19di","s7a_19dii","s7a_20ii","s7a_20iii","s7a_20di","s7a_20dii","s7a_21ii","s7a_21iii","s7a_21di","s7a_21dii","s7a_22ii","s7a_22iii","s7a_22di","s7a_22dii","s7a_23","s7a_24","s7a_25","s7a_26","s7a_27","s7a_28","s7a_29","s7a_30","s7a_31","s7a_32","s7a_33","s7a_34i","s7a_34ii","s7a_35","s7a_36i","s7a_36ii","s7a_37","s7a_38","s7a_39","hhno"
1,1,3,13,2,16,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003013
1,1,3,20,1,15,87,2,16,0,0,2,1,1,2,6,8,1,3,4,2,,1,1970,1,2,,1963,1,,5,1965,1,5,1,1966,2,1,2,,,,,2,2,2,,,,,,,,,,,,42,,36,12,12,101003020
1,1,3,26,1,16,87,2,18,0,0,2,1,1,4,3,7,4,3,7,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,20,,48,24,16,101003026
1,1,3,40,2,17,87,2,19,0,0,2,1,1,1,2,3,1,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,20,,5,24,18,101003040
1,1,3,43,2,14,87,2,18,0,0,2,1,1,2,3,5,2,3,5,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,3,,6,8,24,101003043
1,1,3,46,2,20,87,2,22,1,0,1,1,1,4,3,7,4,3,7,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,3,4,8,7,24,101003046
1,1,3,46,3,12,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101003046
1,5,4,1,2,18,87,2,19,1,0,1,1,1,3,0,3,3,0,3,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,9,,24,10,19,101004001
1,5,4,1,3,12,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004001
1,5,4,5,1,15,87,2,13,1,1,1,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,18,,3,6,24,101004005
1,5,4,6,2,17,87,2,18,0,0,2,1,1,5,0,5,5,0,5,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,7,,3,9,12,101004006
1,5,4,6,3,15,87,2,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004006
1,5,4,6,6,87,87,,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004006
1,5,4,10,1,15,87,2,16,0,0,2,1,1,4,5,9,4,5,9,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,14,,12,12,24,101004010
1,5,4,10,2,15,87,2,17,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,10,3,15,87,2,87,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,10,4,87,87,,87,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,10,7,16,87,2,15,0,0,2,1,1,4,2,6,3,1,4,1,1,1,1939,1,25,,1959,2,40,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,48,,24,24,24,101004010
1,5,4,10,8,14,87,2,87,4,3,2,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,8,1,87,19,101004010
1,5,4,12,1,12,87,2,16,0,0,2,1,1,0,2,2,0,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,18,,24,24,18,101004012
1,5,4,12,2,14,87,2,17,0,0,2,1,1,4,0,4,4,0,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,40,,24,18,26,101004012
1,5,4,14,2,14,87,1,16,0,0,2,1,1,1,5,6,1,5,6,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,1,1,6,2,4,9,0,,,,3,87,87,,101004014
1,5,4,16,2,15,87,2,14,0,0,2,1,1,2,3,5,2,3,5,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,1,5,87,9,87,101004016
1,5,4,17,1,14,87,2,15,1,0,1,1,1,2,1,3,2,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,1,3,3,3,,101004017
1,5,4,17,4,15,87,2,15,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,24,,24,6,24,101004017
1,5,4,20,1,14,87,2,17,0,0,2,1,1,1,1,2,0,0,0,2,,1,1961,2,48,,1972,1,25,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,34,,12,12,30,101004020
1,5,4,20,2,13,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004020
1,5,4,22,2,14,87,2,15,0,0,2,1,1,1,3,4,1,1,2,1,3,1,1970,1,8,,1982,1,3,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,20,,3,5,19,101004022
1,5,4,22,3,16,87,2,16,0,0,2,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,30,,8,12,12,101004022
1,5,4,24,2,15,87,1,18,1,2,1,1,1,0,1,1,0,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,16,2,4,1,3,,,,4,12,8,15,101004024
1,5,4,27,2,14,87,2,16,1,1,1,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,12,,18,12,18,101004027
1,5,4,31,1,15,87,2,16,1,1,2,1,1,2,2,4,1,2,3,2,,1,1997,2,2,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,4,11,24,87,24,101004031
1,5,4,32,1,16,87,2,17,0,0,2,1,1,7,0,7,7,0,7,1,1,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,11,,24,12,24,101004032
1,5,4,32,2,16,87,2,18,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004032
1,5,4,32,3,13,87,2,87,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004032
1,5,4,32,4,87,87,,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004032
1,5,4,32,6,16,87,2,17,0,0,2,1,1,3,3,6,1,2,3,1,3,1,1962,2,,,1965,2,,,,1,,,,,,,,,,,2,2,2,,,,,,,,,,,,47,,24,12,24,101004032
1,2,5,1,1,15,87,2,16,1,1,1,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,15,,18,18,18,101005001
1,2,5,3,1,16,87,2,26,0,0,2,1,1,3,3,6,3,3,6,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,20,,12,12,24,101005003
1,2,5,3,2,15,87,2,20,2,1,1,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,,12,12,18,101005003
1,2,5,3,3,15,87,2,17,1,1,1,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,,2,12,18,101005003
1,2,5,4,1,15,87,2,20,1,1,1,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,10,,18,18,18,101005004
1,2,5,4,2,14,87,2,87,2,2,2,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005004
1,2,5,4,3,87,87,,87,1,2,2,2,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005004
1,2,5,13,1,15,87,2,25,0,0,2,1,1,2,3,5,2,3,5,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,6,24,6,24,101005013
1,2,5,13,4,15,87,2,87,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005013
1,2,5,13,5,87,87,,87,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005013
1,2,5,19,2,15,87,2,25,0,0,2,1,1,5,3,8,2,3,5,2,,1,,1,,,,1,,7,,1,,4,,,,,,,,,2,2,2,,,,,,,,,,,,28,,4,6,1,101005019
1,2,5,22,1,16,87,1,22,0,0,2,1,2,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,45,,6,6,87,101005022
1,2,5,24,2,14,87,1,20,2,2,1,1,1,0,1,1,0,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,1,1,3,3,1,5,5,,,,3,87,87,3,101005024
1,2,5,25,1,15,87,2,16,0,0,2,1,1,4,2,6,4,2,6,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,28,,12,12,12,101005025
1,2,5,25,2,14,87,2,15,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005025
1,2,5,33,1,15,87,2,18,0,0,2,1,1,4,3,7,4,3,7,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,9,,18,18,18,101005033
1,2,5,33,2,87,,,87,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,36,1,16,87,2,20,0,0,2,1,1,5,8,13,4,5,9,2,,1,,2,,9,,1,23,,,1,14,,,,,,,,,,2,2,2,,,,,,,,,,,,14,,18,19,12,101005036
1,2,5,36,3,14,87,1,16,3,2,1,1,1,0,3,3,0,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,3,,12,12,12,101005036
1,2,5,36,5,14,87,2,87,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,6,13,87,2,16,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,40,1,15,87,2,20,0,0,2,1,1,1,3,4,1,3,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,36,,24,24,18,101005040
1,2,5,41,1,15,87,2,20,0,0,2,1,2,3,0,3,3,0,3,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,14,,1,12,18,101005041
1,2,5,41,2,13,87,2,87,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005041
1,2,5,51,1,14,87,2,15,0,0,2,1,1,1,3,4,1,3,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,24,,12,24,12,101005051
1,2,5,51,2,15,87,2,17,0,0,2,1,1,4,5,9,4,3,7,2,,1,,,,,,1,45,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,51,,18,18,18,101005051
1,2,5,51,3,87,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005051
1,2,5,52,1,15,87,2,16,0,0,2,1,1,1,1,2,0,1,1,2,,1,,2,2,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,34,,5,24,12,101005052
1,2,5,52,2,15,87,2,18,0,0,2,1,1,7,4,11,1,1,2,2,,1,,1,25,,,2,3,,,2,1,6,,1,,6,,1,,6,2,2,2,,,,,,,,,,,,59,,4,13,6,101005052
1,2,5,52,3,14,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,4,13,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,6,1,2,15,87,2,18,0,0,2,1,1,6,2,8,5,2,7,1,1,1,1981,2,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,14,,12,12,18,101006001
1,2,6,15,2,18,87,2,20,2,2,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,15,,12,12,24,101006015
1,2,6,15,4,12,87,2,87,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,101006015
1,2,6,23,2,17,87,1,18,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,13,,12,12,19,101006023
1,2,6,23,5,12,87,2,87,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006023
1,2,6,29,1,16,87,2,17,0,0,2,1,1,5,2,7,5,0,5,2,,1,1979,1,2,3,1989,2,9,4,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,29,,8,12,18,101006029
