"id1","id2","id3","id4","hd","hhmid","s7b_1","s7b_2i","s7b_2ii","s7b_3","s7b_4","s7b_5","s7b_6","s7b_7","s7b_8","s7b_9","s7b_10","s7b_11","s7b_12","s7b_13","s7b_14","s7b_15","s7b_16","s7b_17","s7b_18","s7b_19","s7b_20","s7b_21","s7b_22","s7b_23","hhno"
1,5,4,20,"004020",2,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004020
1,5,4,22,"004022",2,1,0,,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,5,5,5,101004022
1,5,4,22,"004022",3,1,20,,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,5,5,5,101004022
1,5,4,24,"004024",2,1,15,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101004024
1,5,4,27,"004027",2,1,100,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101004027
1,5,4,31,"004031",1,,,,2,2,2,2,2,1,2,2,1,2,2,2,2,,,,,,,,,101004031
1,5,4,32,"004032",1,,,,2,2,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,,101004032
1,5,4,32,"004032",2,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004032
1,5,4,32,"004032",3,,,,1,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004032
1,5,4,32,"004032",4,,,,1,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101004032
1,5,4,32,"004032",6,,,,2,2,2,2,2,1,1,2,1,2,2,2,2,,,,,,,,,101004032
1,2,5,1,"005001",1,1,100,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101005001
1,2,5,3,"005003",1,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,101005003
1,2,5,3,"005003",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005003
1,2,5,3,"005003",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005003
1,2,5,4,"005004",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005004
1,2,5,4,"005004",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005004
1,2,5,4,"005004",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005004
1,2,5,13,"005013",1,1,60,,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,5,5,5,101005013
