"id1","id2","id3","id4","s1fi_hhmid","s1fii_39","s1fii_40","s1fii_41","s1fii_42","s1fii_43","s1fii_44","s1fii_45","s1fii_46","s1fii_47","s1fii_48","s1fii_49","s1fii_50","s1fii_51","s1fii_52","hhno"
1,2,7,25,2,2,,,,2,,,,,2,,2,,,101007025
1,2,7,25,1,2,,,,2,,,,,,,,,,101007025
1,2,7,25,5,2,,,,2,,,,,,,,,,101007025
1,2,7,25,3,2,,,,2,,,,,2,,2,,,101007025
1,2,7,25,4,2,,,,2,,,,,2,,2,,,101007025
1,2,7,26,5,2,,,,2,,,,,2,,2,,,101007026
1,2,7,26,4,2,,,,2,,,,,2,,2,,,101007026
1,2,7,26,2,,,,,,,,,,,,,,,101007026
1,2,7,26,3,,,,,,,,,,,,,,,101007026
1,2,7,26,6,2,,,,2,,,,,2,,2,,,101007026
1,2,7,26,1,1,6,5,2,1,,2,8,2,2,,2,,"4",101007026
1,2,7,28,1,2,,,,2,,,,,2,,2,,,101007028
1,2,7,33,2,,,,,,,,,,,,,,,101007033
1,2,7,33,5,2,,,,2,,,,,2,,2,,,101007033
1,2,7,33,4,2,,,,2,,,,,2,,2,,,101007033
1,2,7,33,3,2,,,,2,,,,,1,2,2,,,101007033
1,2,7,33,1,2,,,,2,,,,,2,,2,,,101007033
1,2,7,36,6,2,,,,2,,,,,2,,2,,,101007036
1,2,7,36,5,2,,,,2,,,,,2,,2,,,101007036
1,2,7,36,7,2,,,,2,,,,,2,,2,,,101007036
1,2,7,36,2,2,,,,2,,,,,2,,2,,,101007036
1,2,7,36,4,2,,,,2,,,,,2,,2,,,101007036
1,2,7,36,3,2,,,,1,3,6,,,2,,2,,"1",101007036
1,2,7,36,1,2,,,,1,3,8,2,2,2,,2,,"4",101007036
1,2,7,40,1,2,,,,2,,,,,2,,1,1,,101007040
1,2,7,40,2,2,,,,2,,,,,,,,,,101007040
1,2,7,68,5,,,,,,,,,,,,,,,101007068
1,2,7,68,4,2,,,,2,,,,,2,,2,,,101007068
1,2,7,68,2,2,,,,2,,,,,1,1,2,,,101007068
1,2,7,68,1,2,,,,2,,,,,2,,2,,,101007068
1,2,7,68,3,,,,,,,,,,,,,,,101007068
1,2,7,82,1,2,,,,2,,,,,2,,2,,,101007082
1,2,7,82,3,2,,,,2,,,,,2,,2,,,101007082
1,2,7,82,2,,,,,,,,,,,,,,,101007082
1,2,25,2,3,,,,,,,,,,,,,,,101025002
1,2,25,2,8,,,,,,,,,,,,,,,101025002
1,2,25,2,6,,,,,,,,,,,,,,,101025002
1,2,25,2,4,2,,,,2,,,,,2,,2,,,101025002
1,2,25,2,2,,,,,,,,,,,,,,,101025002
1,2,25,2,1,,,,,,,,,,,,,,,101025002
1,2,25,2,5,,,,,,,,,,,,,,,101025002
1,2,25,2,7,,,,,,,,,,,,,,,101025002
1,2,25,3,4,2,,,,2,,,,,2,,2,,,101025003
1,2,25,3,3,2,,,,2,,,,,2,,2,,,101025003
1,2,25,3,6,,,,,,,,,,,,,,,101025003
1,2,25,3,2,,,,,,,,,,,,,,,101025003
1,2,25,3,5,,,,,,,,,,,,,,,101025003
1,2,25,3,1,,,,,,,,,,,,,,,101025003
1,2,25,6,5,,,,,,,,,,,,,,,101025006
1,2,25,6,1,2,,,,2,,,,,2,,2,,,101025006
1,2,25,6,2,2,,,,2,,,,,2,,2,,,101025006
1,2,25,6,7,,,,,,,,,,,,,,,101025006
1,2,25,6,6,,,,,,,,,,,,,,,101025006
1,2,25,6,4,,,,,,,,,,,,,,,101025006
1,2,25,6,3,2,,,,2,,,,,2,,2,,,101025006
1,2,25,12,1,2,,,,2,,,,,2,,2,,,101025012
1,2,25,12,2,2,,,,2,,,,,2,,2,,,101025012
1,2,25,12,4,,,,,,,,,,,,,,,101025012
1,2,25,12,3,,,,,,,,,,,,,,,101025012
1,2,25,13,3,,,,,,,,,,,,,,,101025013
1,2,25,13,1,2,,,,2,,,,,2,,2,,,101025013
1,2,25,13,2,2,,,,2,,,,,2,,2,,,101025013
1,2,25,13,4,,,,,,,,,,,,,,,101025013
1,2,25,33,4,,,,,,,,,,,,,,,101025033
1,2,25,33,2,2,,,,2,,,,,2,,2,,,101025033
1,2,25,33,1,2,,,,2,,,,,2,,2,,,101025033
1,2,25,33,3,2,,,,2,,,,,2,,2,,,101025033
