"id1","id2","id3","id4","fuel_id","itemname","s11d_1","s11d_a","s11d_b","s11d_c","s11d_d","s11d_e","s11d_f","hhno"
1,6,2,16,1,"ELECTRICITY",12,5,,,,20,,101002016
1,6,2,16,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002016
1,6,2,16,3,"KEROSENE",,,,,,,,101002016
1,6,2,16,7,"DIESEL",,,,,,,,101002016
1,6,2,16,6,"PETROL",,,,,,,,101002016
1,6,2,16,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002016
1,6,2,16,5,"FIREWOOD",,,,,,,,101002016
1,6,2,16,8,"DUNG CAKE",,,,,,,,101002016
1,6,2,16,10,"RUBBISH/PLASTIC",,,,,,,,101002016
1,6,2,19,5,"FIREWOOD",,,,,,,,101002019
1,6,2,19,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002019
1,6,2,19,10,"RUBBISH/PLASTIC",,,,,,,,101002019
1,6,2,19,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002019
1,6,2,19,4,"CHARCOAL",6,3,,,,18,,101002019
1,6,2,19,8,"DUNG CAKE",,,,,,,,101002019
1,6,2,19,7,"DIESEL",,,,,,,,101002019
1,6,2,19,1,"ELECTRICITY",12,4,,,,48,,101002019
1,6,2,19,3,"KEROSENE",,,,,,,,101002019
1,6,2,19,6,"PETROL",,,,,,,,101002019
1,6,2,21,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002021
1,6,2,21,7,"DIESEL",,,,,,,,101002021
1,6,2,21,8,"DUNG CAKE",,,,,,,,101002021
1,6,2,21,4,"CHARCOAL",12,4,80,,,57,60,101002021
1,6,2,21,1,"ELECTRICITY",12,2,50,,,30,,101002021
1,6,2,21,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002021
1,6,2,21,6,"PETROL",,,,,,,,101002021
1,6,2,21,3,"KEROSENE",,,,,,,,101002021
1,6,2,21,5,"FIREWOOD",,,,,,,,101002021
1,6,2,21,10,"RUBBISH/PLASTIC",,,,,,,,101002021
1,6,2,23,3,"KEROSENE",,,,,,,,101002023
1,6,2,23,2,"GAS FOR HOUSEHOLD USE",12,10,,,,120,,101002023
1,6,2,23,8,"DUNG CAKE",,,,,,,,101002023
1,6,2,23,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002023
1,6,2,23,5,"FIREWOOD",,,,,,,,101002023
1,6,2,23,4,"CHARCOAL",,5,,,,60,,101002023
1,6,2,23,1,"ELECTRICITY",12,30,,,,360,,101002023
1,6,2,23,7,"DIESEL",,,,,,,,101002023
1,6,2,23,6,"PETROL",,,,,,,,101002023
1,6,2,23,10,"RUBBISH/PLASTIC",,,,,,,,101002023
1,6,2,24,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002024
1,6,2,24,7,"DIESEL",,,,,,,,101002024
1,6,2,24,10,"RUBBISH/PLASTIC",,,,,,,,101002024
1,6,2,24,4,"CHARCOAL",4,2,,,,24,,101002024
1,6,2,24,6,"PETROL",,,,,,,,101002024
1,6,2,24,1,"ELECTRICITY",12,5,,,,60,,101002024
1,6,2,24,5,"FIREWOOD",,,,,,,,101002024
1,6,2,24,2,"GAS FOR HOUSEHOLD USE",8,13,,,,156,,101002024
1,6,2,24,8,"DUNG CAKE",,,,,,,,101002024
1,6,2,24,3,"KEROSENE",,,,,,,,101002024
1,6,2,25,6,"PETROL",,,,,,,,101002025
1,6,2,25,3,"KEROSENE",,,,,,,,101002025
1,6,2,25,7,"DIESEL",,,,,,,,101002025
1,6,2,25,10,"RUBBISH/PLASTIC",,,,,,,,101002025
1,6,2,25,5,"FIREWOOD",,,,,,,,101002025
1,6,2,25,8,"DUNG CAKE",,,,,,,,101002025
