"id1","id2","id3","id4","s9b1_ii","s9b1_iii","s9b1_iv","s9b1_b1a","s9b1_b1b","s9b1_b1c","s9b1_b2a","s9b1_b2b","s9b1_b2c","s9b1_b3a","s9b1_b3b","s9b1_b3c","s9b1_b4a","s9b1_b4b","s9b1_b4c","s9b1_b5a","s9b1_b5b","s9b1_b5c","s9b1_b6a","s9b1_b6b","s9b1_b6c","s9b1_b7a","s9b1_b7b","s9b1_b7c","s9b1_b8a","s9b1_b8b","s9b1_9i","s9b1_9ii","hhno"
1,2,5,13,5,2,40,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,2,45,101005013
1,2,5,22,2,9,30,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,9,33,101005022
1,2,5,23,3,10,15,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,10,19,101005023
1,2,5,33,3,1,46,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,1,52,101005033
1,2,5,33,2,1,40,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,1,45,101005033
1,2,5,33,4,1,53,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,2,5,101005033
1,2,5,36,5,2,40,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,2,44,101005036
1,2,5,40,4,2,24,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,2,30,101005040
1,2,5,40,3,2,18,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,23,101005040
1,2,5,40,2,2,14,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,2,17,101005040
1,2,5,41,2,3,15,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,3,18,101005041
1,2,5,51,4,17,50,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,17,52,101005051
1,2,5,51,3,17,44,1,1,2,1,1,2,1,1,,1,1,2,1,1,2,1,1,2,2,2,1,,,17,47,101005051
1,2,5,52,4,3,10,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,3,14,101005052
1,2,5,52,5,1,14,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,1,18,101005052
1,2,6,15,4,15,15,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,15,30,101006015
1,2,6,23,6,15,55,2,2,1,,,,,,,,,,,,,,,,,,,,,15,56,101006023
1,2,6,23,5,15,30,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,15,52,101006023
1,2,6,23,4,15,10,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,15,25,101006023
1,2,6,56,3,15,33,2,2,1,,,,,,,,,,,,,,,,,,,,,15,34,101006056
1,2,6,56,2,15,30,2,2,1,,,,,,,,,,,,,,,,,,,,,15,32,101006056
1,2,7,4,6,10,52,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,10,56,101007004
1,2,7,19,4,3,22,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,,,,3,28,101007019
1,2,7,19,5,3,30,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,3,39,101007019
1,2,7,19,3,3,15,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,,,,3,21,101007019
1,2,7,25,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,1,6,101007025
