"id1","id2","id3","id4","entno","s5aii_30","s5aii_30ai","s5aii_30aii","s5aii_30bi","s5aii_30bii","s5aii_30ci","s5aii_30cii","s5aii_30di","s5aii_30dii","s5aii_30ei","s5aii_30eii","s5aii_30f","s5aii_31","s5aii_31ai","s5aii_31aii","s5aii_31bi","s5aii_31bii","s5aii_31ci","s5aii_31cii","s5aii_31di","s5aii_31dii","s5aii_31ei","s5aii_31eii","s5aii_31f","s5aii_32","s5aii_32ai","s5aii_32aii","s5aii_32bi","s5aii_32bii","s5aii_32ci","s5aii_32cii","s5aii_32di","s5aii_32dii","s5aii_32ei","s5aii_32eii","s5aii_32f","s5aii_33","s5aii_331","s5aii_331ai","s5aii_331aii","s5aii_331bi","s5aii_331bii","s5aii_331ci","s5aii_331cii","s5aii_331di","s5aii_331dii","s5aii_331ei","s5aii_331eii","s5aii_331f","s5aii_332","s5aii_332ai","s5aii_332aii","s5aii_332bi","s5aii_332bii","s5aii_332ci","s5aii_332cii","s5aii_332di","s5aii_332dii","s5aii_332ei","s5aii_332eii","s5aii_332f","s5aii_333","s5aii_333ai","s5aii_333aii","s5aii_333bi","s5aii_333bii","s5aii_333ci","s5aii_333cii","s5aii_333di","s5aii_333dii","s5aii_333ei","s5aii_333eii","s5aii_333f","hhno"
1,13,10,150,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"TABLE",6,0,,,,,,,,,100,"SELLING TRAY",5,0,,,,,,,,,100,"SELLING CLOTH",0,30,,,,,,,,,100,101010150
1,13,10,175,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,10,,5,60,,,,,,,"100",1,"TABLE",6,,7,,,,,,,,100,"COALPOT",5,,,,,,,,,,100,,5,,,,,,,,,,,101010175
1,13,11,6,1,1,500,,,,,,,,,,"100",2,,,,,,,,,,,,1,120,,,,,,,,,,"100",1,"TABLE",12,,,,,,,,,,100,"SCISSORS",10,,,,,,,,,,100,,,,,,,,,,,,,101011006
1,13,11,19,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,70,,,,,,,,,,"100",1,"ICE CHEST",25,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101011019
1,13,11,28,1,1,100,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"REFREGERATOR & FREEZER",1700,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101011028
1,13,11,44,1,1,500,,,,,,,,,,"100",2,,,,,,,,,,,,1,120,,,,,,,,,,"100",1,"ICE CHEST",30,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101011044
1,13,11,48,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101011048
1,13,11,58,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,40,,,,,,,,,,"100",1,"SCISSORS",18,,18,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101011058
1,13,11,85,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"TABLE",10,,,,,,,,,,100,"CONTAINERS",10,,,,,,,,,,100,,,,,,,,,,,,,101011085
1,13,11,146,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"TABLE",5,,,,,,,,,,100,"PAN",2,,,,,,,,,,100,"METAL MESH",5,0,,,,,,,,,100,101011146
